id,item,conditions,list,annotation,trials,size_A,size_B,size_C,size_D,size_E,size_F,color_A,color_B,color_C,color_D,color_E,color_F,form_A,form_B,form_C,form_D,form_E,form_F,sharpness,combination,relevant_property
1,5,ercf,1,C,4,2,2,9,9,9,2,blue,red,red,red,red,red,circle,circle,circle,circle,circle,square,sharp,color_form,first
1,15,zrdc,1,C,8,9,10,10,10,10,1,blue,red,red,red,red,red,circle,square,circle,circle,circle,circle,sharp,dimension_color,second
1,18,zrdc,1,C,8,9,10,9,10,9,2,blue,red,red,red,red,red,circle,square,square,circle,square,circle,sharp,dimension_color,second
1,1,brdc,1,DCF,2,10,10,3,2,10,1,blue,red,blue,blue,red,red,circle,square,square,circle,square,circle,sharp,dimension_color,both
1,10,brcf,1,CF,1,2,10,10,9,3,1,blue,blue,red,red,blue,red,circle,square,circle,circle,square,square,sharp,color_form,both
1,4,brdc,1,DCF,2,10,9,1,2,9,2,blue,red,blue,blue,red,red,circle,circle,circle,circle,circle,circle,sharp,dimension_color,both
1,21,ercf,1,C,4,9,9,3,1,2,1,blue,red,red,red,red,red,circle,circle,circle,circle,circle,square,sharp,color_form,first
1,21,zrcf,1,F,7,2,2,10,1,10,1,red,red,red,red,red,blue,circle,square,square,square,square,square,sharp,color_form,second
1,2,zrcf,1,F,7,1,9,3,3,1,10,red,red,red,red,red,blue,circle,square,square,square,square,square,sharp,color_form,second
1,23,brdc,1,CF,2,10,10,2,3,9,3,blue,red,blue,blue,red,red,circle,square,circle,circle,circle,square,sharp,dimension_color,both
1,17,brdf,1,DF,3,9,10,3,2,10,2,blue,blue,blue,blue,blue,blue,circle,square,circle,circle,square,square,sharp,dimension_form,both
1,22,erdf,1,C,6,10,1,3,3,1,1,blue,blue,blue,red,blue,blue,circle,circle,circle,circle,circle,square,sharp,dimension_form,first
1,11,brdf,1,DF,3,10,10,1,3,9,2,blue,blue,blue,blue,blue,blue,circle,square,circle,circle,square,square,sharp,dimension_form,both
1,15,erdc,1,DF,5,9,1,2,1,2,2,red,red,red,red,red,blue,circle,circle,circle,square,square,circle,sharp,dimension_color,first
1,12,brdc,1,F,2,9,9,2,2,10,2,blue,red,blue,blue,red,red,circle,square,circle,square,square,circle,sharp,dimension_color,both
1,12,erdc,1,D,5,9,1,3,2,3,2,red,red,red,red,red,blue,circle,circle,square,circle,square,square,sharp,dimension_color,first
1,7,brdc,1,DF,2,9,9,1,1,10,2,blue,red,blue,blue,red,red,circle,circle,circle,square,square,circle,sharp,dimension_color,both
1,25,brdf,1,DF,3,9,9,1,1,9,2,blue,blue,blue,blue,red,blue,circle,square,circle,circle,square,square,sharp,dimension_form,both
1,5,brcf,1,CF,1,2,2,1,2,3,2,blue,blue,red,red,blue,red,circle,square,circle,circle,square,square,sharp,color_form,both
1,1,erdc,1,DF,5,9,1,1,1,2,1,red,red,red,red,red,blue,circle,square,circle,circle,circle,square,sharp,dimension_color,first
1,3,zrdf,1,F,9,10,10,10,9,9,3,blue,blue,blue,red,blue,red,circle,square,square,square,square,square,sharp,dimension_form,second
1,26,zrdc,1,C,8,10,10,9,9,9,2,blue,red,red,red,red,red,circle,circle,circle,circle,circle,circle,sharp,dimension_color,second
1,7,zrdc,1,C,8,9,10,10,10,9,1,blue,red,red,red,red,red,circle,square,circle,circle,square,circle,sharp,dimension_color,second
1,21,brcf,1,DFC,1,3,9,9,1,1,2,blue,blue,red,red,blue,red,circle,square,circle,circle,square,square,sharp,color_form,both
1,19,brdf,1,DF,3,10,10,1,2,9,3,blue,red,blue,red,blue,blue,circle,square,circle,circle,square,square,sharp,dimension_form,both
1,6,erdf,1,D,6,9,2,2,1,3,1,blue,blue,red,red,blue,blue,circle,circle,circle,circle,circle,square,sharp,dimension_form,first
1,14,erdf,1,D,6,9,3,3,1,3,2,blue,blue,blue,blue,blue,blue,circle,circle,circle,circle,circle,square,sharp,dimension_form,first
1,12,zrdc,1,C,8,9,9,9,9,9,1,blue,red,red,red,red,red,circle,circle,circle,square,circle,square,sharp,dimension_color,second
1,13,ercf,1,C,4,1,10,10,3,9,2,blue,red,red,red,red,red,circle,circle,circle,circle,circle,square,sharp,color_form,first
