D_adj,F_adj,C_adj,order_key,ordered_string,surprisal_bits_per_token
großer,dreieckiger,blauer,D,großer Aufkleber,5.746252341855102
großer,dreieckiger,blauer,F,dreieckiger Aufkleber,5.445513503562645
großer,dreieckiger,blauer,C,blauer Aufkleber,7.123329466099171
großer,dreieckiger,blauer,DF,großer dreieckiger Aufkleber,5.873940860988194
großer,dreieckiger,blauer,DC,großer blauer Aufkleber,5.406621002931227
großer,dreieckiger,blauer,FD,dreieckiger großer Aufkleber,6.975846087817071
großer,dreieckiger,blauer,FC,dreieckiger blauer Aufkleber,5.901205614594777
großer,dreieckiger,blauer,CD,blauer großer Aufkleber,8.642366229844928
großer,dreieckiger,blauer,CF,blauer dreieckiger Aufkleber,7.368813374357123
großer,dreieckiger,blauer,DFC,großer dreieckiger blauer Aufkleber,5.893865395055952
großer,dreieckiger,blauer,DCF,großer blauer dreieckiger Aufkleber,5.7317724345483585
großer,dreieckiger,blauer,FDC,dreieckiger großer blauer Aufkleber,5.901211118039605
großer,dreieckiger,blauer,FCD,dreieckiger blauer großer Aufkleber,7.464801019387277
großer,dreieckiger,blauer,CDF,blauer großer dreieckiger Aufkleber,7.918813891816385
großer,dreieckiger,blauer,CFD,blauer dreieckiger großer Aufkleber,8.555620244541538
großer,dreieckiger,schwarzer,D,großer Aufkleber,5.746252341855102
großer,dreieckiger,schwarzer,F,dreieckiger Aufkleber,5.445513503562645
großer,dreieckiger,schwarzer,C,schwarzer Aufkleber,6.501013683605115
großer,dreieckiger,schwarzer,DF,großer dreieckiger Aufkleber,5.873940860988194
großer,dreieckiger,schwarzer,DC,großer schwarzer Aufkleber,5.502936446893926
großer,dreieckiger,schwarzer,FD,dreieckiger großer Aufkleber,6.975846087817071
großer,dreieckiger,schwarzer,FC,dreieckiger schwarzer Aufkleber,6.276504779446391
großer,dreieckiger,schwarzer,CD,schwarzer großer Aufkleber,7.894890417150765
großer,dreieckiger,schwarzer,CF,schwarzer dreieckiger Aufkleber,6.749046374748854
großer,dreieckiger,schwarzer,DFC,großer dreieckiger schwarzer Aufkleber,6.76668216369893
großer,dreieckiger,schwarzer,DCF,großer schwarzer dreieckiger Aufkleber,5.8061535551853165
großer,dreieckiger,schwarzer,FDC,dreieckiger großer schwarzer Aufkleber,6.284319671101597
großer,dreieckiger,schwarzer,FCD,dreieckiger schwarzer großer Aufkleber,7.858538788203195
großer,dreieckiger,schwarzer,CDF,schwarzer großer dreieckiger Aufkleber,7.250958479235065
großer,dreieckiger,schwarzer,CFD,schwarzer dreieckiger großer Aufkleber,8.115618454712921
großer,dreieckiger,grauer,D,großer Aufkleber,5.746252341855102
großer,dreieckiger,grauer,F,dreieckiger Aufkleber,5.445513503562645
großer,dreieckiger,grauer,C,grauer Aufkleber,6.818826615509931
großer,dreieckiger,grauer,DF,großer dreieckiger Aufkleber,5.873940860988194
großer,dreieckiger,grauer,DC,großer grauer Aufkleber,6.113166664546551
großer,dreieckiger,grauer,FD,dreieckiger großer Aufkleber,6.975846087817071
großer,dreieckiger,grauer,FC,dreieckiger grauer Aufkleber,6.0299765925324
großer,dreieckiger,grauer,CD,grauer großer Aufkleber,8.770961097548067
großer,dreieckiger,grauer,CF,grauer dreieckiger Aufkleber,6.536160058135438
großer,dreieckiger,grauer,DFC,großer dreieckiger grauer Aufkleber,6.3545044150575025
großer,dreieckiger,grauer,DCF,großer grauer dreieckiger Aufkleber,5.769861088269643
großer,dreieckiger,grauer,FDC,dreieckiger großer grauer Aufkleber,6.568778287698079
großer,dreieckiger,grauer,FCD,dreieckiger grauer großer Aufkleber,7.099849018742173
großer,dreieckiger,grauer,CDF,grauer großer dreieckiger Aufkleber,7.509896934235316
großer,dreieckiger,grauer,CFD,grauer dreieckiger großer Aufkleber,7.971452965731267
großer,dreieckiger,grüner,D,großer Aufkleber,5.746252341855102
großer,dreieckiger,grüner,F,dreieckiger Aufkleber,5.445513503562645
großer,dreieckiger,grüner,C,grüner Aufkleber,4.879885610550082
großer,dreieckiger,grüner,DF,großer dreieckiger Aufkleber,5.873940860988194
großer,dreieckiger,grüner,DC,großer grüner Aufkleber,6.532509898353527
großer,dreieckiger,grüner,FD,dreieckiger großer Aufkleber,6.975846087817071
großer,dreieckiger,grüner,FC,dreieckiger grüner Aufkleber,6.446777922759623
großer,dreieckiger,grüner,CD,grüner großer Aufkleber,7.060216648746744
großer,dreieckiger,grüner,CF,grüner dreieckiger Aufkleber,6.54116337741434
großer,dreieckiger,grüner,DFC,großer dreieckiger grüner Aufkleber,6.795355799181381
großer,dreieckiger,grüner,DCF,großer grüner dreieckiger Aufkleber,6.2594482280644215
großer,dreieckiger,grüner,FDC,dreieckiger großer grüner Aufkleber,7.059561738812259
großer,dreieckiger,grüner,FCD,dreieckiger grüner großer Aufkleber,8.238229702027242
großer,dreieckiger,grüner,CDF,grüner großer dreieckiger Aufkleber,6.848039588585487
großer,dreieckiger,grüner,CFD,grüner dreieckiger großer Aufkleber,7.8436306440958035
großer,dreieckiger,orangener,D,großer Aufkleber,5.746252341855102
großer,dreieckiger,orangener,F,dreieckiger Aufkleber,5.445513503562645
großer,dreieckiger,orangener,C,orangener Aufkleber,8.290968525879624
großer,dreieckiger,orangener,DF,großer dreieckiger Aufkleber,5.873940860988194
großer,dreieckiger,orangener,DC,großer orangener Aufkleber,4.942532354918671
großer,dreieckiger,orangener,FD,dreieckiger großer Aufkleber,6.975846087817071
großer,dreieckiger,orangener,FC,dreieckiger orangener Aufkleber,5.4807200720207705
großer,dreieckiger,orangener,CD,orangener großer Aufkleber,9.442436400964748
großer,dreieckiger,orangener,CF,orangener dreieckiger Aufkleber,8.073023167608428
großer,dreieckiger,orangener,DFC,großer dreieckiger orangener Aufkleber,6.106149772391348
großer,dreieckiger,orangener,DCF,großer orangener dreieckiger Aufkleber,5.300213617015899
großer,dreieckiger,orangener,FDC,dreieckiger großer orangener Aufkleber,5.762364020553232
großer,dreieckiger,orangener,FCD,dreieckiger orangener großer Aufkleber,6.675605655246814
großer,dreieckiger,orangener,CDF,orangener großer dreieckiger Aufkleber,8.141877453777258
großer,dreieckiger,orangener,CFD,orangener dreieckiger großer Aufkleber,9.033942520704802
großer,dreieckiger,brauner,D,großer Aufkleber,5.746252341855102
großer,dreieckiger,brauner,F,dreieckiger Aufkleber,5.445513503562645
großer,dreieckiger,brauner,C,brauner Aufkleber,7.752479839138514
großer,dreieckiger,brauner,DF,großer dreieckiger Aufkleber,5.873940860988194
großer,dreieckiger,brauner,DC,großer brauner Aufkleber,5.960130310433392
großer,dreieckiger,brauner,FD,dreieckiger großer Aufkleber,6.975846087817071
großer,dreieckiger,brauner,FC,dreieckiger brauner Aufkleber,6.2784543747765715
großer,dreieckiger,brauner,CD,brauner großer Aufkleber,9.122060239631475
großer,dreieckiger,brauner,CF,brauner dreieckiger Aufkleber,7.088530496523591
großer,dreieckiger,brauner,DFC,großer dreieckiger brauner Aufkleber,6.48005518984037
großer,dreieckiger,brauner,DCF,großer brauner dreieckiger Aufkleber,6.109168411879292
