D_adj,F_adj,C_adj,order_key,ordered_string,surprisal_bits_per_token
großer,dreieckiger,schwarzer,D,großer Aufkleber,12.4045527588068
großer,dreieckiger,schwarzer,F,dreieckiger Aufkleber,8.72068919283966
großer,dreieckiger,schwarzer,C,schwarzer Aufkleber,7.177800499211044
großer,dreieckiger,schwarzer,DF,großer dreieckiger Aufkleber,8.331720846897472
großer,dreieckiger,schwarzer,DC,großer schwarzer Aufkleber,13.125803968966798
großer,dreieckiger,schwarzer,FD,dreieckiger großer Aufkleber,9.028578725789693
großer,dreieckiger,schwarzer,FC,dreieckiger schwarzer Aufkleber,8.180342405538632
großer,dreieckiger,schwarzer,CD,schwarzer großer Aufkleber,9.453083502914364
großer,dreieckiger,schwarzer,CF,schwarzer dreieckiger Aufkleber,5.494582217645614
großer,dreieckiger,schwarzer,DFC,großer dreieckiger schwarzer Aufkleber,8.293683100040843
großer,dreieckiger,schwarzer,DCF,großer schwarzer dreieckiger Aufkleber,7.875356627665767
großer,dreieckiger,schwarzer,FDC,dreieckiger großer schwarzer Aufkleber,8.596345048335248
großer,dreieckiger,schwarzer,FCD,dreieckiger schwarzer großer Aufkleber,9.962293863172588
großer,dreieckiger,schwarzer,CDF,schwarzer großer dreieckiger Aufkleber,6.862817025878223
großer,dreieckiger,schwarzer,CFD,schwarzer dreieckiger großer Aufkleber,7.072450118667918
großer,dreieckiger,grüner,D,großer Aufkleber,12.4045527588068
großer,dreieckiger,grüner,F,dreieckiger Aufkleber,8.72068919283966
großer,dreieckiger,grüner,C,grüner Aufkleber,7.179986742668811
großer,dreieckiger,grüner,DF,großer dreieckiger Aufkleber,8.331720846897472
großer,dreieckiger,grüner,DC,großer grüner Aufkleber,12.01491712017926
großer,dreieckiger,grüner,FD,dreieckiger großer Aufkleber,9.028578725789693
großer,dreieckiger,grüner,FC,dreieckiger grüner Aufkleber,8.539450435707417
großer,dreieckiger,grüner,CD,grüner großer Aufkleber,8.988906455819263
großer,dreieckiger,grüner,CF,grüner dreieckiger Aufkleber,5.49996733840943
großer,dreieckiger,grüner,DFC,großer dreieckiger grüner Aufkleber,8.623512803726744
großer,dreieckiger,grüner,DCF,großer grüner dreieckiger Aufkleber,7.145021293887195
großer,dreieckiger,grüner,FDC,dreieckiger großer grüner Aufkleber,8.705937896909857
großer,dreieckiger,grüner,FCD,dreieckiger grüner großer Aufkleber,9.260569563191552
großer,dreieckiger,grüner,CDF,grüner großer dreieckiger Aufkleber,6.247542901041094
großer,dreieckiger,grüner,CFD,grüner dreieckiger großer Aufkleber,6.865684320633408
großer,dreieckiger,orangener,D,großer Aufkleber,12.4045527588068
großer,dreieckiger,orangener,F,dreieckiger Aufkleber,8.72068919283966
großer,dreieckiger,orangener,C,orangener Aufkleber,14.59599834779812
großer,dreieckiger,orangener,DF,großer dreieckiger Aufkleber,8.331720846897472
großer,dreieckiger,orangener,DC,großer orangener Aufkleber,8.750840503258326
großer,dreieckiger,orangener,FD,dreieckiger großer Aufkleber,9.028578725789693
großer,dreieckiger,orangener,FC,dreieckiger orangener Aufkleber,7.666320658639869
großer,dreieckiger,orangener,CD,orangener großer Aufkleber,13.479654833464009
großer,dreieckiger,orangener,CF,orangener dreieckiger Aufkleber,8.511942842597815
großer,dreieckiger,orangener,DFC,großer dreieckiger orangener Aufkleber,7.703559718065891
großer,dreieckiger,orangener,DCF,großer orangener dreieckiger Aufkleber,6.375884610282164
großer,dreieckiger,orangener,FDC,dreieckiger großer orangener Aufkleber,7.846817826581593
großer,dreieckiger,orangener,FCD,dreieckiger orangener großer Aufkleber,8.46972798111703
großer,dreieckiger,orangener,CDF,orangener großer dreieckiger Aufkleber,8.44508286724839
großer,dreieckiger,orangener,CFD,orangener dreieckiger großer Aufkleber,9.374604379672647
großer,dreieckiger,grauer,D,großer Aufkleber,12.4045527588068
großer,dreieckiger,grauer,F,dreieckiger Aufkleber,8.72068919283966
großer,dreieckiger,grauer,C,grauer Aufkleber,10.716230720094364
großer,dreieckiger,grauer,DF,großer dreieckiger Aufkleber,8.331720846897472
großer,dreieckiger,grauer,DC,großer grauer Aufkleber,9.824892107884066
großer,dreieckiger,grauer,FD,dreieckiger großer Aufkleber,9.028578725789693
großer,dreieckiger,grauer,FC,dreieckiger grauer Aufkleber,8.020087595603458
großer,dreieckiger,grauer,CD,grauer großer Aufkleber,10.270433114931672
großer,dreieckiger,grauer,CF,grauer dreieckiger Aufkleber,6.533543858050514
großer,dreieckiger,grauer,DFC,großer dreieckiger grauer Aufkleber,8.231907619781525
großer,dreieckiger,grauer,DCF,großer grauer dreieckiger Aufkleber,6.726682438761258
großer,dreieckiger,grauer,FDC,dreieckiger großer grauer Aufkleber,8.127801017769439
großer,dreieckiger,grauer,FCD,dreieckiger grauer großer Aufkleber,8.493235945698165
großer,dreieckiger,grauer,CDF,grauer großer dreieckiger Aufkleber,6.96214594984934
großer,dreieckiger,grauer,CFD,grauer dreieckiger großer Aufkleber,7.581358477391227
großer,dreieckiger,blauer,D,großer Aufkleber,12.4045527588068
großer,dreieckiger,blauer,F,dreieckiger Aufkleber,8.72068919283966
großer,dreieckiger,blauer,C,blauer Aufkleber,6.907315816962466
großer,dreieckiger,blauer,DF,großer dreieckiger Aufkleber,8.331720846897472
großer,dreieckiger,blauer,DC,großer blauer Aufkleber,11.943686033775506
großer,dreieckiger,blauer,FD,dreieckiger großer Aufkleber,9.028578725789693
großer,dreieckiger,blauer,FC,dreieckiger blauer Aufkleber,8.387457672319695
großer,dreieckiger,blauer,CD,blauer großer Aufkleber,8.272580140849373
großer,dreieckiger,blauer,CF,blauer dreieckiger Aufkleber,5.191125365538921
großer,dreieckiger,blauer,DFC,großer dreieckiger blauer Aufkleber,8.5924087094223
großer,dreieckiger,blauer,DCF,großer blauer dreieckiger Aufkleber,6.949981960919115
großer,dreieckiger,blauer,FDC,dreieckiger großer blauer Aufkleber,8.70711425824176
großer,dreieckiger,blauer,FCD,dreieckiger blauer großer Aufkleber,8.953409924611783
großer,dreieckiger,blauer,CDF,blauer großer dreieckiger Aufkleber,5.7720287576011176
großer,dreieckiger,blauer,CFD,blauer dreieckiger großer Aufkleber,6.588888563028769
großer,dreieckiger,brauner,D,großer Aufkleber,12.4045527588068
großer,dreieckiger,brauner,F,dreieckiger Aufkleber,8.72068919283966
großer,dreieckiger,brauner,C,brauner Aufkleber,9.18976361790073
großer,dreieckiger,brauner,DF,großer dreieckiger Aufkleber,8.331720846897472
großer,dreieckiger,brauner,DC,großer brauner Aufkleber,9.329412842470727
großer,dreieckiger,brauner,FD,dreieckiger großer Aufkleber,9.028578725789693
großer,dreieckiger,brauner,FC,dreieckiger brauner Aufkleber,8.062856929150625
großer,dreieckiger,brauner,CD,brauner großer Aufkleber,9.775337714795059
großer,dreieckiger,brauner,CF,brauner dreieckiger Aufkleber,6.16579335571057
großer,dreieckiger,brauner,DFC,großer dreieckiger brauner Aufkleber,7.862460680573471
großer,dreieckiger,brauner,DCF,großer brauner dreieckiger Aufkleber,7.064715026962712
großer,dreieckiger,brauner,FDC,dreieckiger großer brauner Aufkleber,7.967110747762283
großer,dreieckiger,brauner,FCD,dreieckiger brauner großer Aufkleber,8.515020644117657
großer,dreieckiger,brauner,CDF,brauner großer dreieckiger Aufkleber,6.767989919776091
großer,dreieckiger,brauner,CFD,brauner dreieckiger großer Aufkleber,7.341089771038039
großer,kreisförmiger,schwarzer,D,großer Aufkleber,12.4045527588068
