alpha,bias,color_semvalue,k
0.627567,1.2058147,0.8793811,0.048675865
0.6267471,1.1842153,0.8842155,0.04788119
0.61981106,1.162844,0.8822113,0.047159232
0.62062895,1.1467471,0.8824057,0.047691107
0.6196147,1.1319258,0.8809689,0.048269883
0.63034934,1.1167037,0.8754285,0.04851517
0.6280354,1.1683801,0.8788963,0.047854852
0.6271166,1.1680801,0.8808883,0.04793046
0.63463354,1.1969601,0.88075334,0.049999975
0.63261986,1.1944141,0.88261765,0.047699586
0.6331785,1.1434482,0.8766425,0.042485025
0.62643385,1.1172566,0.8616287,0.03941996
0.6180281,1.1245503,0.863991,0.038530424
0.62399065,1.0988832,0.8674121,0.038925912
0.6213194,1.0775102,0.8595988,0.038304605
0.62208897,1.0910549,0.865587,0.037036944
0.6229612,1.1073399,0.8710414,0.037260704
0.6215527,1.1248999,0.8729514,0.036780413
0.6210104,1.0871712,0.87802565,0.038801678
0.620427,1.0588907,0.8745589,0.039423592
0.6230373,1.0745859,0.87254596,0.038583763
0.6173392,1.1541593,0.8775421,0.037702933
0.61892617,1.1668673,0.8753812,0.03734663
0.6259224,1.1815553,0.88111967,0.03636027
0.62626445,1.1776518,0.88515025,0.036783107
0.62626445,1.1776807,0.88515615,0.03678032
0.62943304,1.0487916,0.88021785,0.03600656
0.6315884,1.0330737,0.8748359,0.034595247
0.63119066,1.0320125,0.87653637,0.034667846
0.6222877,1.0880977,0.8796762,0.0352042
0.6230592,1.1043154,0.8780718,0.034850996
0.62234837,1.0601888,0.87783325,0.036161244
0.6328239,1.0353376,0.8795576,0.036663167
0.632826,1.080721,0.88307035,0.037854914
0.6312698,1.0180031,0.8812126,0.03843979
0.6270731,1.0706674,0.87482023,0.03845236
0.62758785,1.0761853,0.8772592,0.038019698
0.6276967,1.0571245,0.8756141,0.038692452
0.62708396,1.0945433,0.87354016,0.040255837
0.6227258,1.0389215,0.86652184,0.041778874
0.62221086,1.0430208,0.8655938,0.04218653
0.6157488,0.9681753,0.870771,0.043037143
0.6118718,0.9871447,0.86900663,0.04104313
0.6120851,0.9663051,0.8740474,0.040760837
0.6140826,0.99342644,0.8765053,0.039934106
0.6152219,1.0153917,0.8755027,0.038824446
0.61154556,1.0583968,0.88183653,0.038610656
0.6110356,1.0457996,0.8835026,0.03862929
0.6092307,1.0399996,0.8830065,0.037842188
0.60592824,1.0189604,0.8771175,0.037510898
0.6055589,1.0189064,0.8761011,0.0373007
