item,list,statesArray,relevant_property,sharpness,annotation_category,probability,source
15,1,"[[10.0, 1.0, 1.0], [10.0, 0.0, 0.0], [3.0, 1.0, 0.0], [2.0, 1.0, 1.0], [10.0, 0.0, 0.0], [1.0, 0.0, 1.0]]",second,sharp,D,0.05882353,empirical
18,1,"[[10.0, 1.0, 1.0], [10.0, 0.0, 1.0], [9.0, 0.0, 0.0], [9.0, 0.0, 1.0], [9.0, 0.0, 1.0], [6.0, 0.0, 0.0]]",second,sharp,D,0.072463766,empirical
1,1,"[[9.0, 1.0, 1.0], [9.0, 0.0, 0.0], [10.0, 0.0, 0.0], [9.0, 0.0, 1.0], [9.0, 0.0, 0.0], [1.0, 0.0, 1.0]]",both,sharp,D,0.0,empirical
4,1,"[[10.0, 0.0, 1.0], [3.0, 0.0, 0.0], [1.0, 0.0, 1.0], [3.0, 0.0, 1.0], [6.0, 0.0, 1.0], [1.0, 1.0, 0.0]]",both,sharp,D,0.0,empirical
23,1,"[[9.0, 0.0, 1.0], [3.0, 0.0, 1.0], [1.0, 0.0, 1.0], [3.0, 0.0, 1.0], [1.0, 0.0, 1.0], [2.0, 1.0, 0.0]]",both,sharp,D,0.06349207,empirical
12,1,"[[10.0, 1.0, 1.0], [10.0, 0.0, 0.0], [2.0, 1.0, 1.0], [2.0, 1.0, 0.0], [9.0, 0.0, 1.0], [6.0, 0.0, 0.0]]",both,sharp,D,0.0,empirical
7,1,"[[10.0, 1.0, 1.0], [9.0, 0.0, 1.0], [1.0, 1.0, 1.0], [2.0, 1.0, 1.0], [9.0, 0.0, 1.0], [2.0, 0.0, 1.0]]",both,sharp,D,0.11764706,empirical
26,1,"[[9.0, 0.0, 1.0], [2.0, 0.0, 1.0], [1.0, 0.0, 1.0], [5.0, 0.0, 1.0], [6.0, 0.0, 1.0], [1.0, 1.0, 1.0]]",second,sharp,D,0.0,empirical
20,1,"[[10.0, 1.0, 1.0], [10.0, 0.0, 1.0], [9.0, 0.0, 1.0], [9.0, 0.0, 1.0], [10.0, 0.0, 1.0], [3.0, 0.0, 0.0]]",second,sharp,D,0.1509434,empirical
10,2,"[[9.0, 1.0, 1.0], [9.0, 0.0, 0.0], [5.0, 1.0, 1.0], [2.0, 1.0, 1.0], [9.0, 0.0, 1.0], [5.0, 0.0, 1.0]]",both,sharp,D,0.0,empirical
27,2,"[[9.0, 1.0, 1.0], [9.0, 0.0, 1.0], [1.0, 1.0, 1.0], [2.0, 1.0, 1.0], [9.0, 0.0, 1.0], [1.0, 0.0, 1.0]]",second,sharp,D,0.0952381,empirical
8,2,"[[9.0, 1.0, 1.0], [9.0, 0.0, 1.0], [9.0, 0.0, 1.0], [9.0, 0.0, 1.0], [10.0, 0.0, 1.0], [1.0, 0.0, 1.0]]",first,sharp,D,0.015151516,empirical
13,2,"[[9.0, 1.0, 1.0], [9.0, 0.0, 1.0], [1.0, 1.0, 1.0], [1.0, 1.0, 0.0], [10.0, 0.0, 0.0], [2.0, 0.0, 1.0]]",first,sharp,D,0.11764706,empirical
21,2,"[[9.0, 0.0, 1.0], [4.0, 0.0, 0.0], [2.0, 0.0, 1.0], [2.0, 0.0, 1.0], [4.0, 0.0, 0.0], [2.0, 1.0, 1.0]]",second,sharp,D,0.04347826,empirical
24,2,"[[9.0, 0.0, 1.0], [2.0, 0.0, 1.0], [1.0, 0.0, 0.0], [3.0, 0.0, 1.0], [1.0, 0.0, 1.0], [3.0, 1.0, 1.0]]",first,sharp,D,0.11111111,empirical
2,2,"[[10.0, 0.0, 1.0], [2.0, 0.0, 1.0], [5.0, 0.0, 1.0], [3.0, 0.0, 1.0], [2.0, 0.0, 0.0], [3.0, 1.0, 1.0]]",second,sharp,D,0.0,empirical
5,2,"[[10.0, 0.0, 1.0], [2.0, 0.0, 1.0], [1.0, 0.0, 1.0], [1.0, 0.0, 1.0], [3.0, 0.0, 1.0], [1.0, 1.0, 1.0]]",second,sharp,D,0.11111111,empirical
16,2,"[[9.0, 1.0, 1.0], [9.0, 0.0, 1.0], [2.0, 1.0, 1.0], [2.0, 1.0, 1.0], [9.0, 0.0, 0.0], [5.0, 0.0, 0.0]]",first,sharp,D,0.0,empirical
3,3,"[[9.0, 1.0, 1.0], [10.0, 0.0, 1.0], [1.0, 1.0, 0.0], [2.0, 1.0, 1.0], [10.0, 0.0, 1.0], [1.0, 0.0, 0.0]]",first,sharp,D,0.16666667,empirical
11,3,"[[10.0, 0.0, 1.0], [6.0, 0.0, 1.0], [5.0, 0.0, 1.0], [3.0, 0.0, 1.0], [2.0, 0.0, 0.0], [3.0, 1.0, 0.0]]",second,sharp,D,0.0,empirical
14,3,"[[10.0, 1.0, 1.0], [10.0, 0.0, 0.0], [10.0, 0.0, 1.0], [9.0, 0.0, 1.0], [10.0, 0.0, 0.0], [1.0, 0.0, 1.0]]",second,sharp,D,0.12698413,empirical
17,3,"[[9.0, 1.0, 1.0], [9.0, 0.0, 1.0], [1.0, 1.0, 1.0], [5.0, 1.0, 1.0], [9.0, 0.0, 1.0], [5.0, 0.0, 0.0]]",both,sharp,D,0.0,empirical
6,3,"[[9.0, 1.0, 1.0], [9.0, 0.0, 0.0], [2.0, 1.0, 1.0], [2.0, 1.0, 0.0], [10.0, 0.0, 0.0], [2.0, 0.0, 1.0]]",both,sharp,D,0.09803922,empirical
25,3,"[[10.0, 0.0, 1.0], [1.0, 0.0, 1.0], [2.0, 0.0, 1.0], [4.0, 0.0, 1.0], [1.0, 0.0, 1.0], [4.0, 1.0, 0.0]]",first,sharp,D,0.014492754,empirical
