relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.20330388692579504,0.1696113074204947,0.23767667844522963,both | blurred
both,blurred,1,DC,0.06890459363957598,0.04946996466431095,0.09010600706713781,566,0.13096819787985864,0.10424028268551237,0.1607773851590106,both | blurred
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.10180212014134275,0.07773851590106007,0.12897526501766785,both | blurred
both,blurred,3,DF,0.08480565371024736,0.061837455830388695,0.10777385159010601,566,0.051455830388692586,0.03356890459363958,0.06890459363957598,both | blurred
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566,0.04417667844522968,0.028268551236749116,0.061837455830388695,both | blurred
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.16285512367491164,0.13250883392226148,0.19257950530035337,both | blurred
both,blurred,6,CD,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.03576678445229682,0.02120141342756184,0.05123674911660778,both | blurred
both,blurred,7,CDF,0.05123674911660778,0.03356890459363958,0.0706713780918728,566,0.050141342756183746,0.03180212014134275,0.06890459363957598,both | blurred
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.05908480565371025,0.04063604240282685,0.07773851590106007,both | blurred
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566,0.030272084805653708,0.015901060070671377,0.045936395759717315,both | blurred
both,blurred,10,F,0.1166077738515901,0.09010600706713781,0.14487632508833923,566,0.04568551236749117,0.030035335689045935,0.0645318021201413,both | blurred
both,blurred,11,FD,0.0017667844522968198,0.0,0.00530035335689046,566,0.010192987224789346,0.0035335689045936395,0.0176678445229682,both | blurred
both,blurred,12,FDC,0.00530035335689046,0.0,0.012367491166077738,566,0.021908127208480566,0.01060070671378092,0.0353356890459364,both | blurred
both,blurred,13,FC,0.04063604240282685,0.024734982332155476,0.05653710247349823,566,0.0354982332155477,0.02120141342756184,0.04946996466431095,both | blurred
both,blurred,14,FCD,0.0,0.0,0.0,566,0.017010600706713782,0.007067137809187279,0.028268551236749116,both | blurred
both,sharp,0,D,0.0,0.0,0.0,503,0.20679920477137176,0.1749502982107356,0.24453280318091453,both | sharp
both,sharp,1,DC,0.19681908548707752,0.1610337972166998,0.23260437375745527,503,0.1414910536779324,0.10934393638170974,0.1709741550695825,both | sharp
both,sharp,2,DCF,0.3121272365805169,0.27236580516898606,0.3518886679920477,503,0.11114910536779324,0.08349900596421471,0.14418489065606357,both | sharp
both,sharp,3,DF,0.1073558648111332,0.08151093439363817,0.13518886679920478,503,0.047359840954274354,0.02982107355864811,0.06560636182902585,both | sharp
both,sharp,4,DFC,0.02982107355864811,0.015904572564612324,0.04572564612326044,503,0.040910536779324054,0.02385685884691849,0.05964214711729622,both | sharp
both,sharp,5,C,0.0,0.0,0.0,503,0.15873558648111333,0.12922465208747516,0.18886679920477137,both | sharp
both,sharp,6,CD,0.011928429423459244,0.003976143141153081,0.02186878727634195,503,0.038083499005964215,0.02186878727634195,0.05765407554671968,both | sharp
both,sharp,7,CDF,0.027833001988071572,0.013916500994035786,0.0437375745526839,503,0.05338767395626243,0.03578528827037773,0.073558648111332,both | sharp
both,sharp,8,CF,0.20278330019880716,0.16898608349900596,0.24055666003976142,503,0.05323260437375745,0.03474155069582505,0.073558648111332,both | sharp
both,sharp,9,CFD,0.003976143141153081,0.0,0.009940357852882704,503,0.02687475149105368,0.013916500994035786,0.040805168986083454,both | sharp
both,sharp,10,F,0.08349900596421471,0.061630218687872766,0.1073558648111332,503,0.0433558648111332,0.02584493041749503,0.0636182902584493,both | sharp
both,sharp,11,FD,0.0,0.0,0.0,503,0.009439331751426921,0.0019880715705765406,0.019880715705765408,both | sharp
both,sharp,12,FDC,0.0,0.0,0.0,503,0.02042544731610338,0.009940357852882704,0.033797216699801194,both | sharp
both,sharp,13,FC,0.02186878727634195,0.009940357852882704,0.03578528827037773,503,0.03268787276341949,0.015904572564612324,0.04771371769383698,both | sharp
both,sharp,14,FCD,0.0019880715705765406,0.0,0.005964214711729622,503,0.016143141153081512,0.007952286282306162,0.027833001988071572,both | sharp
first,blurred,0,D,0.05595667870036101,0.039711191335740074,0.07581227436823104,554,0.31656678700361013,0.27256317689530685,0.35379061371841153,first | blurred
first,blurred,1,DC,0.04332129963898917,0.02707581227436823,0.05956678700361011,554,0.06126714801444043,0.04332129963898917,0.08217509025270754,first | blurred
first,blurred,2,DCF,0.2996389891696751,0.26173285198555957,0.33578519855595645,554,0.046534296028880866,0.02888086642599278,0.06678700361010831,first | blurred
first,blurred,3,DF,0.36462093862815886,0.3266696750902527,0.4043321299638989,554,0.18374368231046934,0.15342960288808663,0.22021660649819494,first | blurred
first,blurred,4,DFC,0.032490974729241874,0.018050541516245487,0.04693140794223827,554,0.1601263537906137,0.1299638989169675,0.19047833935018046,first | blurred
first,blurred,5,C,0.005415162454873646,0.0,0.01263537906137184,554,0.028202166064981948,0.01444043321299639,0.04332129963898917,first | blurred
