relevant_property,sharpness,annotation_seq_flat,n,nt,emp_prop,p_bl,p_v1,p_v5
both,blurred,0,4.0,1691.0,0.002365464222353637,0.14830277942046127,0.1135866351271437,0.024760496747486694
both,blurred,1,64.0,1691.0,0.03784742755765819,0.09301596688350088,0.06745121230041395,0.05134535777646363
both,blurred,2,381.0,1691.0,0.2253104671791839,0.08341218214074513,0.047327025428740385,0.20969544648137198
both,blurred,3,293.0,1691.0,0.1732702542874039,0.04560910703725606,0.03675340035481964,0.08274689532820816
both,blurred,4,41.0,1691.0,0.02424600827912478,0.04280307510348906,0.033562980484920166,0.007927261975162626
both,blurred,5,15.0,1691.0,0.008870490833826138,0.16691898285038437,0.26185984624482556,0.06613837965700768
both,blurred,6,6.0,1691.0,0.0035481963335304554,0.057826729745712596,0.01004139562389119,0.00801892371377883
both,blurred,7,55.0,1691.0,0.03252513305736251,0.06840626848018924,0.022451212300413956,0.007885866351271437
both,blurred,8,668.0,1691.0,0.39503252513305737,0.06809580130100533,0.1589444115907747,0.37313424009461854
both,blurred,9,8.0,1691.0,0.004730928444707274,0.04900650502661147,0.04329982259018332,0.008267297457125962
both,blurred,10,82.0,1691.0,0.04849201655824956,0.061274393849793024,0.05227084565345949,0.12612063867534004
both,blurred,11,3.0,1691.0,0.0017740981667652277,0.018500887049083384,0.004503252513305737,0.00809284447072738
both,blurred,12,3.0,1691.0,0.0017740981667652277,0.02665878178592549,0.012811945594322886,0.00842400946185689
both,blurred,13,67.0,1691.0,0.039621525724423415,0.04084269662921348,0.10682732111176818,0.008231815493790656
both,blurred,14,1.0,1691.0,0.0005913660555884093,0.02932584269662921,0.02830869308101715,0.009210526315789473
both,sharp,0,3.0,1511.0,0.001985440105890139,0.1514427531436135,0.11928855062872269,0.034500330906684314
both,sharp,1,137.0,1511.0,0.09066843150231635,0.09865982792852415,0.07510258107213766,0.059864328259430846
both,sharp,2,332.0,1511.0,0.21972203838517537,0.08676042356055592,0.05270681667769689,0.1874619457313038
both,sharp,3,227.0,1511.0,0.1502316346790205,0.04470880211780278,0.03669424222369291,0.08049636002647255
both,sharp,4,35.0,1511.0,0.02316346790205162,0.04171740569159497,0.03295168762409001,0.008345466578424884
both,sharp,5,51.0,1511.0,0.033752481800132364,0.16613170086035736,0.25978491065519527,0.08976836532097948
both,sharp,6,6.0,1511.0,0.003970880211780278,0.05966247518199868,0.011039046988749173,0.007868960953011251
both,sharp,7,33.0,1511.0,0.02183984116479153,0.06990734612839179,0.02531436135009927,0.00814030443414957
both,sharp,8,574.0,1511.0,0.3798808735936466,0.06683322303110523,0.15433156849768367,0.335132362673726
both,sharp,9,4.0,1511.0,0.0026472534745201853,0.048358702845797484,0.04243216412971542,0.007978160158835209
both,sharp,10,49.0,1511.0,0.03242885506287227,0.0578722700198544,0.049837855724685645,0.14748510919920582
both,sharp,11,1.0,1511.0,0.0006618133686300463,0.01761416280608868,0.004500330906684315,0.007915287888815355
both,sharp,12,1.0,1511.0,0.0006618133686300463,0.025109199205823954,0.01284248841826605,0.008318994043679683
both,sharp,13,55.0,1511.0,0.036399735274652546,0.03776968894771675,0.09686631369953673,0.008153540701522171
both,sharp,14,3.0,1511.0,0.001985440105890139,0.027452018530774322,0.02630708140304434,0.008570483123759099
first,blurred,0,74.0,1664.0,0.04447115384615385,0.17080528846153847,0.15935096153846154,0.03470252403846154
first,blurred,1,69.0,1664.0,0.04146634615384615,0.06911057692307693,0.05923377403846154,0.037259615384615384
first,blurred,2,340.0,1664.0,0.20432692307692307,0.061325120192307694,0.04088641826923076,0.1531640625
first,blurred,3,320.0,1664.0,0.19230769230769232,0.0869110576923077,0.06761117788461539,0.15112379807692308
first,blurred,4,38.0,1664.0,0.02283653846153846,0.08091346153846153,0.06083233173076923,0.00829326923076923
first,blurred,5,446.0,1664.0,0.26802884615384615,0.1464453125,0.2231700721153846,0.22576622596153847
first,blurred,6,2.0,1664.0,0.001201923076923077,0.05006911057692307,0.015609975961538463,0.007857572115384615
first,blurred,7,39.0,1664.0,0.0234375,0.05955829326923077,0.03772235576923077,0.008467548076923077
first,blurred,8,272.0,1664.0,0.16346153846153846,0.061454326923076924,0.1051141826923077,0.191328125
first,blurred,9,1.0,1664.0,0.0006009615384615385,0.04394831730769231,0.029534254807692308,0.008470552884615384
first,blurred,10,24.0,1664.0,0.014423076923076924,0.059384014423076927,0.053551682692307694,0.1391045673076923
first,blurred,11,5.0,1664.0,0.0030048076923076925,0.02714543269230769,0.009381009615384616,0.008040865384615384
first,blurred,12,3.0,1664.0,0.0018028846153846155,0.04036658653846154,0.04993689903846154,0.00963341346153846
first,blurred,13,29.0,1664.0,0.017427884615384616,0.02484375,0.06864182692307692,0.008269230769230768
first,blurred,14,2.0,1664.0,0.001201923076923077,0.01771935096153846,0.01942307692307692,0.008518629807692307
first,sharp,0,266.0,1508.0,0.17639257294429708,0.17373342175066311,0.1648076923076923,0.04653183023872679
first,sharp,1,60.0,1508.0,0.03978779840848806,0.06517572944297081,0.056866710875331565,0.04357758620689655
first,sharp,2,228.0,1508.0,0.15119363395225463,0.05757957559681698,0.04036140583554377,0.13483753315649868
first,sharp,3,229.0,1508.0,0.15185676392572944,0.09055702917771884,0.06958885941644563,0.13946618037135278
first,sharp,4,28.0,1508.0,0.01856763925729443,0.0847712201591512,0.0637002652519894,0.008192970822281168
first,sharp,5,391.0,1508.0,0.2592838196286472,0.14914124668435014,0.22677718832891247,0.25466180371352787
first,sharp,6,0.0,0.0,0.0,0.052284482758620694,0.016604774535809018,0.008040450928381963
first,sharp,7,24.0,1508.0,0.015915119363395226,0.06099137931034483,0.04013925729442971,0.008070291777188328
first,sharp,8,199.0,1508.0,0.1319628647214854,0.06177055702917772,0.10410809018567639,0.1596783819628647
first,sharp,9,1.0,1508.0,0.000663129973474801,0.04385941644562334,0.029021883289124667,0.008226127320954906
first,sharp,10,54.0,1508.0,0.03580901856763926,0.05657824933687003,0.05026525198938992,0.15546750663129974
first,sharp,11,2.0,1508.0,0.001326259946949602,0.026319628647214852,0.009559018567639258,0.008037135278514589
first,sharp,12,3.0,1508.0,0.001989389920424403,0.03820623342175066,0.05041445623342175,0.008938992042440318
first,sharp,13,22.0,1508.0,0.014588859416445624,0.022702254641909815,0.06060676392572944,0.00815318302387268
first,sharp,14,1.0,1508.0,0.000663129973474801,0.016329575596816977,0.01717838196286472,0.008120026525198939
second,blurred,0,0.0,0.0,0.0,0.1480276308054086,0.10422398589065257,0.025620223398001175
second,blurred,1,1.0,1701.0,0.0005878894767783657,0.06174015285126396,0.04121399176954733,0.023309817754262198
second,blurred,2,47.0,1701.0,0.027630805408583186,0.055402704291593184,0.029562022339800115,0.08695767195767196
second,blurred,3,9.0,1701.0,0.005291005291005291,0.07335978835978836,0.043189300411522635,0.1014373897707231
second,blurred,4,19.0,1701.0,0.011169900058788948,0.06797472075249854,0.03961493239271017,0.008180482069370958
second,blurred,5,386.0,1701.0,0.22692533803644915,0.1529159318048207,0.24279247501469722,0.22785714285714284
second,blurred,6,0.0,0.0,0.0,0.04957965902410347,0.014985302763080542,0.008224573780129337
second,blurred,7,3.0,1701.0,0.001763668430335097,0.059138741916519695,0.03598471487360377,0.008489124044679601
second,blurred,8,402.0,1701.0,0.23633156966490299,0.06830099941211053,0.12417989417989418,0.24757495590828923
second,blurred,9,1.0,1701.0,0.0005878894767783657,0.04839800117577895,0.03431510875955321,0.008259847148736038
second,blurred,10,785.0,1701.0,0.46149323927101704,0.07599647266313933,0.07652263374485596,0.21888594944150497
second,blurred,11,1.0,1701.0,0.0005878894767783657,0.034782480893592004,0.009529688418577308,0.00815108759553204
second,blurred,12,0.0,0.0,0.0,0.04983539094650205,0.051116990005878896,0.010102880658436213
second,blurred,13,47.0,1701.0,0.027630805408583186,0.031875367430922986,0.12106407995296883,0.008315696649029982
second,blurred,14,0.0,0.0,0.0,0.02267195767195767,0.03170487948265726,0.0086331569664903
second,sharp,0,0.0,0.0,0.0,0.15111846459298478,0.10917604235605559,0.03343481138318994
second,sharp,1,2.0,1511.0,0.0013236267372600927,0.061055592322964924,0.0384976836532098,0.02457974851091992
second,sharp,2,15.0,1511.0,0.009927200529450696,0.053156849768365315,0.02743547319655857,0.06971211118464593
second,sharp,3,17.0,1511.0,0.011250827266710787,0.07664460622104566,0.04737921906022501,0.09810721376571807
second,sharp,4,11.0,1511.0,0.00727994705493051,0.07121111846459298,0.04315684976836532,0.008213103904698876
second,sharp,5,418.0,1511.0,0.27663798808735934,0.15547650562541362,0.24697551290536068,0.2627332892124421
second,sharp,6,1.0,1511.0,0.0006618133686300463,0.05045665122435473,0.015794176042356056,0.008252812706816678
second,sharp,7,6.0,1511.0,0.003970880211780278,0.06053606882859034,0.037276637988087356,0.008219722038385176
second,sharp,8,293.0,1511.0,0.19391131700860356,0.06909000661813368,0.12427531436135011,0.21108206485771014
second,sharp,9,0.0,0.0,0.0,0.04909331568497684,0.03471542025148908,0.008180013236267374
second,sharp,10,708.0,1511.0,0.4685638649900728,0.07117471872931834,0.07313368630046327,0.23421244209133024
second,sharp,11,0.0,0.0,0.0,0.033593646591661155,0.010903375248180015,0.00798477829252151
second,sharp,12,4.0,1511.0,0.0026472534745201853,0.0486300463269358,0.06073792190602251,0.00898411647915288
second,sharp,13,36.0,1511.0,0.02382528127068167,0.028491065519523497,0.10288219722038384,0.00827266710787558
second,sharp,14,0.0,0.0,0.0,0.020271343481138317,0.027660489741892787,0.008031105228325612
