relevant_property,sharpness,annotation_seq_flat,n,nt,emp_prop,utt,p_v1,p_v5,d_v1,d_v5
both,blurred,2,175.0,566.0,0.30918727915194344,DCF,0.15666077738515902,0.14113957597173146,-0.15252650176678442,-0.16804770318021198
both,blurred,8,153.0,566.0,0.2703180212014134,CF,0.23535335689045936,0.25008833922261486,-0.03496466431095405,-0.02022968197879854
both,blurred,10,66.0,566.0,0.1166077738515901,F,0.01510600706713781,0.014752650176678445,-0.10150176678445229,-0.10185512367491166
both,blurred,3,48.0,566.0,0.08480565371024736,DF,0.016996466431095408,0.01742049469964664,-0.06780918727915194,-0.06738515901060071
both,blurred,1,39.0,566.0,0.06890459363957598,DC,0.18174911660777388,0.19,0.1128445229681979,0.12109540636042403
both,blurred,7,29.0,566.0,0.05123674911660778,CDF,0.020273851590106008,0.022429328621908128,-0.03096289752650177,-0.02880742049469965
both,blurred,13,23.0,566.0,0.04063604240282685,FC,0.01758833922261484,0.017818021201413427,-0.02304770318021201,-0.022818021201413425
both,blurred,4,17.0,566.0,0.030035335689045935,DFC,0.020424028268551234,0.019637809187279153,-0.009611307420494701,-0.010397526501766782
both,blurred,5,5.0,566.0,0.0088339222614841,C,0.22219964664310954,0.21180212014134278,0.21336572438162543,0.20296819787985868
both,blurred,6,5.0,566.0,0.0088339222614841,CD,0.01441696113074205,0.014770318021201413,0.005583038869257951,0.005936395759717314
both,blurred,12,3.0,566.0,0.00530035335689046,FDC,0.01459363957597173,0.014461130742049471,0.009293286219081272,0.00916077738515901
both,blurred,9,2.0,566.0,0.0035335689045936395,CFD,0.01802120141342756,0.018515901060070672,0.01448763250883392,0.014982332155477032
both,blurred,11,1.0,566.0,0.0017667844522968198,FD,0.01558303886925795,0.015300353356890459,0.01381625441696113,0.013533568904593639
both,blurred,0,0.0,0.0,0.0,D,0.0363339222614841,0.0373321554770318,0.0363339222614841,0.0373321554770318
both,blurred,14,0.0,0.0,0.0,FCD,0.014699646643109542,0.014531802120141341,0.014699646643109542,0.014531802120141341
both,sharp,2,157.0,503.0,0.3121272365805169,DCF,0.2033797216699801,0.18217693836978133,-0.10874751491053677,-0.12995029821073556
both,sharp,8,102.0,503.0,0.20278330019880716,CF,0.17297216699801193,0.18629224652087475,-0.02981113320079523,-0.01649105367793241
both,sharp,1,99.0,503.0,0.19681908548707752,DC,0.23543737574552684,0.24591451292246522,0.03861829025844932,0.049095427435387695
both,sharp,3,54.0,503.0,0.1073558648111332,DF,0.016550695825049703,0.016620278330019878,-0.0908051689860835,-0.09073558648111332
