relevant_property,sharpness,annotation_seq_flat,n,nt,emp_prop,utt,p_v1,p_c1,d_v1,d_c1
both,blurred,0,0.0,0.0,0.0,D,0.0363339222614841,0.03818904593639576,0.0363339222614841,0.03818904593639576
both,blurred,1,39.0,566.0,0.06890459363957598,DC,0.18174911660777388,0.11074204946996467,0.1128445229681979,0.0418374558303887
both,blurred,2,175.0,566.0,0.30918727915194344,DCF,0.15666077738515902,0.3327650176678445,-0.15252650176678442,0.02357773851590106
both,blurred,3,48.0,566.0,0.08480565371024736,DF,0.016996466431095408,0.0947173144876325,-0.06780918727915194,0.009911660777385145
both,blurred,4,17.0,566.0,0.030035335689045935,DFC,0.020424028268551234,0.00941696113074205,-0.009611307420494701,-0.020618374558303884
both,blurred,5,5.0,566.0,0.0088339222614841,C,0.22219964664310954,0.06350706713780918,0.21336572438162543,0.05467314487632508
both,blurred,6,5.0,566.0,0.0088339222614841,CD,0.01441696113074205,0.0074476759989127485,0.005583038869257951,-0.0013862462625713508
both,blurred,7,29.0,566.0,0.05123674911660778,CDF,0.020273851590106008,0.008630742049469965,-0.03096289752650177,-0.04260600706713781
both,blurred,8,153.0,566.0,0.2703180212014134,CF,0.23535335689045936,0.2343374558303887,-0.03496466431095405,-0.0359805653710247
both,blurred,9,2.0,566.0,0.0035335689045936395,CFD,0.01802120141342756,0.009973498233215548,0.01448763250883392,0.006439929328621909
both,blurred,10,66.0,566.0,0.1166077738515901,F,0.01510600706713781,0.053692579505300354,-0.10150176678445229,-0.06291519434628975
both,blurred,11,1.0,566.0,0.0017667844522968198,FD,0.01558303886925795,0.007155920947493653,0.01381625441696113,0.005389136495196832
both,blurred,12,3.0,566.0,0.00530035335689046,FDC,0.01459363957597173,0.009206811442370864,0.009293286219081272,0.003906458085480405
both,blurred,13,23.0,566.0,0.04063604240282685,FC,0.01758833922261484,0.009304472894507875,-0.02304770318021201,-0.031331569508318974
both,blurred,14,0.0,0.0,0.0,FCD,0.014699646643109542,0.011227915194346289,0.014699646643109542,0.011227915194346289
both,sharp,0,0.0,0.0,0.0,D,0.04301192842942345,0.038916500994035784,0.04301192842942345,0.038916500994035784
both,sharp,1,99.0,503.0,0.19681908548707752,DC,0.23543737574552684,0.12292246520874751,0.03861829025844932,-0.07389662027833001
both,sharp,2,157.0,503.0,0.3121272365805169,DCF,0.2033797216699801,0.3725347912524851,-0.10874751491053677,0.06040755467196823
both,sharp,3,54.0,503.0,0.1073558648111332,DF,0.016550695825049703,0.08354870775347913,-0.0908051689860835,-0.02380715705765407
both,sharp,4,15.0,503.0,0.02982107355864811,DFC,0.01985089463220676,0.008971297841094138,-0.00997017892644135,-0.020849775717553972
both,sharp,5,0.0,0.0,0.0,C,0.17481113320079522,0.06029821073558648,0.17481113320079522,0.06029821073558648
both,sharp,6,6.0,503.0,0.011928429423459244,CD,0.015019880715705765,0.00715911783186889,0.0030914512922465207,-0.004769311591590354
both,sharp,7,14.0,503.0,0.027833001988071572,CDF,0.02618290258449304,0.009347952687912926,-0.0016500994035785303,-0.018485049300158644
both,sharp,8,102.0,503.0,0.20278330019880716,CF,0.17297216699801193,0.20507952286282308,-0.02981113320079523,0.0022962226640159122
both,sharp,9,2.0,503.0,0.003976143141153081,CFD,0.016928429423459245,0.009580706714486948,0.012952286282306165,0.005604563573333867
both,sharp,10,42.0,503.0,0.08349900596421471,F,0.015039761431411532,0.04722664015904573,-0.06845924453280318,-0.03627236580516898
both,sharp,11,0.0,0.0,0.0,FD,0.015328031809145128,0.00745271957995616,0.015328031809145128,0.00745271957995616
both,sharp,12,0.0,0.0,0.0,FDC,0.014801192842942346,0.008520306731042317,0.014801192842942346,0.008520306731042317
both,sharp,13,11.0,503.0,0.02186878727634195,FC,0.01614314115308151,0.008895605956100134,-0.005725646123260441,-0.012973181320241816
both,sharp,14,1.0,503.0,0.0019880715705765406,FCD,0.014542743538767396,0.010677054424720712,0.012554671968190855,0.008688982854144172
first,blurred,0,31.0,554.0,0.05595667870036101,D,0.19459386281588448,0.07681407942238266,0.13863718411552348,0.020857400722021656
first,blurred,1,24.0,554.0,0.04332129963898917,DC,0.17932310469314078,0.07533393501805054,0.1360018050541516,0.03201263537906137
first,blurred,2,166.0,554.0,0.2996389891696751,DCF,0.1525451263537906,0.2198104693140794,-0.14709386281588446,-0.07982851985559566
first,blurred,3,202.0,554.0,0.36462093862815886,DF,0.08105595667870036,0.32447653429602885,-0.2835649819494585,-0.04014440433213001
first,blurred,4,18.0,554.0,0.032490974729241874,DFC,0.18733754512635378,0.014187725631768953,0.15484657039711192,-0.01830324909747292
first,blurred,5,3.0,554.0,0.005415162454873646,C,0.03595667870036101,0.022102888086642597,0.030541516245487364,0.01668772563176895
first,blurred,6,1.0,554.0,0.0018050541516245488,CD,0.015342960288808665,0.0071646764787559,0.013537906137184117,0.005359622327131351
first,blurred,7,22.0,554.0,0.039711191335740074,CDF,0.01546028880866426,0.006987606535412557,-0.024250902527075815,-0.03272358480032752
first,blurred,8,48.0,554.0,0.08664259927797834,CF,0.038528880866425995,0.09129963898916968,-0.04811371841155234,0.004657039711191344
first,blurred,9,0.0,0.0,0.0,CFD,0.015568592057761732,0.008008209789440892,0.015568592057761732,0.008008209789440892
first,blurred,10,21.0,554.0,0.03790613718411552,F,0.014485559566787003,0.10382671480144405,-0.02342057761732852,0.06592057761732853
first,blurred,11,5.0,554.0,0.009025270758122744,FD,0.015072202166064981,0.009107735160988839,0.0060469314079422375,8.246440286609549e-05
first,blurred,12,2.0,554.0,0.0036101083032490976,FDC,0.01743682310469314,0.023971119133574005,0.013826714801444043,0.02036101083032491
first,blurred,13,9.0,554.0,0.016245487364620937,FC,0.02220216606498195,0.008167870036101083,0.005956678700361012,-0.008077617328519854
first,blurred,14,2.0,554.0,0.0036101083032490976,FCD,0.015090252707581226,0.009433448832610707,0.011480144404332128,0.005823340529361609
first,sharp,0,135.0,502.0,0.2689243027888446,D,0.21360557768924301,0.08177290836653386,-0.05531872509960159,-0.18715139442231074
first,sharp,1,23.0,502.0,0.045816733067729085,DC,0.1552788844621514,0.07113545816733068,0.10946215139442232,0.02531872509960159
first,sharp,2,103.0,502.0,0.2051792828685259,DCF,0.13612549800796814,0.2121613545816733,-0.06905378486055777,0.006982071713147381
first,sharp,3,116.0,502.0,0.23107569721115537,DF,0.09018924302788844,0.350199203187251,-0.14088645418326692,0.11912350597609564
first,sharp,4,11.0,502.0,0.021912350597609563,DFC,0.20806772908366533,0.014601593625498009,0.18615537848605576,-0.007310756972111554
first,sharp,5,0.0,0.0,0.0,C,0.03325697211155378,0.019591633466135457,0.03325697211155378,0.019591633466135457
first,sharp,6,0.0,0.0,0.0,CD,0.014770916334661354,0.007216033823888121,0.014770916334661354,0.007216033823888121
first,sharp,7,9.0,502.0,0.017928286852589643,CDF,0.015268924302788844,0.0067707891836907685,-0.002659362549800799,-0.011157497668898874
first,sharp,8,47.0,502.0,0.09362549800796813,CF,0.034760956175298806,0.07921314741035856,-0.05886454183266932,-0.014412350597609563
