relevant_property,sharpness,annotation_seq_flat,n,nt,emp_prop,utt,p_v1,p_v5,d_v1,d_v5
both,blurred,0,0.0,0.0,0.0,D,0.0363339222614841,0.040159010600706715,0.0363339222614841,0.040159010600706715
both,blurred,1,39.0,566.0,0.06890459363957598,DC,0.18174911660777388,0.24719964664310953,0.1128445229681979,0.17829505300353354
both,blurred,2,175.0,566.0,0.30918727915194344,DCF,0.15666077738515902,0.1865989399293286,-0.15252650176678442,-0.12258833922261483
both,blurred,3,48.0,566.0,0.08480565371024736,DF,0.016996466431095408,0.040918727915194346,-0.06780918727915194,-0.04388692579505301
both,blurred,4,17.0,566.0,0.030035335689045935,DFC,0.020424028268551234,0.04884275618374558,-0.009611307420494701,0.018807420494699648
both,blurred,5,5.0,566.0,0.0088339222614841,C,0.22219964664310954,0.06659010600706713,0.21336572438162543,0.057756183745583035
both,blurred,6,5.0,566.0,0.0088339222614841,CD,0.01441696113074205,0.013568904593639575,0.005583038869257951,0.004734982332155475
both,blurred,7,29.0,566.0,0.05123674911660778,CDF,0.020273851590106008,0.04006183745583039,-0.03096289752650177,-0.011174911660777387
both,blurred,8,153.0,566.0,0.2703180212014134,CF,0.23535335689045936,0.20051236749116608,-0.03496466431095405,-0.06980565371024733
both,blurred,9,2.0,566.0,0.0035335689045936395,CFD,0.01802120141342756,0.030600706713780918,0.01448763250883392,0.027067137809187278
both,blurred,10,66.0,566.0,0.1166077738515901,F,0.01510600706713781,0.011660777385159011,-0.10150176678445229,-0.10494699646643109
both,blurred,11,1.0,566.0,0.0017667844522968198,FD,0.01558303886925795,0.010715547703180213,0.01381625441696113,0.008948763250883392
both,blurred,12,3.0,566.0,0.00530035335689046,FDC,0.01459363957597173,0.01163427561837456,0.009293286219081272,0.0063339222614841
both,blurred,13,23.0,566.0,0.04063604240282685,FC,0.01758833922261484,0.03795936395759717,-0.02304770318021201,-0.0026766784452296813
both,blurred,14,0.0,0.0,0.0,FCD,0.014699646643109542,0.012977031802120141,0.014699646643109542,0.012977031802120141
both,sharp,0,0.0,0.0,0.0,D,0.04301192842942345,0.04433399602385686,0.04301192842942345,0.04433399602385686
both,sharp,1,99.0,503.0,0.19681908548707752,DC,0.23543737574552684,0.27894632206759445,0.03861829025844932,0.08212723658051693
both,sharp,2,157.0,503.0,0.3121272365805169,DCF,0.2033797216699801,0.2108051689860835,-0.10874751491053677,-0.10132206759443338
both,sharp,3,54.0,503.0,0.1073558648111332,DF,0.016550695825049703,0.04100397614314115,-0.0908051689860835,-0.06635188866799205
both,sharp,4,15.0,503.0,0.02982107355864811,DFC,0.01985089463220676,0.05079522862823062,-0.00997017892644135,0.020974155069582508
both,sharp,5,0.0,0.0,0.0,C,0.17481113320079522,0.058330019880715706,0.17481113320079522,0.058330019880715706
both,sharp,6,6.0,503.0,0.011928429423459244,CD,0.015019880715705765,0.013638170974155069,0.0030914512922465207,0.0017097415506958247
both,sharp,7,14.0,503.0,0.027833001988071572,CDF,0.02618290258449304,0.046332007952286286,-0.0016500994035785303,0.018499005964214714
both,sharp,8,102.0,503.0,0.20278330019880716,CF,0.17297216699801193,0.15210735586481114,-0.02981113320079523,-0.050675944333996026
both,sharp,9,2.0,503.0,0.003976143141153081,CFD,0.016928429423459245,0.02554671968190855,0.012952286282306165,0.02157057654075547
both,sharp,10,42.0,503.0,0.08349900596421471,F,0.015039761431411532,0.011406309617045203,-0.06845924453280318,-0.0720926963471695
