relevant_property,sharpness,annotation_seq_flat,n,nt,emp_prop,utt,p_v1,p_f2,d_v1,d_f2
both,blurred,0,0.0,0.0,0.0,D,0.0363339222614841,0.028816254416961132,0.0363339222614841,0.028816254416961132
both,blurred,1,39.0,566.0,0.06890459363957598,DC,0.18174911660777388,0.10681978798586572,0.1128445229681979,0.037915194346289746
both,blurred,2,175.0,566.0,0.30918727915194344,DCF,0.15666077738515902,0.38109540636042405,-0.15252650176678442,0.07190812720848061
both,blurred,3,48.0,566.0,0.08480565371024736,DF,0.016996466431095408,0.09007950530035336,-0.06780918727915194,0.005273851590106002
both,blurred,4,17.0,566.0,0.030035335689045935,DFC,0.020424028268551234,0.009428859883175886,-0.009611307420494701,-0.02060647580587005
both,blurred,5,5.0,566.0,0.0088339222614841,C,0.22219964664310954,0.046943462897526496,0.21336572438162543,0.0381095406360424
both,blurred,6,5.0,566.0,0.0088339222614841,CD,0.01441696113074205,0.007178139973729488,0.005583038869257951,-0.0016557822877546115
both,blurred,7,29.0,566.0,0.05123674911660778,CDF,0.020273851590106008,0.008922705399790471,-0.03096289752650177,-0.04231404371681731
both,blurred,8,153.0,566.0,0.2703180212014134,CF,0.23535335689045936,0.23251766784452296,-0.03496466431095405,-0.03780035335689044
both,blurred,9,2.0,566.0,0.0035335689045936395,CFD,0.01802120141342756,0.00990819823499121,0.01448763250883392,0.006374629330397571
both,blurred,10,66.0,566.0,0.1166077738515901,F,0.01510600706713781,0.041360424028268554,-0.10150176678445229,-0.07524734982332154
both,blurred,11,1.0,566.0,0.0017667844522968198,FD,0.01558303886925795,0.007093907270585716,0.01381625441696113,0.005327122818288897
both,blurred,12,3.0,566.0,0.00530035335689046,FDC,0.01459363957597173,0.0092867162668466,0.009293286219081272,0.003986362909956141
both,blurred,13,23.0,566.0,0.04063604240282685,FC,0.01758833922261484,0.009399293286219081,-0.02304770318021201,-0.031236749116607773
both,blurred,14,0.0,0.0,0.0,FCD,0.014699646643109542,0.01187279151943463,0.014699646643109542,0.01187279151943463
both,sharp,0,0.0,0.0,0.0,D,0.04301192842942345,0.05075546719681909,0.04301192842942345,0.05075546719681909
both,sharp,1,99.0,503.0,0.19681908548707752,DC,0.23543737574552684,0.12782306163021867,0.03861829025844932,-0.06899602385685885
both,sharp,2,157.0,503.0,0.3121272365805169,DCF,0.2033797216699801,0.3239363817097416,-0.10874751491053677,0.011809145129224707
both,sharp,3,54.0,503.0,0.1073558648111332,DF,0.016550695825049703,0.08737574552683897,-0.0908051689860835,-0.01998011928429423
both,sharp,4,15.0,503.0,0.02982107355864811,DFC,0.01985089463220676,0.008122979295941522,-0.00997017892644135,-0.021698094262706587
