relevant_property,sharpness,annotation_seq_flat,n,nt,emp_prop,utt,p_v1,p_v5,d_v1,d_v5
both,blurred,0,0.0,0.0,0.0,D,0.0363339222614841,0.07799469964664311,0.0363339222614841,0.07799469964664311
both,blurred,1,39.0,566.0,0.06890459363957598,DC,0.18174911660777388,0.24446113074204948,0.1128445229681979,0.1755565371024735
both,blurred,2,175.0,566.0,0.30918727915194344,DCF,0.15666077738515902,0.16325971731448763,-0.15252650176678442,-0.1459275618374558
both,blurred,3,48.0,566.0,0.08480565371024736,DF,0.016996466431095408,0.03260600706713781,-0.06780918727915194,-0.05219964664310955
both,blurred,4,17.0,566.0,0.030035335689045935,DFC,0.020424028268551234,0.04139575971731449,-0.009611307420494701,0.011360424028268555
both,blurred,5,5.0,566.0,0.0088339222614841,C,0.22219964664310954,0.1391166077738516,0.21336572438162543,0.1302826855123675
both,blurred,6,5.0,566.0,0.0088339222614841,CD,0.01441696113074205,0.011519434628975265,0.005583038869257951,0.0026855123674911652
both,blurred,7,29.0,566.0,0.05123674911660778,CDF,0.020273851590106008,0.01767667844522968,-0.03096289752650177,-0.033560070671378096
both,blurred,8,153.0,566.0,0.2703180212014134,CF,0.23535335689045936,0.17546819787985865,-0.03496466431095405,-0.09484982332155475
both,blurred,9,2.0,566.0,0.0035335689045936395,CFD,0.01802120141342756,0.01697879858657244,0.01448763250883392,0.0134452296819788
both,blurred,10,66.0,566.0,0.1166077738515901,F,0.01510600706713781,0.011899293286219081,-0.10150176678445229,-0.10470848056537102
both,blurred,11,1.0,566.0,0.0017667844522968198,FD,0.01558303886925795,0.012199646643109541,0.01381625441696113,0.010432862190812721
both,blurred,12,3.0,566.0,0.00530035335689046,FDC,0.01459363957597173,0.012164310954063604,0.009293286219081272,0.006863957597173144
both,blurred,13,23.0,566.0,0.04063604240282685,FC,0.01758833922261484,0.031139575971731448,-0.02304770318021201,-0.009496466431095404
both,blurred,14,0.0,0.0,0.0,FCD,0.014699646643109542,0.012120141342756184,0.014699646643109542,0.012120141342756184
both,sharp,0,0.0,0.0,0.0,D,0.04301192842942345,0.08370775347912525,0.04301192842942345,0.08370775347912525
both,sharp,1,99.0,503.0,0.19681908548707752,DC,0.23543737574552684,0.28571570576540756,0.03861829025844932,0.08889662027833004
both,sharp,2,157.0,503.0,0.3121272365805169,DCF,0.2033797216699801,0.1884691848906561,-0.10874751491053677,-0.1236580516898608
both,sharp,3,54.0,503.0,0.1073558648111332,DF,0.016550695825049703,0.030288270377733597,-0.0908051689860835,-0.0770675944333996
both,sharp,4,15.0,503.0,0.02982107355864811,DFC,0.01985089463220676,0.039731610337972165,-0.00997017892644135,0.009910536779324054
both,sharp,5,0.0,0.0,0.0,C,0.17481113320079522,0.11694831013916501,0.17481113320079522,0.11694831013916501
both,sharp,6,6.0,503.0,0.011928429423459244,CD,0.015019880715705765,0.012483474785802948,0.0030914512922465207,0.0005550453623437042
both,sharp,7,14.0,503.0,0.027833001988071572,CDF,0.02618290258449304,0.019353876739562622,-0.0016500994035785303,-0.00847912524850895
both,sharp,8,102.0,503.0,0.20278330019880716,CF,0.17297216699801193,0.13457256461232606,-0.02981113320079523,-0.06821073558648111
both,sharp,9,2.0,503.0,0.003976143141153081,CFD,0.016928429423459245,0.016292246520874753,0.012952286282306165,0.012316103379721673
both,sharp,10,42.0,503.0,0.08349900596421471,F,0.015039761431411532,0.012457915821652996,-0.06845924453280318,-0.07104109014256171
both,sharp,11,0.0,0.0,0.0,FD,0.015328031809145128,0.011481113320079523,0.015328031809145128,0.011481113320079523
both,sharp,12,0.0,0.0,0.0,FDC,0.014801192842942346,0.01247063076088921,0.014801192842942346,0.01247063076088921
both,sharp,13,11.0,503.0,0.02186878727634195,FC,0.01614314115308151,0.024721669980119283,-0.005725646123260441,0.0028528827037773326
both,sharp,14,1.0,503.0,0.0019880715705765406,FCD,0.014542743538767396,0.011857787286433684,0.012554671968190855,0.009869715715857144
first,blurred,0,31.0,554.0,0.05595667870036101,D,0.19459386281588448,0.18776173285198555,0.13863718411552348,0.13180505415162455
first,blurred,1,24.0,554.0,0.04332129963898917,DC,0.17932310469314078,0.1901173285198556,0.1360018050541516,0.14679602888086643
first,blurred,2,166.0,554.0,0.2996389891696751,DCF,0.1525451263537906,0.12481046931407942,-0.14709386281588446,-0.17482851985559567
first,blurred,3,202.0,554.0,0.36462093862815886,DF,0.08105595667870036,0.11071299638989168,-0.2835649819494585,-0.2539079422382672
first,blurred,4,18.0,554.0,0.032490974729241874,DFC,0.18733754512635378,0.15498194945848376,0.15484657039711192,0.12249097472924189
first,blurred,5,3.0,554.0,0.005415162454873646,C,0.03595667870036101,0.041579422382671476,0.030541516245487364,0.03616425992779783
first,blurred,6,1.0,554.0,0.0018050541516245488,CD,0.015342960288808665,0.011338279846887869,0.013537906137184117,0.00953322569526332
first,blurred,7,22.0,554.0,0.039711191335740074,CDF,0.01546028880866426,0.012292418772563176,-0.024250902527075815,-0.0274187725631769
first,blurred,8,48.0,554.0,0.08664259927797834,CF,0.038528880866425995,0.05371841155234657,-0.04811371841155234,-0.032924187725631764
first,blurred,9,0.0,0.0,0.0,CFD,0.015568592057761732,0.013140794223826715,0.015568592057761732,0.013140794223826715
first,blurred,10,21.0,554.0,0.03790613718411552,F,0.014485559566787003,0.012825862162799557,-0.02342057761732852,-0.025080275021315962
first,blurred,11,5.0,554.0,0.009025270758122744,FD,0.015072202166064981,0.011480144404332128,0.0060469314079422375,0.0024548736462093844
first,blurred,12,2.0,554.0,0.0036101083032490976,FDC,0.01743682310469314,0.02291516245487365,0.013826714801444043,0.019305054151624552
first,blurred,13,9.0,554.0,0.016245487364620937,FC,0.02220216606498195,0.04,0.005956678700361012,0.023754512635379064
first,blurred,14,2.0,554.0,0.0036101083032490976,FCD,0.015090252707581226,0.012445848375451263,0.011480144404332128,0.008835740072202166
first,sharp,0,135.0,502.0,0.2689243027888446,D,0.21360557768924301,0.19749003984063745,-0.05531872509960159,-0.07143426294820715
first,sharp,1,23.0,502.0,0.045816733067729085,DC,0.1552788844621514,0.18167330677290838,0.10946215139442232,0.13585657370517928
first,sharp,2,103.0,502.0,0.2051792828685259,DCF,0.13612549800796814,0.12229083665338646,-0.06905378486055777,-0.08288844621513945
first,sharp,3,116.0,502.0,0.23107569721115537,DF,0.09018924302788844,0.11818725099601593,-0.14088645418326692,-0.11288844621513944
first,sharp,4,11.0,502.0,0.021912350597609563,DFC,0.20806772908366533,0.16488047808764938,0.18615537848605576,0.14296812749003981
first,sharp,5,0.0,0.0,0.0,C,0.03325697211155378,0.0375996015936255,0.03325697211155378,0.0375996015936255
first,sharp,6,0.0,0.0,0.0,CD,0.014770916334661354,0.011501731766401731,0.014770916334661354,0.011501731766401731
first,sharp,7,9.0,502.0,0.017928286852589643,CDF,0.015268924302788844,0.012679282868525897,-0.002659362549800799,-0.005249003984063746
first,sharp,8,47.0,502.0,0.09362549800796813,CF,0.034760956175298806,0.04627490039840637,-0.05886454183266932,-0.047350597609561756
first,sharp,9,1.0,502.0,0.00199203187250996,CFD,0.015189243027888447,0.012858565737051792,0.013197211155378486,0.010866533864541832
first,sharp,10,51.0,502.0,0.10159362549800798,F,0.014452191235059761,0.012519920318725099,-0.08714143426294821,-0.08907370517928287
first,sharp,11,1.0,502.0,0.00199203187250996,FD,0.015255560671885323,0.011942231075697212,0.013263528799375363,0.009950199203187252
first,sharp,12,0.0,0.0,0.0,FDC,0.01840637450199203,0.025278884462151395,0.01840637450199203,0.025278884462151395
first,sharp,13,5.0,502.0,0.0099601593625498,FC,0.02049800796812749,0.032778884462151395,0.01053784860557769,0.022818725099601596
first,sharp,14,0.0,0.0,0.0,FCD,0.01495019920318725,0.012162405653766842,0.01495019920318725,0.012162405653766842
second,blurred,0,0.0,0.0,0.0,D,0.0191358024691358,0.013439153439153438,0.0191358024691358,0.013439153439153438
second,blurred,1,0.0,0.0,0.0,DC,0.04829805996472663,0.01828042328042328,0.04829805996472663,0.01828042328042328
second,blurred,2,15.0,567.0,0.026455026455026454,DCF,0.04397707231040564,0.016225749559082892,0.017522045855379184,-0.010229276895943561
second,blurred,3,0.0,0.0,0.0,DF,0.015731922398589063,0.012169312169312168,0.015731922398589063,0.012169312169312168
second,blurred,4,8.0,567.0,0.014109347442680775,DFC,0.01591710758377425,0.013033509700176367,0.0018077601410934757,-0.0010758377425044083
second,blurred,5,356.0,567.0,0.6278659611992945,C,0.4024691358024691,0.41498236331569666,-0.22539682539682537,-0.21288359788359784
second,blurred,6,0.0,0.0,0.0,CD,0.015846560846560845,0.014920634920634921,0.015846560846560845,0.014920634920634921
second,blurred,7,3.0,567.0,0.005291005291005291,CDF,0.10564373897707231,0.12080246913580246,0.10035273368606702,0.11551146384479717
second,blurred,8,149.0,567.0,0.26278659611992944,CF,0.23803350970017637,0.29432098765432096,-0.024753086419753073,0.031534391534391526
second,blurred,9,0.0,0.0,0.0,CFD,0.018738977072310405,0.022865961199294533,0.018738977072310405,0.022865961199294533
second,blurred,10,25.0,567.0,0.04409171075837742,F,0.015229276895943562,0.011631393298059964,-0.02886243386243386,-0.03246031746031746
second,blurred,11,0.0,0.0,0.0,FD,0.014867724867724868,0.011781305114638447,0.014867724867724868,0.011781305114638447
second,blurred,12,0.0,0.0,0.0,FDC,0.015149911816578482,0.012390216093919798,0.015149911816578482,0.012390216093919798
second,blurred,13,11.0,567.0,0.019400352733686066,FC,0.01649911816578483,0.011975308641975308,-0.0029012345679012355,-0.0074250440917107575
second,blurred,14,0.0,0.0,0.0,FCD,0.014462081128747795,0.011305114638447971,0.014462081128747795,0.011305114638447971
second,sharp,0,0.0,0.0,0.0,D,0.019484126984126982,0.01298611111111111,0.019484126984126982,0.01298611111111111
second,sharp,1,1.0,504.0,0.001984126984126984,DC,0.04642857142857142,0.017123015873015873,0.04444444444444444,0.01513888888888889
second,sharp,2,1.0,504.0,0.001984126984126984,DCF,0.041696428571428565,0.014811507936507935,0.03971230158730158,0.012827380952380951
second,sharp,3,0.0,0.0,0.0,DF,0.01478174603174603,0.012440476190476191,0.01478174603174603,0.012440476190476191
second,sharp,4,3.0,504.0,0.005952380952380952,DFC,0.01595238095238095,0.012410714285714285,0.009999999999999998,0.006458333333333333
second,sharp,5,361.0,504.0,0.7162698412698413,C,0.4033035714285715,0.4150297619047619,-0.3129662698412698,-0.3012400793650794
second,sharp,6,0.0,0.0,0.0,CD,0.014613095238095238,0.015109126984126984,0.014613095238095238,0.015109126984126984
second,sharp,7,2.0,504.0,0.003968253968253968,CDF,0.10792658730158729,0.12033730158730158,0.10395833333333332,0.11636904761904761
second,sharp,8,116.0,504.0,0.23015873015873015,CF,0.23963293650793652,0.29731150793650796,0.009474206349206371,0.06715277777777781
second,sharp,9,0.0,0.0,0.0,CFD,0.01907738095238095,0.022271825396825394,0.01907738095238095,0.022271825396825394
second,sharp,10,10.0,504.0,0.01984126984126984,F,0.015376984126984126,0.01159722222222222,-0.004464285714285714,-0.00824404761904762
second,sharp,11,0.0,0.0,0.0,FD,0.014067460317460317,0.01191468253968254,0.014067460317460317,0.01191468253968254
second,sharp,12,0.0,0.0,0.0,FDC,0.015396825396825395,0.01198452580362128,0.015396825396825395,0.01198452580362128
second,sharp,13,10.0,504.0,0.01984126984126984,FC,0.016765873015873015,0.012509920634920634,-0.003075396825396825,-0.007331349206349206
second,sharp,14,0.0,0.0,0.0,FCD,0.015496031746031744,0.012222222222222221,0.015496031746031744,0.012222222222222221
