relevant_property,sharpness,annotation_seq_flat,n,nt,emp_prop,utt,p_v1,p_v5,d_v1,d_v5
both,blurred,0,0.0,0.0,0.0,D,0.0363339222614841,0.07736749116607773,0.0363339222614841,0.07736749116607773
both,blurred,1,39.0,566.0,0.06890459363957598,DC,0.18174911660777388,0.24525618374558303,0.1128445229681979,0.17635159010600704
both,blurred,2,175.0,566.0,0.30918727915194344,DCF,0.15666077738515902,0.16273851590106006,-0.15252650176678442,-0.14644876325088338
both,blurred,3,48.0,566.0,0.08480565371024736,DF,0.016996466431095408,0.032446996466431094,-0.06780918727915194,-0.05235865724381626
both,blurred,4,17.0,566.0,0.030035335689045935,DFC,0.020424028268551234,0.04169611307420495,-0.009611307420494701,0.011660777385159013
both,blurred,5,5.0,566.0,0.0088339222614841,C,0.22219964664310954,0.1377120141342756,0.21336572438162543,0.1288780918727915
both,blurred,6,5.0,566.0,0.0088339222614841,CD,0.01441696113074205,0.011890459363957597,0.005583038869257951,0.0030565371024734982
both,blurred,7,29.0,566.0,0.05123674911660778,CDF,0.020273851590106008,0.017888692579505303,-0.03096289752650177,-0.033348056537102475
both,blurred,8,153.0,566.0,0.2703180212014134,CF,0.23535335689045936,0.17547703180212015,-0.03496466431095405,-0.09484098939929325
both,blurred,9,2.0,566.0,0.0035335689045936395,CFD,0.01802120141342756,0.017190812720848058,0.01448763250883392,0.013657243816254418
both,blurred,10,66.0,566.0,0.1166077738515901,F,0.01510600706713781,0.0123321554770318,-0.10150176678445229,-0.1042756183745583
both,blurred,11,1.0,566.0,0.0017667844522968198,FD,0.01558303886925795,0.01196113074204947,0.01381625441696113,0.01019434628975265
both,blurred,12,3.0,566.0,0.00530035335689046,FDC,0.01459363957597173,0.012102473498233214,0.009293286219081272,0.006802120141342754
both,blurred,13,23.0,566.0,0.04063604240282685,FC,0.01758833922261484,0.03170494699646643,-0.02304770318021201,-0.008931095406360424
both,blurred,14,0.0,0.0,0.0,FCD,0.014699646643109542,0.012234982332155477,0.014699646643109542,0.012234982332155477
both,sharp,0,0.0,0.0,0.0,D,0.04301192842942345,0.08279324055666004,0.04301192842942345,0.08279324055666004
both,sharp,1,99.0,503.0,0.19681908548707752,DC,0.23543737574552684,0.288389662027833,0.03861829025844932,0.09157057654075548
both,sharp,2,157.0,503.0,0.3121272365805169,DCF,0.2033797216699801,0.18757455268389664,-0.10874751491053677,-0.12455268389662025
both,sharp,3,54.0,503.0,0.1073558648111332,DF,0.016550695825049703,0.03133200795228628,-0.0908051689860835,-0.07602385685884691
both,sharp,4,15.0,503.0,0.02982107355864811,DFC,0.01985089463220676,0.039940357852882705,-0.00997017892644135,0.010119284294234594
both,sharp,5,0.0,0.0,0.0,C,0.17481113320079522,0.1152783300198807,0.17481113320079522,0.1152783300198807
both,sharp,6,6.0,503.0,0.011928429423459244,CD,0.015019880715705765,0.012158206539656534,0.0030914512922465207,0.0002297771161972901
both,sharp,7,14.0,503.0,0.027833001988071572,CDF,0.02618290258449304,0.01885685884691849,-0.0016500994035785303,-0.008976143141153081
both,sharp,8,102.0,503.0,0.20278330019880716,CF,0.17297216699801193,0.13388667992047712,-0.02981113320079523,-0.06889662027833005
both,sharp,9,2.0,503.0,0.003976143141153081,CFD,0.016928429423459245,0.01652087475149105,0.012952286282306165,0.012544731610337971
both,sharp,10,42.0,503.0,0.08349900596421471,F,0.015039761431411532,0.012375745526838965,-0.06845924453280318,-0.07112326043737574
both,sharp,11,0.0,0.0,0.0,FD,0.015328031809145128,0.011778574782461013,0.015328031809145128,0.011778574782461013
