condition,annotation,probs_exp,se_exp,conditions,annotation,mean_probs_model,se_model
both_relevant_blurred,0,0.0,0.0,both_relevant_blurred,0,0.13141696113074203,0.0007636165833080005
both_relevant_blurred,1,0.0689982332155477,0.010567408096279613,both_relevant_blurred,1,0.09653003533568905,0.00045497295825549155
both_relevant_blurred,2,0.31041872791519437,0.02013228912815399,both_relevant_blurred,2,0.09762014134275618,0.0004904921497703351
both_relevant_blurred,3,0.08419434628975264,0.011426094886078333,both_relevant_blurred,3,0.06410070671378092,0.00041162786428474265
both_relevant_blurred,4,0.02980212014134276,0.0068145167200310735,both_relevant_blurred,4,0.09625795053003533,0.0004780021307604731
both_relevant_blurred,5,0.008837455830388693,0.004013361232984156,both_relevant_blurred,5,0.12084275618374558,0.0006203770848613059
both_relevant_blurred,6,0.008784452296819787,0.0038470553912516663,both_relevant_blurred,6,0.01786631980747897,0.00028027502078707114
both_relevant_blurred,7,0.05118197879858657,0.009125580916981776,both_relevant_blurred,7,0.10053533568904593,0.0005113654218324103
both_relevant_blurred,8,0.27024381625441696,0.01884673256156952,both_relevant_blurred,8,0.05895229681978799,0.00035609773562398413
both_relevant_blurred,9,0.0035583038869257946,0.002507218411829505,both_relevant_blurred,9,0.01885573266674692,0.00030396743480577937
both_relevant_blurred,10,0.11609540636042402,0.013829070086699525,both_relevant_blurred,10,0.08018551236749118,0.00046267950775205955
both_relevant_blurred,11,0.001833922261484099,0.0018212077209125497,both_relevant_blurred,11,0.06786572438162544,0.0004223664631595468
both_relevant_blurred,12,0.00523851590106007,0.0030344362234106578,both_relevant_blurred,12,0.019028268551236748,0.0003055209325923576
both_relevant_blurred,13,0.04081448763250883,0.008606398427654928,both_relevant_blurred,13,0.01185338585413891,0.00026011004715358293
both_relevant_blurred,14,0.0,0.0,both_relevant_blurred,14,0.018483147458412476,0.00029991996693679273
both_relevant_sharp,0,0.0,0.0,both_relevant_sharp,0,0.13233797216699802,0.000809961994135303
both_relevant_sharp,1,0.19678926441351888,0.016913894968620835,both_relevant_sharp,1,0.0974234592445328,0.0004947059704764189
both_relevant_sharp,2,0.311286282306163,0.020178100934059084,both_relevant_sharp,2,0.09772365805168987,0.0005069543484003688
both_relevant_sharp,3,0.10666998011928429,0.014473376088018422,both_relevant_sharp,3,0.06453081510934393,0.000429455589245966
both_relevant_sharp,4,0.0300675944333996,0.007544364633261492,both_relevant_sharp,4,0.09799005964214712,0.0005159527660403296
both_relevant_sharp,5,0.0,0.0,both_relevant_sharp,5,0.11591650099403579,0.0005904424246203278
both_relevant_sharp,6,0.011715705765407553,0.004524577919629388,both_relevant_sharp,6,0.01785881308744132,0.00030261933385183627
both_relevant_sharp,7,0.027491053677932406,0.007271673371115858,both_relevant_sharp,7,0.10176938369781313,0.0005290164936147183
both_relevant_sharp,8,0.20196421471172962,0.017663012442535122,both_relevant_sharp,8,0.057174950298210736,0.0003702278167399522
both_relevant_sharp,9,0.0039204771371769385,0.0028067853256086876,both_relevant_sharp,9,0.019450431678466277,0.0003126571455866722
both_relevant_sharp,10,0.08342942345924452,0.012004359889477572,both_relevant_sharp,10,0.07822067594433399,0.00048243768012546653
both_relevant_sharp,11,0.0,0.0,both_relevant_sharp,11,0.07023260437375746,0.00044727937860151133
both_relevant_sharp,12,0.0,0.0,both_relevant_sharp,12,0.019224672028012466,0.00030546124046394225
both_relevant_sharp,13,0.021443339960238568,0.006241469560827256,both_relevant_sharp,13,0.01109425918714517,0.0002472350956179535
both_relevant_sharp,14,0.0020019880715705764,0.0019770579623439657,both_relevant_sharp,14,0.019557679001218364,0.00030833551038512573
color_relevant_blurred,0,0.0,0.0,color_relevant_blurred,0,0.12350088183421516,0.0008364871766575745
color_relevant_blurred,1,0.0,0.0,color_relevant_blurred,1,0.09245502645502646,0.0004365040926600079
color_relevant_blurred,2,0.026234567901234566,0.006749892268364867,color_relevant_blurred,2,0.09655555555555556,0.0005200398052426166
color_relevant_blurred,3,0.0,0.0,color_relevant_blurred,3,0.06081481481481481,0.00046859269018562186
color_relevant_blurred,4,0.013978835978835978,0.004805640166071408,color_relevant_blurred,4,0.09598941798941799,0.0005040705385491897
