condition,annotation,probs_exp,se_exp,conditions,annotation,mean_probs_model,se_model
both_relevant_blurred,0,0.0,0.0,both_relevant_blurred,0,0.13267950530035336,0.0002529049092028202
both_relevant_blurred,1,0.06951590106007068,0.010714391001397814,both_relevant_blurred,1,0.09736289752650176,0.00014568513406803244
both_relevant_blurred,2,0.3097508833922262,0.020067999172009424,both_relevant_blurred,2,0.09770618374558304,0.00015351336517036487
both_relevant_blurred,3,0.08508303886925794,0.011871207486246314,both_relevant_blurred,3,0.064223851590106,0.0001345495498311743
both_relevant_blurred,4,0.03032685512367491,0.007122086512786905,both_relevant_blurred,4,0.09800141342756184,0.00015567124666979534
both_relevant_blurred,5,0.008871024734982332,0.003977643183420271,both_relevant_blurred,5,0.11971113074204948,0.00019519859218052247
both_relevant_blurred,6,0.008994699646643109,0.004070020667832879,both_relevant_blurred,6,0.017851592941083915,8.918047499765037e-05
both_relevant_blurred,7,0.05124028268551237,0.00918897714670325,both_relevant_blurred,7,0.0996208480565371,0.00016186644354981714
both_relevant_blurred,8,0.27034628975265024,0.018450148945315697,both_relevant_blurred,8,0.0589922261484099,0.00011358039387581327
both_relevant_blurred,9,0.0036113074204946996,0.0025700878479936492,both_relevant_blurred,9,0.01860158736282776,9.003596369314535e-05
both_relevant_blurred,10,0.11684805653710248,0.013438425956466831,both_relevant_blurred,10,0.0797243816254417,0.00014351665512491103
both_relevant_blurred,11,0.001780918727915194,0.0018309343361779724,both_relevant_blurred,11,0.0671583038869258,0.00013321502112896967
both_relevant_blurred,12,0.005219081272084806,0.0030976140537083336,both_relevant_blurred,12,0.018651063079621055,9.012393227076049e-05
both_relevant_blurred,13,0.040542402826855124,0.008149874484910289,both_relevant_blurred,13,0.011458585153799274,7.247523765113243e-05
both_relevant_blurred,14,0.0,0.0,both_relevant_blurred,14,0.018673694165081092,9.068074081350604e-05
both_relevant_sharp,0,0.0,0.0,both_relevant_sharp,0,0.1335892644135189,0.00026121783930867394
both_relevant_sharp,1,0.19663021868787278,0.01820448109407128,both_relevant_sharp,1,0.09820556660039761,0.0001545854696778406
both_relevant_sharp,2,0.31300795228628225,0.020771566522610477,both_relevant_sharp,2,0.09863399602385685,0.0001640999445115806
both_relevant_sharp,3,0.10777335984095428,0.013481983897857956,both_relevant_sharp,3,0.0648906560636183,0.00014021863921735679
both_relevant_sharp,4,0.02973558648111332,0.007592546839255866,both_relevant_sharp,4,0.09863538767395627,0.00016209519732263502
both_relevant_sharp,5,0.0,0.0,both_relevant_sharp,5,0.11487037773359841,0.00018256055877829063
both_relevant_sharp,6,0.011709741550695825,0.004773814815242958,both_relevant_sharp,6,0.01808901659307356,9.180838606079516e-05
both_relevant_sharp,7,0.027369781312127237,0.007158358342158723,both_relevant_sharp,7,0.1007990059642147,0.0001740734657261313
both_relevant_sharp,8,0.2031272365805169,0.01802481238413283,both_relevant_sharp,8,0.05683459244532803,0.00011781232761831368
both_relevant_sharp,9,0.004009940357852882,0.002750955917346777,both_relevant_sharp,9,0.019407004864599977,9.393374985894808e-05
both_relevant_sharp,10,0.08312127236580517,0.01261633100855783,both_relevant_sharp,10,0.0768624254473161,0.00014836155065797138
both_relevant_sharp,11,0.0,0.0,both_relevant_sharp,11,0.06971769383697812,0.0001397161974308333
both_relevant_sharp,12,0.0,0.0,both_relevant_sharp,12,0.019386583402487976,9.399754115185674e-05
both_relevant_sharp,13,0.02191252485089463,0.00674876832186397,both_relevant_sharp,13,0.011294306698668094,7.315264474487689e-05
both_relevant_sharp,14,0.001986083499005964,0.0019969968639018225,both_relevant_sharp,14,0.01932762221346065,9.447481778199572e-05
color_relevant_blurred,0,0.0,0.0,color_relevant_blurred,0,0.12358659611992943,0.0002781316032838791
color_relevant_blurred,1,0.0,0.0,color_relevant_blurred,1,0.09382962962962962,0.00014233989973441616
color_relevant_blurred,2,0.026492063492063494,0.00688566490173698,color_relevant_blurred,2,0.09782275132275133,0.00016751139545788046
color_relevant_blurred,3,0.0,0.0,color_relevant_blurred,3,0.061002821869488535,0.000153216097119013
color_relevant_blurred,4,0.014047619047619047,0.004785289436276773,color_relevant_blurred,4,0.0980731922398589,0.0001661326203610537
color_relevant_blurred,5,0.628358024691358,0.02084631904949939,color_relevant_blurred,5,0.13167037037037038,0.0002417962503446098
color_relevant_blurred,6,0.0,0.0,color_relevant_blurred,6,0.017284551948277042,8.729892334220284e-05
color_relevant_blurred,7,0.005308641975308641,0.0030281216247991798,color_relevant_blurred,7,0.09900229276895943,0.0001695839502988761
color_relevant_blurred,8,0.26327689594356257,0.018681463019598225,color_relevant_blurred,8,0.06594744268077601,0.00012996933228884812
color_relevant_blurred,9,0.0,0.0,color_relevant_blurred,9,0.01795418353436606,9.049231657506046e-05
color_relevant_blurred,10,0.044088183421516755,0.008974975067125659,color_relevant_blurred,10,0.0837126984126984,0.00018225724395653261
