relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.030123674911660778,0.01674028268551237,0.04770318021201413,both | blurred
both,blurred,1,DC,0.06886395759717313,0.04946996466431095,0.09010600706713781,566,0.05726501766784452,0.038869257950530034,0.07950530035335689,both | blurred
both,blurred,2,DCF,0.30964840989399295,0.2703180212014134,0.3498233215547703,566,0.31714840989399296,0.2756183745583039,0.36488515901060065,both | blurred
both,blurred,3,DF,0.0843065371024735,0.061837455830388695,0.10781802120141319,566,0.0762190812720848,0.053003533568904596,0.10340106007067135,both | blurred
both,blurred,4,DFC,0.030020318021201413,0.0176678445229682,0.044169611307420496,566,0.021597173144876324,0.00967314487632509,0.0353356890459364,both | blurred
both,blurred,5,C,0.008814487632508835,0.0017667844522968198,0.0176678445229682,566,0.04154063604240283,0.024734982332155476,0.06007067137809187,both | blurred
both,blurred,6,CD,0.008813604240282685,0.0017667844522968198,0.0176678445229682,566,0.006851590106007066,0.0017667844522968198,0.014134275618374558,both | blurred
both,blurred,7,CDF,0.05100176678445229,0.03356890459363958,0.0706713780918728,566,0.007445229681978798,0.0017667844522968198,0.015901060070671377,both | blurred
both,blurred,8,CF,0.27022879858657245,0.23498233215547704,0.30918727915194344,566,0.2825194346289753,0.24465547703180213,0.3250883392226148,both | blurred
both,blurred,9,CFD,0.0035106007067137804,0.0,0.0088339222614841,566,0.05993286219081272,0.04063604240282685,0.07950530035335689,both | blurred
both,blurred,10,F,0.116773851590106,0.09010600706713781,0.1431095406360424,566,0.01533922261484099,0.00530035335689046,0.026501766784452298,both | blurred
both,blurred,11,FD,0.0018109540636042402,0.0,0.00530035335689046,566,0.006975265017667844,0.0017667844522968198,0.014134275618374558,both | blurred
both,blurred,12,FDC,0.005287102473498234,0.0,0.012367491166077738,566,0.009812720848056537,0.0017667844522968198,0.019434628975265017,both | blurred
both,blurred,13,FC,0.040724381625441695,0.024734982332155476,0.05653710247349823,566,0.052833922261484104,0.030035335689045935,0.07513250883392222,both | blurred
both,blurred,14,FCD,0.0,0.0,0.0,566,0.014395759717314488,0.00530035335689046,0.026501766784452298,both | blurred
both,sharp,0,D,0.0,0.0,0.0,503,0.07178926441351888,0.04771371769383698,0.09940357852882704,both | sharp
both,sharp,1,DC,0.19727335984095426,0.16302186878727634,0.23061630218687873,503,0.10844135188866799,0.07847912524850895,0.1411530815109344,both | sharp
both,sharp,2,DCF,0.3123747514910537,0.27236580516898606,0.3538767395626243,503,0.32759840954274355,0.2792743538767396,0.3757455268389662,both | sharp
both,sharp,3,DF,0.1067037773359841,0.08151093439363817,0.13325049701789238,503,0.10690656063618292,0.0775347912524851,0.13717693836978131,both | sharp
both,sharp,4,DFC,0.029820079522862822,0.015904572564612324,0.04572564612326044,503,0.01809940357852883,0.005964214711729622,0.030864811133200748,both | sharp
both,sharp,5,C,0.0,0.0,0.0,503,0.053777335984095426,0.033797216699801194,0.07952286282306163,both | sharp
both,sharp,6,CD,0.012004970178926442,0.003976143141153081,0.02186878727634195,503,0.007125248508946322,0.0009443339960238596,0.016948310139164965,both | sharp
both,sharp,7,CDF,0.027773359840954276,0.013916500994035786,0.0437375745526839,503,0.00772962226640159,0.0019880715705765406,0.016948310139164965,both | sharp
both,sharp,8,CF,0.20186481113320082,0.16898608349900596,0.23658051689860835,503,0.19493439363817097,0.15601391650099405,0.2345924453280318,both | sharp
both,sharp,9,CFD,0.003907554671968191,0.0,0.009940357852882704,503,0.02549900596421471,0.011928429423459244,0.041749502982107355,both | sharp
both,sharp,10,F,0.0835258449304175,0.05964214711729622,0.10934393638170974,503,0.017220675944333998,0.005964214711729622,0.02887673956262421,both | sharp
both,sharp,11,FD,0.0,0.0,0.0,503,0.006743538767395626,0.0,0.013916500994035786,both | sharp
both,sharp,12,FDC,0.0,0.0,0.0,503,0.009248508946322067,0.0019880715705765406,0.018936381709741504,both | sharp
both,sharp,13,FC,0.021823061630218688,0.009940357852882704,0.03578528827037773,503,0.0353479125248509,0.017892644135188866,0.055666003976143144,both | sharp
both,sharp,14,FCD,0.00191948310139165,0.0,0.005964214711729622,503,0.009538767395626242,0.0019880715705765406,0.017892644135188866,both | sharp
first,blurred,0,D,0.055603790613718417,0.03790613718411552,0.07581227436823104,554,0.10671119133574007,0.0776173285198556,0.1407942238267148,first | blurred
first,blurred,1,DC,0.04328880866425993,0.02707581227436823,0.061371841155234655,554,0.037794223826714796,0.021660649819494584,0.05595667870036101,first | blurred
first,blurred,2,DCF,0.3002734657039711,0.26173285198555957,0.33935018050541516,554,0.25255595667870034,0.21299638989169675,0.2915613718411552,first | blurred
first,blurred,3,DF,0.36438537906137186,0.3249097472924188,0.4043321299638989,554,0.372826714801444,0.327572202166065,0.4179151624548736,first | blurred
first,blurred,4,DFC,0.032615523465703976,0.018050541516245487,0.04693140794223827,554,0.013194945848375451,0.004467509025270761,0.02441335740072198,first | blurred
first,blurred,5,C,0.005367328519855595,0.0,0.01263537906137184,554,0.015148014440433212,0.005415162454873646,0.02707581227436823,first | blurred
first,blurred,6,CD,0.0017879061371841155,0.0,0.005415162454873646,554,0.007267148014440433,0.0018050541516245488,0.01444043321299639,first | blurred
first,blurred,7,CDF,0.039802346570397114,0.023465703971119134,0.05776173285198556,554,0.0070324909747292415,0.0008574007220216633,0.01444043321299639,first | blurred
