evidence_source,file_role,path,required,exists,n_rows,status,note
slider_posterior_ablation,pairwise_decisions,models/slider/results_anchored_mixture_pilot/stats/slider_anchored_mixture_eval_pairwise_decisions.csv,True,True,14,ready,
slider_posterior_ablation,model_decision_summary,models/slider/results_anchored_mixture_pilot/stats/slider_anchored_mixture_eval_model_decision_summary.csv,False,True,10,ready,
slider_posterior_ablation,pareto_scores,models/slider/results_anchored_mixture_pilot/stats/slider_anchored_mixture_eval_pareto_scores.csv,False,True,10,ready,
slider_posterior_ablation,pareto_frontier,models/slider/results_anchored_mixture_pilot/stats/slider_anchored_mixture_eval_pareto_frontier.csv,False,True,3,ready,
slider_heldout_ablation,pairwise_decisions,models/slider/results_anchored_heldout_pilot/stats/slider_anchored_heldout_eval_pairwise_decisions.csv,True,True,12,ready,
slider_heldout_ablation,model_decision_summary,models/slider/results_anchored_heldout_pilot/stats/slider_anchored_heldout_eval_model_decision_summary.csv,False,True,9,ready,
slider_heldout_ablation,pareto_scores,models/slider/results_anchored_heldout_pilot/stats/slider_anchored_heldout_eval_pareto_scores.csv,False,True,9,ready,
slider_heldout_ablation,pareto_frontier,models/slider/results_anchored_heldout_pilot/stats/slider_anchored_heldout_eval_pareto_frontier.csv,False,True,3,ready,
slider_semantic_reliability_pilot,pairwise_decisions,models/slider/results_free_color_pilot/stats/slider_free_color_eval_pairwise_decisions.csv,True,True,2,ready,
slider_semantic_reliability_pilot,model_decision_summary,models/slider/results_free_color_pilot/stats/slider_free_color_eval_model_decision_summary.csv,False,True,4,ready,
slider_semantic_reliability_pilot,pareto_scores,models/slider/results_free_color_pilot/stats/slider_free_color_eval_pareto_scores.csv,False,True,4,ready,
slider_semantic_reliability_pilot,pareto_frontier,models/slider/results_free_color_pilot/stats/slider_free_color_eval_pareto_frontier.csv,False,True,1,ready,
production_2x2,pareto_scores,models/production/results_bounded_form_2x2_pilot/stats/architecture_contrast/production_2x2_pareto_scores.csv,True,True,4,ready,
production_2x2,pareto_frontier,models/production/results_bounded_form_2x2_pilot/stats/architecture_contrast/production_2x2_pareto_frontier.csv,True,True,1,ready,
production_2x2,architecture_loo_diagnostics,models/production/results_bounded_form_2x2_pilot/stats/architecture_contrast/architecture_contrast_loo_diagnostics.csv,True,True,2,ready,
production_2x2,architecture_fit_metrics,models/production/results_bounded_form_2x2_pilot/stats/architecture_contrast/architecture_contrast_fit_metrics.csv,False,True,112,ready,
production_2x2,architecture_global_misses,models/production/results_bounded_form_2x2_pilot/stats/architecture_contrast/architecture_contrast_global_misses.csv,False,True,160,ready,
