group,model,fold,status,size_bytes,modified,metadata_mismatches,path
slider_heldout,incremental,0,present,33518316,2026-06-25T15:31:37,,models/slider/inference_data/mcmc_results_incremental_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc
slider_heldout,incremental,1,present,33046185,2026-06-25T15:32:18,,models/slider/inference_data/mcmc_results_incremental_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc
slider_heldout,incremental,2,present,33110088,2026-06-25T15:33:04,,models/slider/inference_data/mcmc_results_incremental_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc
slider_heldout,incremental,3,present,33759356,2026-06-25T15:33:45,,models/slider/inference_data/mcmc_results_incremental_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc
slider_heldout,incremental,4,present,33297546,2026-06-25T15:34:28,,models/slider/inference_data/mcmc_results_incremental_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc
slider_heldout,incremental_static,0,present,33521605,2026-06-25T15:35:13,,models/slider/inference_data/mcmc_results_incremental_static_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc
slider_heldout,incremental_static,1,present,33047336,2026-06-25T15:35:55,,models/slider/inference_data/mcmc_results_incremental_static_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc
slider_heldout,incremental_static,2,present,33110994,2026-06-25T15:36:36,,models/slider/inference_data/mcmc_results_incremental_static_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc
slider_heldout,incremental_static,3,present,33752244,2026-06-25T15:37:18,,models/slider/inference_data/mcmc_results_incremental_static_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc
slider_heldout,incremental_static,4,present,33305531,2026-06-25T15:37:57,,models/slider/inference_data/mcmc_results_incremental_static_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_mixture,0,present,33697102,2026-06-25T15:53:33,,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_mixture,1,present,33232320,2026-06-25T15:54:34,,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_mixture,2,present,33288528,2026-06-25T15:55:37,,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_mixture,3,present,33933379,2026-06-25T15:56:38,,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_mixture,4,present,33492205,2026-06-25T15:57:41,,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_mixture_anchored_static,0,present,33922070,2026-06-25T17:02:05,,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_mixture_anchored_static,1,present,33457612,2026-06-25T17:02:51,,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_mixture_anchored_static,2,present,33516481,2026-06-25T17:03:39,,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_mixture_anchored_static,3,present,34162884,2026-06-25T17:04:28,,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_mixture_anchored_static,4,present,33704276,2026-06-25T17:05:13,,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_mixture_static,0,present,33697390,2026-06-25T15:58:48,,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_mixture_static,1,present,33234364,2026-06-25T15:59:47,,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_mixture_static,2,present,33290400,2026-06-25T16:00:45,,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_mixture_static,3,present,33937033,2026-06-25T16:01:47,,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_mixture_static,4,present,33490638,2026-06-25T16:02:52,,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_order,0,present,33577714,2026-06-25T15:38:45,,models/slider/inference_data/mcmc_results_planned_usefulness_order_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_order,1,present,33119826,2026-06-25T15:39:31,,models/slider/inference_data/mcmc_results_planned_usefulness_order_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_order,2,present,33176649,2026-06-25T15:40:14,,models/slider/inference_data/mcmc_results_planned_usefulness_order_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_order,3,present,33803375,2026-06-25T15:40:55,,models/slider/inference_data/mcmc_results_planned_usefulness_order_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_order,4,present,33365564,2026-06-25T15:41:35,,models/slider/inference_data/mcmc_results_planned_usefulness_order_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc
slider_heldout,planned_usefulness_order_static,0,present,33560632,2026-06-25T15:42:20,,models/slider/inference_data/mcmc_results_planned_usefulness_order_static_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc
