study,outcome,hypothesis,definition,mean,median,lower,upper,posterior_probability,credible_direction
study1a_slider,centered_rating,size_sufficient_above_both_necessary,size-sufficient minus both-necessary,0.09433787869727027,0.09426179737373938,0.061013619198022256,0.12717150846663786,1.0,True
study1a_slider,centered_rating,both_necessary_above_colour_sufficient,both-necessary minus colour-sufficient,0.17060223424355797,0.17101641005385645,0.13145174315815178,0.20797678696913136,1.0,True
study1a_slider,centered_rating,graded_context_order,minimum of the two adjacent context contrasts,0.09433516641393858,0.09426179737373938,0.061013619198022256,0.12717150846663786,1.0,True
study1a_slider,centered_rating,colour_sufficient_above_neutral,colour-sufficient centered rating minus zero,0.054512841927368855,0.0540337051613028,0.0026219995297096345,0.10898176718180959,0.9815,True
study1a_slider,centered_rating,size_sufficient_low_minus_high_discriminability,size_sufficient: low minus high discriminability,-0.04241850718122066,-0.04200101958146177,-0.09929593080930825,0.013354391401296843,0.068,False
study1a_slider,centered_rating,both_necessary_low_minus_high_discriminability,both_necessary: low minus high discriminability,0.04295834533599774,0.04271220857805286,-0.02801424121039865,0.11759520219192789,0.8815,False
study1a_slider,centered_rating,colour_sufficient_low_minus_high_discriminability,colour_sufficient: low minus high discriminability,0.021857587161585153,0.02074811908992267,-0.08220145348903955,0.1294644225711926,0.65525,False
study1b_slider,centered_rating,size_sufficient_above_both_necessary,size-sufficient minus both-necessary,0.07250019914324847,0.07256782233655926,0.028882228453167937,0.11470829070869096,0.9985,True
study1b_slider,centered_rating,both_necessary_above_colour_sufficient,both-necessary minus colour-sufficient,0.1405546085681577,0.1402536183262641,0.090420982955571,0.18974561990964342,1.0,True
study1b_slider,centered_rating,graded_context_order,minimum of the two adjacent context contrasts,0.07208340619088878,0.07239522707402966,0.028882228453167937,0.11226535918711517,0.9985,True
study1b_slider,centered_rating,colour_sufficient_above_neutral,colour-sufficient centered rating minus zero,0.05709980097780837,0.05735165923499362,0.0013162973154428822,0.11609049807411254,0.977,True
study1b_slider,centered_rating,size_sufficient_low_minus_high_discriminability,size_sufficient: low minus high discriminability,-0.08921474381626518,-0.08979709345135223,-0.15999138015333805,-0.013700090244706439,0.0075,False
study1b_slider,centered_rating,both_necessary_low_minus_high_discriminability,both_necessary: low minus high discriminability,-0.07580774055554373,-0.07600813847490448,-0.16144512137048966,0.010797491868094323,0.04675,False
study1b_slider,centered_rating,colour_sufficient_low_minus_high_discriminability,colour_sufficient: low minus high discriminability,-0.12407232122248746,-0.12360658289013267,-0.23981054635246393,-0.015784257266029285,0.01275,False
production_size_initial,size_initial_probability,size_sufficient_above_both_necessary,size-sufficient minus both-necessary,0.19312467860137836,0.19250656335201732,0.13915177667344875,0.24783739643785646,1.0,True
production_size_initial,size_initial_probability,both_necessary_above_colour_sufficient,both-necessary minus colour-sufficient,0.5302096617117934,0.5307901353834709,0.4594529103269574,0.6008508869622818,1.0,True
production_size_initial,size_initial_probability,graded_context_order,minimum of the two adjacent context contrasts,0.19312467860137836,0.19250656335201732,0.13915177667344875,0.24783739643785646,1.0,True
production_size_initial,size_initial_probability,size_sufficient_high_minus_low_discriminability,size_sufficient: high minus low discriminability,-0.021471740349784336,-0.020869582464192404,-0.10085466835372218,0.05724188471438847,0.29425,False
production_size_initial,size_initial_probability,both_necessary_high_minus_low_discriminability,both_necessary: high minus low discriminability,0.14066250438732855,0.1411350643834676,0.03571870764969518,0.2419618590593285,0.99675,True
production_size_initial,size_initial_probability,colour_sufficient_high_minus_low_discriminability,colour_sufficient: high minus low discriminability,-0.03338108166938601,-0.03184928885465831,-0.06783910963174329,-0.005888633112862412,0.0095,False
production_size_initial,size_initial_probability,both_necessary_high_discriminability_advantage,both-necessary high-minus-low contrast minus the mean contrast in sufficient contexts,0.1680889153969137,0.16896389741575157,0.07707270718572595,0.25597260309313963,0.9995,True
production_overinformative,overinformative_probability,size_sufficient_low_minus_high_discriminability,size_sufficient: low minus high discriminability,0.23399201489902163,0.23410436047020616,0.15142681891626442,0.3178550031009229,1.0,True
production_overinformative,overinformative_probability,both_necessary_low_minus_high_discriminability,both_necessary: low minus high discriminability,0.054624203528892606,0.05422505431170513,-0.04052235670563841,0.14991778724469576,0.8725,False
production_overinformative,overinformative_probability,colour_sufficient_low_minus_high_discriminability,colour_sufficient: low minus high discriminability,0.10671212922611847,0.10533519099186112,-0.004368888041882282,0.22350205346204388,0.96775,False
production_overinformative,overinformative_probability,size_sufficient_low_discriminability_advantage,size-sufficient low-minus-high contrast minus the mean contrast in the other contexts,0.1533238485215161,0.15269019688169638,0.0718026150674368,0.23577002330151695,1.0,True
