study,outcome,contrast,definition,median,lower,upper,direction,posterior_probability_direction,role
Study 1a,centered slider rating,high_minus_low_size_sufficient,high minus low size discriminability in size-sufficient context,0.04200101958146178,-0.013354391401296782,0.09929593080930828,> 0,0.932,within-context discriminability effect
Study 1a,centered slider rating,high_minus_low_both_necessary,high minus low size discriminability in both-necessary context,-0.04271220857805287,-0.11759520219192786,0.028014241210398676,> 0,0.1185,within-context discriminability effect
Study 1a,centered slider rating,high_minus_low_colour_sufficient,high minus low size discriminability in colour-sufficient context,-0.02074811908992267,-0.12946442257119256,0.08220145348903958,> 0,0.34475,within-context discriminability effect
Study 1a,centered slider rating,both_vs_size_interaction,high-minus-low effect in both-necessary minus size-sufficient context,-0.08494560799373561,-0.1506183204733344,-0.021870240471605365,> 0,0.00475,factorial interaction component
Study 1a,centered slider rating,colour_vs_size_interaction,high-minus-low effect in colour-sufficient minus size-sufficient context,-0.06285244458583404,-0.17219419486215648,0.038617633785407716,> 0,0.11475,factorial interaction component
Study 1a,centered slider rating,size_specific_crossover,high-minus-low effect in size-sufficient minus mean effect in other contexts,0.07427471753235268,-0.00017250336118407984,0.15559386368935357,> 0,0.97475,focused summary of Study 1a crossover pattern
Study 1b,centered slider rating,high_minus_low_size_sufficient,high minus low size discriminability in size-sufficient context,0.08979709345135223,0.013700090244706462,0.1599913801533381,> 0,0.9925,within-context discriminability effect
Study 1b,centered slider rating,high_minus_low_both_necessary,high minus low size discriminability in both-necessary context,0.07600813847490447,-0.010797491868094308,0.16144512137048966,> 0,0.95325,within-context discriminability effect
Study 1b,centered slider rating,high_minus_low_colour_sufficient,high minus low size discriminability in colour-sufficient context,0.12360658289013268,0.015784257266029306,0.23981054635246396,> 0,0.98725,within-context discriminability effect
Study 1b,centered slider rating,both_vs_size_interaction,high-minus-low effect in both-necessary minus size-sufficient context,-0.01372277899058693,-0.09671756362708898,0.07067352477004792,> 0,0.37675,factorial interaction component
Study 1b,centered slider rating,colour_vs_size_interaction,high-minus-low effect in colour-sufficient minus size-sufficient context,0.034146683889453286,-0.08241609795792816,0.15720100031572706,> 0,0.71525,factorial interaction component
Study 1b,centered slider rating,size_specific_crossover,high-minus-low effect in size-sufficient minus mean effect in other contexts,-0.010481722397147297,-0.10214717571990439,0.07938428952125137,> 0,0.4145,focused summary of Study 1a crossover pattern
Study 2,size_initial_probability,size_sufficient_high_minus_low_discriminability,size_sufficient: high minus low discriminability,-0.020869582464192404,-0.10085466835372218,0.05724188471438847,> 0,0.29425,within-context discriminability effect
Study 2,size_initial_probability,both_necessary_high_minus_low_discriminability,both_necessary: high minus low discriminability,0.1411350643834676,0.03571870764969518,0.2419618590593285,> 0,0.99675,within-context discriminability effect
Study 2,size_initial_probability,colour_sufficient_high_minus_low_discriminability,colour_sufficient: high minus low discriminability,-0.03184928885465831,-0.06783910963174329,-0.005888633112862412,> 0,0.0095,within-context discriminability effect
Study 2,size_initial_probability,both_necessary_high_discriminability_advantage,both-necessary high-minus-low contrast minus the mean contrast in sufficient contexts,0.16896389741575157,0.07707270718572595,0.25597260309313963,> 0,0.9995,planned interaction
Study 2,overinformative_probability,size_sufficient_low_minus_high_discriminability,size_sufficient: low minus high discriminability,0.23410436047020616,0.15142681891626442,0.3178550031009229,> 0,1.0,within-context discriminability effect
Study 2,overinformative_probability,both_necessary_low_minus_high_discriminability,both_necessary: low minus high discriminability,0.05422505431170513,-0.04052235670563841,0.14991778724469576,> 0,0.8725,within-context discriminability effect
Study 2,overinformative_probability,colour_sufficient_low_minus_high_discriminability,colour_sufficient: low minus high discriminability,0.10533519099186112,-0.004368888041882282,0.22350205346204388,> 0,0.96775,within-context discriminability effect
Study 2,overinformative_probability,size_sufficient_low_discriminability_advantage,size-sufficient low-minus-high contrast minus the mean contrast in the other contexts,0.15269019688169638,0.0718026150674368,0.23577002330151695,> 0,1.0,planned interaction
