left-right,id,missed_break_one,missed_break_two,missed_break_three,time_in_minutes,language,asses,age,gender,comments,fluent
L,6591b64744506,False,False,False,28.074133333333332,Deutsch,Yes,32,Female,,Yes
L,65914fb2e2263,False,False,False,23.475283333333334,Deutsch,Yes,33,Female,,Yes
L,65915023dbf4e,False,False,False,29.458583333333333,Deutsch,Yes,25,Female,,Yes
S,659154d310a4e,False,False,False,16.8721,Deutsch,Yes,27,Male,,Yes
S,65917aa8044c7,False,False,False,28.254033333333332,Deutsch,Yes,25,Male,,No
L,659150ddad58e,False,False,False,15.149683333333334,Deutsch,Yes,26,Female,,Yes
L,65917838d6252,False,False,False,26.692433333333334,Deutsch,Yes,31,Female,,Yes
S,6592f3d3d7639,False,False,False,21.576233333333334,Deutsch,Yes,46,Male,,Yes
L,6592bbf15a794,False,False,False,25.81805,Deutsch,Yes,21,Female,,Yes
L,6591b0f3b082d,False,False,False,21.65201666666667,Deutsch,Yes,23,Female,,Yes
L,659194047238a,False,False,False,32.0698,Deutsch,Yes,68,Female,,Yes
L,6592f7919e731,False,False,False,16.321516666666668,"deutsch, japanisch",Yes,22,Female,,Yes
S,65919bf11422d,False,False,False,24.379533333333335,deutsch,Yes,34,Female,,No
L,6591ce0dd5ccd,False,False,False,12.531416666666667,deutsch,Yes,29,Female,,Yes
L,6591deef78904,False,False,False,16.96451666666667,Deutsch,Yes,45,Male,,Yes
S,65915c934128e,False,False,False,18.321366666666666,Deutsch,Yes,27,Female,,Yes
L,6591a9687271a,False,True,False,30.672416666666667,deutsch,Yes,34,Male,,No
L,6592bfe867851,False,False,False,37.34405,"Deutsch, Kroatisch",Yes,24,Female,,Yes
L,6591acce28186,False,False,False,14.538183333333333,Deutsch,Yes,27,Male,,Yes
S,6591606986541,False,False,False,29.159016666666666,Deutsch,Yes,32,Male,,Yes
L,65918a7c62b14,False,False,False,20.966783333333332,deutsch,Yes,27,Male,,Yes
S,65916340ee5a8,False,False,False,21.324366666666666,Deutsch,Yes,26,Male,,Yes
S,659167c4f0a2e,False,False,False,33.6645,Deutsch,Yes,58,Male,,Yes
L,65915d35a5c79,False,False,False,23.310433333333332,Deutsch,Yes,61,Female,,Yes
L,65919c6b0382d,False,False,False,38.89338333333333,Deutsch,Yes,43,Male,,Yes
S,65916b5327715,False,True,False,5.181416666666666,Deutsch,Yes,35,Male,,Yes
L,65918ebaf3cb2,False,False,False,20.95985,deutsch,Yes,43,Female,,Yes
L,659161100db0a,False,False,False,17.347916666666666,deutsch,Yes,27,Female,,Yes
L,65917b0d6256d,False,False,False,30.071083333333334,Deutsch,Yes,24,Male,,Yes
S,6593109353577,False,False,False,22.505783333333333,Deutsch,Yes,20,Male,,Yes
S,6591fdc858137,False,False,False,26.3392,deutsch,Yes,57,Female,,Yes
S,659166f9ba88e,False,False,False,29.1588,Deutsch,Yes,28,Male,,Yes
L,659267508f939,False,False,False,28.3079,deutsch,Yes,54,Male,,No
S,65915f6ba462c,True,False,False,18.065033333333332,deutsch,Yes,33,Female,,Yes
S,6591bbce44f19,False,False,False,31.583783333333333,deutsch,Yes,61,Male,"Mein screen ist in dark-mode, alle Fragen die nach 'schwarz' fragten habe ich mit 'nicht zutreffend' beantwortet da ich statt schwarzen Figuren nur weisse sah & am Anfang dachte es seien Kontrollfragen.
Diese Fragen können sie also nicht für die Auswertung verwenden.
Sorry!",Yes
L,6592543b35f32,False,False,False,18.518766666666668,German and Englsh,Yes,38,Female,,Yes
L,6592bde47c7af,False,False,False,17.854966666666666,Deutsch,Yes,29,Female,,No
