id,item,conditions,read_time,image_error,slider_value,leftright_trial,list
6591b64744506,38,ferdf,[9034],False,82,1right,3
6591b64744506,12,ercf,[8863],False,23,1left,3
6591b64744506,13,zrdf,[6989],False,72,1left,3
6591b64744506,37,fbrcf,[12053],False,-1,1left,3
6591b64744506,9,brdc,[6720],False,78,1right,3
6591b64744506,32,fbrcf,[13661],False,73,1right,3
6591b64744506,33,fbrdf,[4992],False,11,1left,3
6591b64744506,35,ferdc,[3622],False,84,1right,3
6591b64744506,22,erdc,[6561],False,14,1left,3
6591b64744506,37,fbrdc,[7234],False,-1,1right,3
6591b64744506,16,brdf,[7688],False,88,1right,3
6591b64744506,38,fercf,[5536],False,90,1right,3
6591b64744506,27,zrdf,[5800],False,12,1right,3
6591b64744506,32,fzrdc,[3403],False,18,1right,3
6591b64744506,35,fzrcf,[5487],False,93,1left,3
6591b64744506,31,fbrdc,[4782],False,10,1left,3
6591b64744506,1,zrcf,[10528],False,94,1left,3
6591b64744506,32,ferdf,[9553],False,88,1right,3
6591b64744506,36,fzrcf,[5797],False,7,1right,3
6591b64744506,26,brcf,[5759],False,85,1left,3
6591b64744506,5,erdf,[4106],False,94,1right,3
6591b64744506,30,ferdc,[7579],False,10,1right,3
6591b64744506,34,fbrdc,[9270],False,-1,1right,3
6591b64744506,31,fbrdf,[9306],False,90,1right,3
6591b64744506,17,brdc,[5323],False,85,1right,3
6591b64744506,11,erdc,[6455],False,13,1left,3
6591b64744506,18,zrcf,[10627],False,10,1right,3
6591b64744506,36,ferdf,[4535],False,9,1left,3
6591b64744506,12,brcf,[7894],False,91,1left,3
6591b64744506,3,erdc,[6489],False,89,1right,3
6591b64744506,32,fercf,[6924],False,85,1left,3
6591b64744506,28,fbrcf,[11165],False,-1,1left,3
6591b64744506,7,ercf,[5578],False,10,1left,3
6591b64744506,5,brdf,[9808],False,84,1right,3
6591b64744506,6,erdc,[8124],False,12,1left,3
6591b64744506,10,erdf,[14388],False,87,1right,3
6591b64744506,34,ferdc,[4574],False,13,1left,3
6591b64744506,23,zrcf,[6649],False,16,1right,3
6591b64744506,29,fzrdc,[4325],False,13,1right,3
6591b64744506,27,brdf,[9352],False,12,1left,3
6591b64744506,2,zrdf,[10585],False,87,1left,3
6591b64744506,33,fzrcf,[4092],False,11,1right,3
6591b64744506,24,brdf,[8114],False,84,1left,3
6591b64744506,22,zrdc,[6863],False,85,1left,3
6591b64744506,34,fbrcf,[6916],False,-1,1right,3
6591b64744506,37,fbrdf,[6576],False,-1,1right,3
6591b64744506,23,brcf,[15011],False,81,1left,3
6591b64744506,6,brdc,[6276],False,78,1right,3
6591b64744506,34,fzrdc,[5132],False,12,1right,3
6591b64744506,37,fzrcf,[5831],False,86,1left,3
6591b64744506,31,ferdf,[6317],False,90,1right,3
6591b64744506,32,ferdc,[5010],False,89,1left,3
6591b64744506,29,fbrdf,[7082],False,9,1left,3
6591b64744506,31,ferdc,[6228],False,8,1left,3
6591b64744506,35,fercf,[3701],False,8,1left,3
6591b64744506,32,fbrdf,[4568],False,89,1right,3
6591b64744506,17,zrdc,[10499],False,88,1left,3
6591b64744506,8,zrdf,[7567],False,85,1left,3
6591b64744506,35,fbrdc,[4459],False,-1,1left,3
6591b64744506,16,erdf,[8817],False,85,1right,3
6591b64744506,37,ferdc,[4393],False,8,1left,3
6591b64744506,16,zrdf,[9037],False,88,1left,3
6591b64744506,34,fzrdf,[5172],False,10,1right,3
6591b64744506,29,ferdf,[5454],False,12,1left,3
6591b64744506,19,zrdc,[6475],False,90,1left,3
6591b64744506,21,erdf,[6428],False,84,1right,3
6591b64744506,36,ferdc,[5155],False,8,1left,3
6591b64744506,33,fzrdf,[5638],False,7,1right,3
6591b64744506,15,zrcf,[7649],False,86,1left,3
6591b64744506,24,erdf,[9502],False,88,1right,3
6591b64744506,25,zrdc,[5175],False,92,1left,3
6591b64744506,29,fzrcf,[7016],False,10,1right,3
6591b64744506,28,ferdf,[7751],False,92,1right,3
6591b64744506,30,fbrcf,[7509],False,92,1right,3
6591b64744506,38,fzrdc,[4915],False,7,1right,3
6591b64744506,14,brdc,[7733],False,91,1right,3
6591b64744506,38,fbrdc,[8295],False,-1,1right,3
