canonical_row_position,id,item,conditions,list,annotation,trials,size_A,size_B,size_C,size_D,size_E,size_F,color_A,color_B,color_C,color_D,color_E,color_F,form_A,form_B,form_C,form_D,form_E,form_F,sharpness,combination,relevant_property,stimulus_row_index,trials_raw_stimulus,D,C,F,noun,sharpness_raw_stimulus
0,1,5,ercf,1,C,4,2,2,9,9,9,2,grey,black,black,black,black,black,quadrat,quadrat,quadrat,quadrat,quadrat,star,sharp,color_form,first,111,4,,R-DE,NR-DE,Aufkleber,sharp
1,1,15,zrdc,1,C,8,9,10,10,10,10,1,blue,green,green,green,green,green,heart,heart,quadrat,quadrat,quadrat,star,sharp,dimension_color,second,151,8,NR-B,R-AF,,Aufkleber,sharp
2,1,18,zrdc,1,C,8,9,10,9,10,9,2,green,brown,brown,brown,brown,brown,quadrat,heart,triangle,triangle,circle,heart,sharp,dimension_color,second,232,8,NR-B,R-FC,,Aufkleber,sharp
3,1,1,brdc,1,DCF,2,10,10,3,2,10,1,blue,orange,blue,blue,orange,orange,triangle,quadrat,quadrat,circle,diamond,triangle,sharp,dimension_color,both,1,2,BR-A,BR-AB,,Aufkleber,sharp
4,1,10,brcf,1,CF,1,2,10,10,9,3,1,orange,orange,blue,blue,orange,blue,triangle,diamond,triangle,triangle,diamond,diamond,sharp,color_form,both,9,1,,BR-BA,BR-AB,Aufkleber,sharp
5,1,4,brdc,1,DCF,2,10,9,1,2,9,2,orange,brown,orange,orange,brown,brown,quadrat,quadrat,heart,quadrat,diamond,star,sharp,dimension_color,both,82,2,BR-A,BR-BC,,Aufkleber,sharp
6,1,21,ercf,1,C,4,9,9,3,1,2,1,black,green,green,green,green,green,heart,heart,heart,heart,heart,star,sharp,color_form,first,75,4,,R-EF,NR-FE,Aufkleber,sharp
7,1,21,zrcf,1,F,7,2,2,10,1,10,1,green,green,green,green,green,black,heart,star,star,star,star,star,sharp,color_form,second,78,7,,NR-FE,R-FE,Aufkleber,sharp
8,1,2,zrcf,1,F,7,1,9,3,3,1,10,brown,brown,brown,brown,brown,grey,circle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,color_form,second,33,7,,NR-CD,R-CD,Aufkleber,sharp
9,1,23,brdc,1,CF,2,10,10,2,3,9,3,grey,black,grey,grey,black,black,star,diamond,triangle,circle,quadrat,circle,sharp,dimension_color,both,127,2,BR-B,BR-DE,,Aufkleber,sharp
10,1,17,brdf,1,DF,3,9,10,3,2,10,2,orange,blue,black,blue,green,orange,star,diamond,star,star,diamond,diamond,sharp,dimension_form,both,200,3,BR-A,,BR-BE,Aufkleber,sharp
11,1,22,erdf,1,C,6,10,1,3,3,1,1,brown,brown,green,black,grey,green,diamond,diamond,diamond,diamond,diamond,circle,sharp,dimension_form,first,104,6,R-A,,NR-CB,Aufkleber,sharp
12,1,11,brdf,1,DF,3,10,10,1,3,9,2,green,blue,grey,black,brown,orange,circle,quadrat,circle,circle,quadrat,quadrat,sharp,dimension_form,both,38,3,BR-A,,BR-CD,Aufkleber,sharp
13,1,15,erdc,1,DF,5,9,1,2,1,2,2,blue,blue,blue,blue,blue,green,triangle,quadrat,star,triangle,quadrat,star,sharp,dimension_color,first,148,5,R-B,NR-AF,,Aufkleber,sharp
14,1,12,brdc,1,F,2,9,9,2,2,10,2,green,black,green,green,black,black,circle,quadrat,diamond,heart,triangle,quadrat,sharp,dimension_color,both,64,2,BR-B,BR-FE,,Aufkleber,sharp
15,1,12,erdc,1,D,5,9,1,3,2,3,2,green,green,green,green,green,black,triangle,triangle,star,diamond,circle,quadrat,sharp,dimension_color,first,67,5,R-B,NR-FE,,Aufkleber,sharp
16,1,7,brdc,1,DF,2,9,9,1,1,10,2,blue,grey,blue,blue,grey,grey,quadrat,triangle,heart,heart,star,quadrat,sharp,dimension_color,both,163,2,BR-A,BR-AD,,Aufkleber,sharp
17,1,25,brdf,1,DF,3,9,9,1,1,9,2,brown,black,blue,black,black,blue,quadrat,triangle,quadrat,quadrat,triangle,triangle,sharp,dimension_form,both,182,3,BR-A,,BR-DA,Aufkleber,sharp
18,1,5,brcf,1,CF,1,2,2,1,2,3,2,grey,grey,black,black,grey,black,quadrat,star,quadrat,quadrat,star,star,sharp,color_form,both,108,1,,BR-DE,BR-DE,Aufkleber,sharp
19,1,1,erdc,1,DF,5,9,1,1,1,2,1,blue,blue,blue,blue,blue,orange,quadrat,diamond,triangle,triangle,star,triangle,sharp,dimension_color,first,4,5,R-A,NR-AB,,Aufkleber,sharp
20,1,3,zrdf,1,F,9,10,10,10,9,9,3,brown,green,brown,black,brown,grey,star,heart,heart,heart,heart,heart,sharp,dimension_form,second,62,9,NR-A,,R-EF,Aufkleber,sharp
21,1,26,zrdc,1,C,8,10,10,9,9,9,2,orange,black,black,black,black,black,diamond,quadrat,triangle,circle,quadrat,triangle,sharp,dimension_color,second,214,8,NR-B,R-BE,,Aufkleber,sharp
22,1,7,zrdc,1,C,8,9,10,10,10,9,1,blue,grey,grey,grey,grey,grey,quadrat,circle,triangle,circle,star,triangle,sharp,dimension_color,second,169,8,NR-A,R-AD,,Aufkleber,sharp
23,1,21,brcf,1,DFC,1,3,9,9,1,1,2,black,black,green,green,black,green,heart,star,heart,heart,star,star,sharp,color_form,both,72,1,,BR-EF,BR-FE,Aufkleber,sharp
24,1,19,brdf,1,DF,3,10,10,1,2,9,3,grey,grey,blue,blue,blue,grey,diamond,triangle,diamond,diamond,triangle,triangle,sharp,dimension_form,both,20,3,BR-A,,BR-BA,Aufkleber,sharp
25,1,6,erdf,1,D,6,9,2,2,1,3,1,green,grey,orange,brown,green,brown,heart,heart,heart,heart,heart,triangle,sharp,dimension_form,first,140,6,R-A,,NR-FA,Aufkleber,sharp
26,1,14,erdf,1,D,6,9,3,3,1,3,2,blue,blue,grey,brown,black,orange,quadrat,quadrat,quadrat,quadrat,quadrat,star,sharp,dimension_form,first,122,6,R-A,,NR-DE,Aufkleber,sharp
27,1,12,zrdc,1,C,8,9,9,9,9,9,1,green,black,black,black,black,black,triangle,quadrat,diamond,star,heart,quadrat,sharp,dimension_color,second,70,8,NR-B,R-FE,,Aufkleber,sharp
28,1,13,ercf,1,C,4,1,10,10,3,9,2,brown,orange,orange,orange,orange,orange,circle,circle,circle,circle,circle,diamond,sharp,color_form,first,93,4,,R-CB,NR-BC,Aufkleber,sharp
29,1,3,brdf,1,DF,3,10,10,3,2,9,1,orange,brown,orange,green,green,brown,star,heart,star,star,heart,heart,sharp,dimension_form,both,56,3,BR-A,,BR-EF,Aufkleber,sharp
30,1,16,ercf,1,C,4,3,9,3,10,1,1,grey,blue,blue,blue,blue,blue,triangle,triangle,triangle,triangle,triangle,quadrat,sharp,color_form,first,174,4,,R-DA,NR-AD,Aufkleber,sharp
31,1,9,zrdf,1,C,9,10,9,9,9,9,1,brown,black,black,blue,orange,grey,circle,heart,heart,heart,heart,heart,sharp,dimension_form,second,224,9,NR-A,,R-CF,Aufkleber,sharp
32,1,18,erdc,1,D,5,10,1,3,2,1,2,green,green,green,green,green,brown,quadrat,quadrat,quadrat,diamond,quadrat,quadrat,sharp,dimension_color,first,229,5,R-B,NR-FC,,Aufkleber,sharp
33,1,1,zrdc,1,C,8,9,10,9,10,9,2,blue,orange,orange,orange,orange,orange,star,heart,quadrat,quadrat,quadrat,star,sharp,dimension_color,second,7,8,NR-A,R-AB,,Aufkleber,sharp
34,1,3,erdf,1,D,6,9,3,1,3,1,2,green,green,grey,orange,blue,green,star,star,star,star,star,heart,sharp,dimension_form,first,59,6,R-A,,NR-EF,Aufkleber,sharp
