item,conditions,list,trials,size_A,size_B,size_C,size_D,size_E,size_F,color_A,color_B,color_C,color_D,color_E,color_F,form_A,form_B,form_C,form_D,form_E,form_F,sharpness,prefer_first_1st,combination,relevant_property
12,zrdf,5.0,9.0,10.0,9.0,9.0,9.0,9.0,1.0,blue,brown,orange,green,brown,green,star,heart,heart,heart,heart,heart,blurred,99,dimension_form,second
1,erdf,5.0,6.0,10.0,4.0,4.0,2.0,2.0,5.0,black,blue,blue,green,black,green,triangle,triangle,triangle,triangle,triangle,diamond,blurred,96,dimension_form,first
19,zrcf,5.0,7.0,3.0,10.0,2.0,10.0,3.0,10.0,orange,orange,orange,orange,orange,blue,diamond,triangle,triangle,triangle,triangle,triangle,blurred,98,color_form,second
10,zrdc,5.0,8.0,9.0,9.0,10.0,9.0,9.0,3.0,orange,blue,blue,blue,blue,blue,heart,quadrat,quadrat,diamond,triangle,quadrat,blurred,97,dimension_color,second
13,erdc,5.0,5.0,10.0,5.0,3.0,1.0,1.0,2.0,brown,brown,brown,brown,brown,orange,circle,quadrat,quadrat,star,quadrat,heart,blurred,98,dimension_color,first
8,zrdc,5.0,8.0,10.0,10.0,10.0,10.0,9.0,3.0,orange,black,black,black,black,black,circle,triangle,triangle,quadrat,star,star,blurred,98,dimension_color,second
20,zrdf,5.0,9.0,9.0,9.0,9.0,9.0,10.0,3.0,black,brown,green,brown,black,black,quadrat,circle,circle,circle,circle,circle,blurred,97,dimension_form,second
7,brdf,5.0,3.0,10.0,10.0,3.0,5.0,10.0,4.0,grey,blue,orange,blue,orange,orange,triangle,quadrat,triangle,triangle,quadrat,quadrat,blurred,99,dimension_form,both
12,brdf,5.0,3.0,10.0,9.0,3.0,4.0,9.0,1.0,blue,grey,black,green,green,brown,star,heart,star,star,heart,heart,blurred,3,dimension_form,both
22,zrcf,5.0,7.0,3.0,10.0,9.0,9.0,2.0,2.0,brown,brown,brown,brown,brown,orange,diamond,circle,circle,circle,circle,circle,blurred,0,color_form,second
18,brdf,5.0,3.0,10.0,9.0,2.0,3.0,10.0,4.0,grey,black,blue,orange,brown,grey,circle,heart,circle,circle,heart,heart,blurred,97,dimension_form,both
26,brdf,5.0,3.0,9.0,9.0,3.0,2.0,10.0,6.0,green,orange,orange,grey,orange,black,diamond,star,diamond,diamond,star,star,blurred,99,dimension_form,both
16,brdc,5.0,2.0,10.0,9.0,2.0,3.0,9.0,5.0,grey,blue,grey,grey,blue,blue,quadrat,heart,quadrat,star,heart,quadrat,blurred,98,dimension_color,both
9,ercf,5.0,4.0,1.0,1.0,10.0,10.0,2.0,1.0,brown,green,green,green,green,green,circle,circle,circle,circle,circle,heart,blurred,98,color_form,first
10,brdc,5.0,2.0,10.0,9.0,3.0,1.0,10.0,1.0,orange,blue,orange,orange,blue,blue,heart,triangle,circle,quadrat,circle,quadrat,blurred,98,dimension_color,both
