id,item,conditions,list,trials,size_A,size_B,size_C,size_D,size_E,size_F,color_A,color_B,color_C,color_D,color_E,color_F,form_A,form_B,form_C,form_D,form_E,form_F,sharpness,prefer_first_1st,combination,relevant_property
1,12,zrdf,5.0,9.0,10.0,9.0,9.0,9.0,9.0,1.0,blue,blue,blue,blue,blue,blue,circle,square,square,square,square,square,blurred,99.0,dimension_form,second
1,1,erdf,5.0,6.0,10.0,4.0,4.0,2.0,2.0,5.0,blue,blue,red,red,blue,blue,circle,circle,circle,circle,circle,square,blurred,96.0,dimension_form,first
1,19,zrcf,5.0,7.0,3.0,10.0,2.0,10.0,3.0,10.0,red,red,red,red,red,blue,circle,square,square,square,square,square,blurred,98.0,color_form,second
1,10,zrdc,5.0,8.0,9.0,9.0,10.0,9.0,9.0,3.0,blue,red,red,red,red,red,circle,square,circle,circle,square,circle,blurred,97.0,dimension_color,second
1,13,erdc,5.0,5.0,10.0,5.0,3.0,1.0,1.0,2.0,red,red,red,red,red,blue,circle,circle,circle,circle,square,square,blurred,98.0,dimension_color,first
1,8,zrdc,5.0,8.0,10.0,10.0,10.0,10.0,9.0,3.0,blue,red,red,red,red,red,circle,square,square,circle,circle,circle,blurred,98.0,dimension_color,second
1,20,zrdf,5.0,9.0,9.0,9.0,9.0,9.0,10.0,3.0,blue,blue,red,red,red,blue,circle,square,square,square,square,square,blurred,97.0,dimension_form,second
1,7,brdf,5.0,3.0,10.0,10.0,3.0,5.0,10.0,4.0,blue,blue,blue,red,blue,blue,circle,square,circle,circle,square,square,blurred,99.0,dimension_form,both
1,12,brdf,5.0,3.0,10.0,9.0,3.0,4.0,9.0,1.0,blue,blue,blue,red,blue,blue,circle,square,circle,circle,square,square,blurred,3.0,dimension_form,both
1,22,zrcf,5.0,7.0,3.0,10.0,9.0,9.0,2.0,2.0,red,red,red,red,red,blue,circle,square,square,square,square,square,blurred,0.0,color_form,second
1,18,brdf,5.0,3.0,10.0,9.0,2.0,3.0,10.0,4.0,blue,blue,red,blue,blue,blue,circle,square,circle,circle,square,square,blurred,97.0,dimension_form,both
1,26,brdf,5.0,3.0,9.0,9.0,3.0,2.0,10.0,6.0,blue,red,red,blue,red,red,circle,square,circle,circle,square,square,blurred,99.0,dimension_form,both
1,16,brdc,5.0,2.0,10.0,9.0,2.0,3.0,9.0,5.0,blue,red,blue,blue,red,red,circle,circle,circle,circle,circle,circle,blurred,98.0,dimension_color,both
1,9,ercf,5.0,4.0,1.0,1.0,10.0,10.0,2.0,1.0,blue,red,red,red,red,red,circle,circle,circle,circle,circle,square,blurred,98.0,color_form,first
1,10,brdc,5.0,2.0,10.0,9.0,3.0,1.0,10.0,1.0,blue,red,blue,blue,red,red,circle,circle,square,circle,circle,square,blurred,98.0,dimension_color,both
1,1,zrdf,5.0,9.0,10.0,10.0,9.0,9.0,9.0,6.0,blue,blue,red,red,red,blue,circle,square,square,square,square,square,blurred,98.0,dimension_form,second
1,2,zrdc,5.0,8.0,10.0,9.0,9.0,10.0,10.0,6.0,blue,red,red,red,red,red,circle,circle,circle,square,circle,circle,blurred,2.0,dimension_color,second
