dataset,result_dir,model,model_family,alignment_class,architecture,semantics,evaluation_scope,primary_metric_name,primary_metric,delta_primary_from_result_best,ppc_r,ppc_r2,ppc_rmse,ppc_mae,diagnostics_ok,diagnostic_status,max_r_hat,n_divergent,n_parameters,speaker_type,mean_fold_elpd,se_fold_elpd,n_heldout,n_folds,rank,elpd_loo,p_loo,elpd_diff,elpd_loo_se,dse,loo_warning,n_points,n_r_hat_gt_1_01,n_r_hat_gt_1_05,min_ess_bulk,min_ess_tail,divergence_rate
production,models/production/results_principled_regularized_final_local,principled_no_uncertainty_len,other,not_aligned,incremental,unspecified,full_sample,loo_elpd,-6419.751977920532,-52.565093994140625,0.7012217824639386,0.4917119882019032,0.0912590769432402,0.0525946947268368,True,pass,1.0,0.0,5.0,,,,,,2.0,-6419.751977920532,56.317355155944824,52.565093994140625,51.794706628118824,10.065870434008524,False,90.0,0.0,0.0,1142.0,1791.0,0.0
production,models/production/results_principled_salience_stop_final_local,principled_no_uncertainty_len,other,not_aligned,incremental,unspecified,full_sample,loo_elpd,-6419.751977920532,-52.565093994140625,0.7012217824639386,0.4917119882019032,0.0912590769432402,0.0525946947268368,True,pass,1.0,0.0,5.0,,,,,,1.0,-6419.751977920532,56.317355155944824,52.565093994140625,51.794706628118824,10.065870434008524,False,90.0,0.0,0.0,1142.0,1791.0,0.0
production,models/production/results_principled_2x2_regularized_local,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop,not_aligned,global,context_updating,full_sample,loo_elpd,-7730.713019371033,-1363.3732624053955,0.5402891112800816,0.2919123237678204,0.1079346702894038,0.0670920995825031,False,fail,1.53,0.0,6.0,,,,,,2.0,-7730.713019371033,615.5122051239014,1363.3732624053955,34.07302599880571,33.34326748652855,True,90.0,6.0,6.0,7.0,27.0,0.0
production,models/production/results_principled_2x2_regularized_local,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop,not_aligned,global,context_fixed,full_sample,loo_elpd,-7731.072658538818,-1363.7329015731812,0.5404895515609157,0.2921289553465198,0.1079239268078755,0.0671038079494274,False,fail,1.54,0.0,6.0,,,,,,3.0,-7731.072658538818,615.7543048858643,1363.7329015731812,34.05294798961883,33.35678157675147,True,90.0,6.0,6.0,7.0,27.0,0.0
production,models/production/results_principled_2x2_regularized_local,principled_salience_stop_regularized_2x2_inc_rec,principled_salience_stop,not_aligned,incremental,context_updating,full_sample,loo_elpd,-6369.320020675659,-1.9802637100219727,0.7262211063776227,0.5273970953483385,0.087825039220157,0.0528139500271986,True,pass,1.0,0.0,6.0,,,,,,1.0,-6369.320020675659,48.55435085296631,1.9802637100219729,54.03640815371902,0.3707706226468999,False,90.0,0.0,0.0,1898.0,3183.0,0.0
production,models/production/results_principled_2x2_regularized_local,principled_salience_stop_regularized_2x2_inc_static,principled_salience_stop,not_aligned,incremental,context_fixed,full_sample,loo_elpd,-6367.339756965637,0.0,0.7276022165147812,0.5294049854772225,0.0876481618876743,0.0527393534532736,True,pass,1.0,0.0,6.0,,,,,,0.0,-6367.339756965637,49.00813102722168,0.0,54.08138553184161,0.0,False,90.0,0.0,0.0,1979.0,3555.0,0.0
production,models/production/results_principled_prior_sensitivity_pilot_local,principled_salience_stop,principled_salience_stop,not_aligned,incremental,unspecified,full_sample,loo_elpd,-6367.8014187812805,0.0,0.7274570791342476,0.529193801982531,0.0876334860747634,0.0527606042848862,True,warn,1.02,0.0,6.0,,,,,,0.0,-6367.8014187812805,56.130783557891846,0.0,54.38756154008784,0.0,False,90.0,1.0,0.0,197.0,282.0,0.0
production,models/production/results_principled_prior_sensitivity_pilot_local,principled_salience_stop_regularized,principled_salience_stop,not_aligned,incremental,unspecified,full_sample,loo_elpd,-6370.487179756165,-2.685760974884033,0.7264278253112498,0.5276973853864317,0.0877852485150827,0.0527441821077198,True,pass,1.01,0.0,6.0,,,,,,1.0,-6370.487179756165,49.176384925842285,2.685760974884033,54.044453700099254,1.1676531605627272,False,90.0,0.0,0.0,239.0,311.0,0.0
production,models/production/results_principled_prior_sensitivity_pilot_local,principled_salience_stop_strong_regularized,principled_salience_stop,not_aligned,incremental,unspecified,full_sample,loo_elpd,-6377.137868881226,-9.336450099945068,0.7247159240197141,0.525213170527748,0.0880350238977396,0.0527432207523094,True,warn,1.02,0.0,6.0,,,,,,2.0,-6377.137868881226,36.89116382598877,9.336450099945068,53.481685839331014,3.037525935661581,False,90.0,1.0,0.0,205.0,443.0,0.0
production,models/production/results_principled_regularized_final_local,principled_salience_stop,principled_salience_stop,not_aligned,incremental,unspecified,full_sample,loo_elpd,-6367.186883926392,0.0,0.7269844562888537,0.5285063996856002,0.0877040974077511,0.0527539202690389,True,pass,1.01,0.0,6.0,,,,,,0.0,-6367.186883926392,56.38598537445069,0.0,54.428921595568085,0.0,False,90.0,0.0,0.0,800.0,1324.0,0.0
