dataset,path,filename,parsed_model,heldout_fold,n_folds,warmup,samples,chains,size_mb
slider,models/slider/inference_data/mcmc_results_global_speaker_fix_gamma_warmup1000_samples1000_chains4.nc,mcmc_results_global_speaker_fix_gamma_warmup1000_samples1000_chains4.nc,global_speaker_fix_gamma,,,1000,1000,4,59.02066230773926
slider,models/slider/inference_data/mcmc_results_global_speaker_hier_fix_gamma_warmup1000_samples1000_chains4.nc,mcmc_results_global_speaker_hier_fix_gamma_warmup1000_samples1000_chains4.nc,global,,,1000,1000,4,64.05448150634766
slider,models/slider/inference_data/mcmc_results_global_speaker_hier_infer_gamma_warmup1000_samples1000_chains4.nc,mcmc_results_global_speaker_hier_infer_gamma_warmup1000_samples1000_chains4.nc,global,,,1000,1000,4,64.19963645935059
slider,models/slider/inference_data/mcmc_results_global_speaker_hier_warmup1000_samples1000_chains4.nc,mcmc_results_global_speaker_hier_warmup1000_samples1000_chains4.nc,global,,,1000,1000,4,64.05448150634766
slider,models/slider/inference_data/mcmc_results_global_speaker_hier_warmup500_samples500_chains4.nc,mcmc_results_global_speaker_hier_warmup500_samples500_chains4.nc,global,,,500,500,4,34.980048179626465
slider,models/slider/inference_data/mcmc_results_global_speaker_infer_gamma_warmup1000_samples1000_chains4.nc,mcmc_results_global_speaker_infer_gamma_warmup1000_samples1000_chains4.nc,global_speaker_infer_gamma,,,1000,1000,4,59.236090660095215
slider,models/slider/inference_data/mcmc_results_global_static_speaker_hier_warmup500_samples500_chains4.nc,mcmc_results_global_static_speaker_hier_warmup500_samples500_chains4.nc,global_static,,,500,500,4,32.58891677856445
slider,models/slider/inference_data/mcmc_results_incremental_frozen_speaker_hier_warmup500_samples500_chains4.nc,mcmc_results_incremental_frozen_speaker_hier_warmup500_samples500_chains4.nc,incremental_frozen,,,500,500,4,39.10539150238037
slider,models/slider/inference_data/mcmc_results_incremental_speaker_fix_gamma_warmup1000_samples1000_chains4.nc,mcmc_results_incremental_speaker_fix_gamma_warmup1000_samples1000_chains4.nc,incremental_speaker_fix_gamma,,,1000,1000,4,67.49414348602295
slider,models/slider/inference_data/mcmc_results_incremental_speaker_hier_fix_gamma_warmup1000_samples1000_chains4.nc,mcmc_results_incremental_speaker_hier_fix_gamma_warmup1000_samples1000_chains4.nc,incremental,,,1000,1000,4,69.97407913208008
