source,model,architecture,semantics,relevant_property,sharpness,total_before_normalization
empirical,empirical,empirical,empirical,both,blurred,0.9999999999999996
empirical,empirical,empirical,empirical,both,sharp,0.9999999999999996
empirical,empirical,empirical,empirical,first,blurred,0.9999999999999992
empirical,empirical,empirical,empirical,first,sharp,0.9999999999999996
empirical,empirical,empirical,empirical,second,blurred,0.9999999999999996
empirical,empirical,empirical,empirical,second,sharp,0.9999999999999996
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,context_updating,both,blurred,1.0016665611166455
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,context_updating,both,sharp,1.0017610391967406
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,context_updating,first,blurred,1.0013139951701673
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,context_updating,first,sharp,1.0017664993786213
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,context_updating,second,blurred,1.0075777847824974
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,context_updating,second,sharp,1.0084300051383892
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,context_fixed,both,blurred,1.001654303825077
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,context_fixed,both,sharp,1.0016098690367206
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,context_fixed,first,blurred,1.00127298548142
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,context_fixed,first,sharp,1.0017701348014305
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,context_fixed,second,blurred,1.0077065228579711
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,context_fixed,second,sharp,1.0082997235943003
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,context_updating,both,blurred,1.0020732726375206
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,context_updating,both,sharp,1.0027755604942028
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,context_updating,first,blurred,1.0025275829605007
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,context_updating,first,sharp,1.004764670610566
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,context_updating,second,blurred,1.0070641370235676
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,context_updating,second,sharp,1.0076609915440375
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,context_fixed,both,blurred,1.0019185398482398
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,context_fixed,both,sharp,1.0027719402393502
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,context_fixed,first,blurred,1.0025720793661106
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,context_fixed,first,sharp,1.0047706541136034
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,context_fixed,second,blurred,1.0074794470858615
model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,context_fixed,second,sharp,1.0073275166952445
