summary_type,source,model,architecture,architecture_short,semantics,semantics_short,relevant_property,sharpness,category,proportion,n
length,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,one_adjective,0.12544169611307426,566
length,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,three_adjectives,0.3992932862190811,566
length,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,two_adjectives,0.47526501766784446,566
length,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,one_adjective,0.08349900596421474,503
length,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,three_adjectives,0.3757455268389661,503
length,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,two_adjectives,0.5407554671968191,503
length,empirical,empirical,empirical,empirical,empirical,empirical,first,blurred,one_adjective,0.09927797833935018,554
length,empirical,empirical,empirical,empirical,empirical,empirical,first,blurred,three_adjectives,0.3790613718411551,554
length,empirical,empirical,empirical,empirical,empirical,empirical,first,blurred,two_adjectives,0.5216606498194947,554
length,empirical,empirical,empirical,empirical,empirical,empirical,first,sharp,one_adjective,0.37051792828685265,502
length,empirical,empirical,empirical,empirical,empirical,empirical,first,sharp,three_adjectives,0.247011952191235,502
length,empirical,empirical,empirical,empirical,empirical,empirical,first,sharp,two_adjectives,0.3824701195219123,502
length,empirical,empirical,empirical,empirical,empirical,empirical,second,blurred,one_adjective,0.6719576719576723,567
length,empirical,empirical,empirical,empirical,empirical,empirical,second,blurred,three_adjectives,0.045855379188712325,567
length,empirical,empirical,empirical,empirical,empirical,empirical,second,blurred,two_adjectives,0.2821869488536155,567
length,empirical,empirical,empirical,empirical,empirical,empirical,second,sharp,one_adjective,0.7361111111111114,504
length,empirical,empirical,empirical,empirical,empirical,empirical,second,sharp,three_adjectives,0.011904761904761706,504
length,empirical,empirical,empirical,empirical,empirical,empirical,second,sharp,two_adjectives,0.2519841269841269,504
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,both,blurred,one_adjective,0.08990261026935467,566
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,both,blurred,three_adjectives,0.41454221197500485,566
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,both,blurred,two_adjectives,0.49555517775564056,566
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,both,sharp,one_adjective,0.08621316728491521,503
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,both,sharp,three_adjectives,0.4336550117473216,503
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,both,sharp,two_adjectives,0.4801318209677633,503
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,first,blurred,one_adjective,0.14494311944831603,554
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,first,blurred,three_adjectives,0.27096256458517193,554
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,first,blurred,two_adjectives,0.5840943159665122,554
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,first,sharp,one_adjective,0.17573351929409006,502
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,first,sharp,three_adjectives,0.23895160712144742,502
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,first,sharp,two_adjectives,0.5853148735844625,502
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,second,blurred,one_adjective,0.709840892150888,567
