summary_type,source,model,architecture,architecture_short,semantics,semantics_short,relevant_property,sharpness,category,proportion,n,multi_adjective_total,conditional_multi_proportion
order,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,colour_initial_multi,0.333922261484099,566,0.8745583038869257,0.3818181818181819
order,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,form_initial_multi,0.04770318021201402,566,0.8745583038869257,0.054545454545454425
order,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,single_adjective,0.12544169611307426,566,0.8745583038869257,
order,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,size_initial_multi,0.49293286219081267,566,0.8745583038869257,0.5636363636363636
order,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,colour_initial_multi,0.2465208747514909,503,0.9165009940357853,0.26898047722342716
order,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,form_initial_multi,0.023856858846918412,503,0.9165009940357853,0.0260303687635574
order,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,single_adjective,0.08349900596421474,503,0.9165009940357853,
order,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,size_initial_multi,0.646123260437376,503,0.9165009940357853,0.7049891540130154
order,empirical,empirical,empirical,empirical,empirical,empirical,first,blurred,colour_initial_multi,0.1281588447653429,554,0.9007220216606497,0.1422845691382765
order,empirical,empirical,empirical,empirical,empirical,empirical,first,blurred,form_initial_multi,0.032490974729241624,554,0.9007220216606497,0.03607214428857688
order,empirical,empirical,empirical,empirical,empirical,empirical,first,blurred,single_adjective,0.09927797833935018,554,0.9007220216606497,
order,empirical,empirical,empirical,empirical,empirical,empirical,first,blurred,size_initial_multi,0.7400722021660653,554,0.9007220216606497,0.8216432865731467
order,empirical,empirical,empirical,empirical,empirical,empirical,first,sharp,colour_initial_multi,0.11354581673306766,502,0.6294820717131473,0.18037974683544294
order,empirical,empirical,empirical,empirical,empirical,empirical,first,sharp,form_initial_multi,0.011952191235059707,502,0.6294820717131473,0.018987341772151816
order,empirical,empirical,empirical,empirical,empirical,empirical,first,sharp,single_adjective,0.37051792828685265,502,0.6294820717131473,
order,empirical,empirical,empirical,empirical,empirical,empirical,first,sharp,size_initial_multi,0.5039840637450199,502,0.6294820717131473,0.8006329113924052
order,empirical,empirical,empirical,empirical,empirical,empirical,second,blurred,colour_initial_multi,0.2680776014109347,567,0.3280423280423278,0.8172043010752692
order,empirical,empirical,empirical,empirical,empirical,empirical,second,blurred,form_initial_multi,0.019400352733686007,567,0.3280423280423278,0.059139784946236416
order,empirical,empirical,empirical,empirical,empirical,empirical,second,blurred,single_adjective,0.6719576719576723,567,0.3280423280423278,
order,empirical,empirical,empirical,empirical,empirical,empirical,second,blurred,size_initial_multi,0.04056437389770712,567,0.3280423280423278,0.12365591397849438
order,empirical,empirical,empirical,empirical,empirical,empirical,second,sharp,colour_initial_multi,0.2341269841269841,504,0.2638888888888886,0.8872180451127828
order,empirical,empirical,empirical,empirical,empirical,empirical,second,sharp,form_initial_multi,0.01984126984126981,504,0.2638888888888886,0.07518796992481198
order,empirical,empirical,empirical,empirical,empirical,empirical,second,sharp,single_adjective,0.7361111111111114,504,0.2638888888888886,
order,empirical,empirical,empirical,empirical,empirical,empirical,second,sharp,size_initial_multi,0.009920634920634705,504,0.2638888888888886,0.037593984962405236
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,both,blurred,colour_initial_multi,0.2497130007343302,566,0.9100973897306455,0.27438052625141124
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,both,blurred,form_initial_multi,0.12723757505684438,566,0.9100973897306455,0.13980654871947484
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,both,blurred,single_adjective,0.08990261026935467,566,0.9100973897306455,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,both,blurred,size_initial_multi,0.5331468139394708,566,0.9100973897306455,0.5858129250291139
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,both,sharp,colour_initial_multi,0.21493681194043843,503,0.9137868327150849,0.235215483792657
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,both,sharp,form_initial_multi,0.1130982523995081,503,0.9137868327150849,0.12376874819203232
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,both,sharp,single_adjective,0.08621316728491521,503,0.9137868327150849,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,both,sharp,size_initial_multi,0.5857517683751383,503,0.9137868327150849,0.6410157680153107
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,first,blurred,colour_initial_multi,0.12107970717782876,554,0.855056880551684,0.14160427210375517
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,first,blurred,form_initial_multi,0.07299732225454059,554,0.855056880551684,0.08537130559950888
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,first,blurred,single_adjective,0.14494311944831603,554,0.855056880551684,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,first,blurred,size_initial_multi,0.6609798511193147,554,0.855056880551684,0.7730244222967358
