summary_type,source,model,architecture,architecture_short,semantics,semantics_short,relevant_property,sharpness,category,proportion,n
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,minimal_length,0.47526501766784446,566
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,over_minimal_length,0.3992932862190811,566
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,under_minimal_length,0.12544169611307426,566
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,minimal_length,0.5407554671968191,503
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,over_minimal_length,0.3757455268389661,503
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,under_minimal_length,0.08349900596421474,503
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,first,blurred,minimal_length,0.09927797833935018,554
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,first,blurred,over_minimal_length,0.9007220216606499,554
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,first,sharp,minimal_length,0.37051792828685265,502
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,first,sharp,over_minimal_length,0.6294820717131473,502
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,second,blurred,minimal_length,0.6719576719576723,567
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,second,blurred,over_minimal_length,0.3280423280423278,567
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,second,sharp,minimal_length,0.7361111111111114,504
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,second,sharp,over_minimal_length,0.2638888888888886,504
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,both,blurred,minimal_length,0.49555517775564056,566
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,both,blurred,over_minimal_length,0.41454221197500485,566
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,both,blurred,under_minimal_length,0.08990261026935467,566
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,both,sharp,minimal_length,0.4801318209677633,503
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,both,sharp,over_minimal_length,0.4336550117473216,503
