model,architecture,architecture_short,semantics,semantics_short,utterance_label,length_class,selection_class,order_class,n_conditions,r,mae,rmse,max_abs_residual
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,C,one_adjective,colour_only,single_adjective,6,0.9957786995749456,0.03246460294632218,0.039040708441712,0.07422468175486141
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,CD,two_adjectives,size_colour,colour_initial_multi,6,0.8960832107886391,0.003956239689188749,0.004238522265136864,0.0067216782038852525
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,CDF,three_adjectives,redundant_form,colour_initial_multi,6,0.8400398731860113,0.007828366777445287,0.011874661224003363,0.020891561509037412
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,CF,two_adjectives,redundant_form,colour_initial_multi,6,0.6872172919039005,0.07498171102710204,0.09218899832368352,0.15376441820569164
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,CFD,three_adjectives,redundant_form,colour_initial_multi,6,0.8838179058859231,0.007656179485092879,0.008512127324629196,0.01186474770549666
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,D,one_adjective,size_only,single_adjective,6,0.9074244626345759,0.03111933069614356,0.0538488790059095,0.12479643445916919
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,DC,two_adjectives,size_colour,size_initial_multi,6,0.7733480751526411,0.04587458184763712,0.0550691901712851,0.08739349797735926
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,DCF,three_adjectives,redundant_form,size_initial_multi,6,0.9467419749145326,0.07894594942712342,0.09518112758177454,0.16440152808549202
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,DF,two_adjectives,redundant_form,size_initial_multi,6,0.9212073687539327,0.0461474429388094,0.0860384074216755,0.2082836329724145
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,DFC,three_adjectives,redundant_form,size_initial_multi,6,0.8758393452067857,0.055567350463010305,0.06869173651758186,0.10867856192193188
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,F,one_adjective,redundant_form,single_adjective,6,0.676859033260953,0.044661749771216515,0.052620877572936285,0.08198284959476211
