model,architecture,architecture_short,semantics,semantics_short,summary_type,relevant_property,sharpness,category,empirical_proportion,model_proportion,signed_residual,abs_residual,n
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,both,blurred,one_adjective,0.12544169611307426,0.08990261026935467,-0.03553908584371959,0.03553908584371959,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,both,blurred,three_adjectives,0.3992932862190811,0.41454221197500485,0.015248925755923737,0.015248925755923737,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,both,blurred,two_adjectives,0.47526501766784446,0.49555517775564056,0.020290160087796105,0.020290160087796105,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,both,sharp,one_adjective,0.08349900596421474,0.08621316728491521,0.0027141613207004728,0.0027141613207004728,503
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,both,sharp,three_adjectives,0.3757455268389661,0.4336550117473216,0.05790948490835546,0.05790948490835546,503
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,both,sharp,two_adjectives,0.5407554671968191,0.4801318209677633,-0.060623646229055805,0.060623646229055805,503
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,first,blurred,one_adjective,0.09927797833935018,0.14494311944831603,0.04566514110896586,0.04566514110896586,554
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,first,blurred,three_adjectives,0.3790613718411551,0.27096256458517193,-0.1080988072559832,0.1080988072559832,554
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,first,blurred,two_adjectives,0.5216606498194947,0.5840943159665122,0.06243366614701751,0.06243366614701751,554
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,first,sharp,one_adjective,0.37051792828685265,0.17573351929409006,-0.1947844089927626,0.1947844089927626,502
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,first,sharp,three_adjectives,0.247011952191235,0.23895160712144742,-0.008060345069787589,0.008060345069787589,502
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,first,sharp,two_adjectives,0.3824701195219123,0.5853148735844625,0.20284475406255026,0.20284475406255026,502
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,second,blurred,one_adjective,0.6719576719576723,0.709840892150888,0.03788322019321566,0.03788322019321566,567
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,second,blurred,three_adjectives,0.045855379188712325,0.053981884470260436,0.00812650528154811,0.00812650528154811,567
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,second,blurred,two_adjectives,0.2821869488536155,0.23617722337885155,-0.04600972547476395,0.04600972547476395,567
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,second,sharp,one_adjective,0.7361111111111114,0.7057404283538645,-0.03037068275724686,0.03037068275724686,504
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,second,sharp,three_adjectives,0.011904761904761706,0.05962406238011757,0.04771930047535586,0.04771930047535586,504
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,second,sharp,two_adjectives,0.2519841269841269,0.23463550926601798,-0.017348617718108944,0.017348617718108944,504
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,length,both,blurred,one_adjective,0.12544169611307426,0.09117908583883219,-0.03426261027424207,0.03426261027424207,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,length,both,blurred,three_adjectives,0.3992932862190811,0.4122366910666743,0.01294340484759321,0.01294340484759321,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,length,both,blurred,two_adjectives,0.47526501766784446,0.49658422309449346,0.021319205426649,0.021319205426649,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,length,both,sharp,one_adjective,0.08349900596421474,0.0863771934728718,0.002878187508657065,0.002878187508657065,503
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,length,both,sharp,three_adjectives,0.3757455268389661,0.4313814880872199,0.05563596124825376,0.05563596124825376,503
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,length,both,sharp,two_adjectives,0.5407554671968191,0.4822413184399083,-0.0585141487569108,0.0585141487569108,503
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,length,first,blurred,one_adjective,0.09927797833935018,0.14549348926153963,0.04621551092218945,0.04621551092218945,554
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,length,first,blurred,three_adjectives,0.3790613718411551,0.27027029112099343,-0.10879108072016169,0.10879108072016169,554
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,length,first,blurred,two_adjectives,0.5216606498194947,0.5842362196174669,0.06257556979797219,0.06257556979797219,554
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,length,first,sharp,one_adjective,0.37051792828685265,0.176775563171928,-0.19374236511492465,0.19374236511492465,502
