relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.014332552029854763,0.00530035335689046,0.024734982332155476,both | blurred
both,blurred,1,DC,0.06890459363957598,0.04946996466431095,0.09010600706713781,566,0.06995759717314487,0.04770318021201413,0.09187279151943463,both | blurred
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.22753356890459364,0.19257950530035337,0.2667844522968198,both | blurred
both,blurred,3,DF,0.08480565371024736,0.061837455830388695,0.10777385159010601,566,0.09928621908127208,0.07420494699646643,0.1281360424028268,both | blurred
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566,0.022978798586572438,0.01060070671378092,0.037102473498233215,both | blurred
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.06267137809187279,0.044169611307420496,0.08480565371024736,both | blurred
both,blurred,6,CD,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.006592314487632509,0.0017667844522968198,0.014134275618374558,both | blurred
both,blurred,7,CDF,0.05123674911660778,0.03356890459363958,0.0706713780918728,566,0.07907067137809187,0.05653710247349823,0.10247349823321555,both | blurred
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.26087632508833924,0.2181537102473498,0.3003533568904594,both | blurred
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566,0.02721201413427562,0.014134275618374558,0.03979681978798583,both | blurred
both,blurred,10,F,0.1166077738515901,0.09010600706713781,0.14487632508833923,566,0.07779151943462898,0.05830388692579505,0.10163427561837451,both | blurred
both,blurred,11,FD,0.0017667844522968198,0.0,0.00530035335689046,566,0.003049202409838637,0.0017667844522968198,0.007067137809187279,both | blurred
both,blurred,12,FDC,0.00530035335689046,0.0,0.012367491166077738,566,0.004054175924179941,0.0017667844522968198,0.0088339222614841,both | blurred
both,blurred,13,FC,0.04063604240282685,0.024734982332155476,0.05653710247349823,566,0.04196466431095407,0.026501766784452298,0.061837455830388695,both | blurred
both,blurred,14,FCD,0.0,0.0,0.0,566,0.004766302601991648,0.0017667844522968198,0.01060070671378092,both | blurred
both,sharp,0,D,0.0,0.0,0.0,503,0.019029821073558648,0.009940357852882704,0.03285288270377729,both | sharp
both,sharp,1,DC,0.19681908548707752,0.1610337972166998,0.23260437375745527,503,0.09215904572564612,0.06759443339960239,0.1172962226640159,both | sharp
both,sharp,2,DCF,0.3121272365805169,0.27236580516898606,0.3518886679920477,503,0.30367395626242544,0.2624254473161034,0.3499005964214712,both | sharp
both,sharp,3,DF,0.1073558648111332,0.08151093439363817,0.13518886679920478,503,0.12987276341948312,0.09940357852882704,0.1610337972166998,both | sharp
both,sharp,4,DFC,0.02982107355864811,0.015904572564612324,0.04572564612326044,503,0.03118489065606362,0.017892644135188866,0.04771371769383698,both | sharp
both,sharp,5,C,0.0,0.0,0.0,503,0.05013121272365805,0.03180914512922465,0.06958250497017893,both | sharp
