model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,alpha,1.699,0.203,1.325,2.086,0.004,0.002,2229.0,3911.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,log_beta_order,0.606,0.034,0.543,0.672,0.001,0.0,4141.0,5193.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,lambda_salience,1.35,0.04,1.276,1.425,0.0,0.0,9002.0,6179.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,rho_salience_stop,0.009,0.009,0.0,0.025,0.0,0.0,8268.0,4116.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,lambda_sufficient_single,1.965,0.09,1.801,2.141,0.002,0.001,3542.0,5041.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,lambda_reliability_form,1.877,0.082,1.709,2.024,0.001,0.001,3584.0,5199.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,8000.0,8000.0,
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,tau,0.878,0.086,0.721,1.04,0.002,0.001,1939.0,3019.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,alpha,1.72,0.203,1.352,2.107,0.004,0.002,2496.0,4313.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,log_beta_order,0.603,0.035,0.541,0.672,0.001,0.0,4597.0,5012.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,lambda_salience,1.35,0.039,1.279,1.426,0.0,0.0,9152.0,5527.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,rho_salience_stop,0.009,0.009,0.0,0.024,0.0,0.0,8101.0,4038.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,lambda_sufficient_single,1.96,0.091,1.796,2.138,0.002,0.001,3626.0,5127.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,lambda_reliability_form,1.886,0.082,1.729,2.034,0.001,0.001,3656.0,5733.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,8000.0,8000.0,
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,tau,0.882,0.087,0.715,1.039,0.002,0.001,2064.0,3728.0,1.0
