relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,model,condition,signed_residual,abs_residual,human_mean_covered_by_model_ci,model_mean_covered_by_human_ci
both,blurred,0,D,0.0,0.0,0.0,566,0.014396283733544827,0.00530035335689046,0.024734982332155476,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,0.014396283733544827,0.014396283733544827,False,False
both,blurred,1,DC,0.06890459363957598,0.04946996466431095,0.09010600706713781,566,0.07018021201413427,0.04946996466431095,0.09010600706713781,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,0.0012756183745582933,0.0012756183745582933,True,True
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.2278374558303887,0.19257950530035337,0.2667844522968198,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,-0.08134982332155474,0.08134982332155474,False,False
both,blurred,3,DF,0.08480565371024736,0.061837455830388695,0.10777385159010601,566,0.09891872791519435,0.07597173144876325,0.12636925795053,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,0.014113074204946993,0.014113074204946993,True,True
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566,0.023102473498233217,0.01060070671378092,0.03626325088339219,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,-0.006932862190812718,0.006932862190812718,True,True
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.06238162544169611,0.04240282685512368,0.08657243816254417,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,0.053547703180212014,0.053547703180212014,False,False
both,blurred,6,CD,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.006821547439262203,0.0017667844522968198,0.014134275618374558,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,-0.0020123748222218964,0.0020123748222218964,True,True
both,blurred,7,CDF,0.05123674911660778,0.03356890459363958,0.0706713780918728,566,0.079452296819788,0.05653710247349823,0.10424028268551237,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,0.028215547703180216,0.028215547703180216,False,False
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.2599434628975265,0.21908127208480566,0.29858657243816256,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,-0.010374558303886894,0.010374558303886894,True,True
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566,0.027643109540636042,0.015901060070671377,0.04240282685512368,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both | blurred,0.0241095406360424,0.0241095406360424,False,False
