relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.01439929328621908,0.00530035335689046,0.02566254416961127,both | blurred
both,blurred,1,DC,0.06890459363957598,0.04946996466431095,0.09010600706713781,566,0.06948056537102473,0.04946996466431095,0.09187279151943463,both | blurred
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.22885159010600709,0.19434628975265017,0.26594522968197876,both | blurred
both,blurred,3,DF,0.08480565371024736,0.061837455830388695,0.10777385159010601,566,0.0991625441696113,0.07504416961130743,0.12367491166077739,both | blurred
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566,0.023190812720848056,0.01060070671378092,0.0353356890459364,both | blurred
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.06289752650176679,0.04240282685512368,0.08480565371024736,both | blurred
both,blurred,6,CD,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.00657937523033233,0.0017667844522968198,0.014134275618374558,both | blurred
both,blurred,7,CDF,0.05123674911660778,0.03356890459363958,0.0706713780918728,566,0.07898939929328623,0.057376325088339224,0.10070671378091872,both | blurred
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.25973851590106006,0.2181537102473498,0.3048144876325088,both | blurred
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566,0.02660424028268551,0.012367491166077738,0.04063604240282685,both | blurred
both,blurred,10,F,0.1166077738515901,0.09010600706713781,0.14487632508833923,566,0.07774204946996467,0.05653710247349823,0.10070671378091872,both | blurred
both,blurred,11,FD,0.0017667844522968198,0.0,0.00530035335689046,566,0.0032639018039799144,0.0017667844522968198,0.007067137809187279,both | blurred
both,blurred,12,FDC,0.00530035335689046,0.0,0.012367491166077738,566,0.004121136944156554,0.0017667844522968198,0.01060070671378092,both | blurred
both,blurred,13,FC,0.04063604240282685,0.024734982332155476,0.05653710247349823,566,0.04213427561837456,0.026501766784452298,0.06007067137809187,both | blurred
both,blurred,14,FCD,0.0,0.0,0.0,566,0.004763313148923584,0.0017667844522968198,0.01060070671378092,both | blurred
both,sharp,0,D,0.0,0.0,0.0,503,0.01919284294234592,0.007952286282306162,0.03180914512922465,both | sharp
both,sharp,1,DC,0.19681908548707752,0.1610337972166998,0.23260437375745527,503,0.09146322067594433,0.06560636182902585,0.11928429423459244,both | sharp
both,sharp,2,DCF,0.3121272365805169,0.27236580516898606,0.3518886679920477,503,0.30353876739562624,0.25740556660039765,0.3489562624254473,both | sharp
both,sharp,3,DF,0.1073558648111332,0.08151093439363817,0.13518886679920478,503,0.13151491053677933,0.10139165009940358,0.16302186878727634,both | sharp
both,sharp,4,DFC,0.02982107355864811,0.015904572564612324,0.04572564612326044,503,0.030524850894632204,0.017892644135188866,0.04771371769383698,both | sharp
both,sharp,5,C,0.0,0.0,0.0,503,0.05040556660039761,0.03180914512922465,0.06863817097415502,both | sharp
