model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,alpha,0.71,0.15,0.427,0.99,0.006,0.003,643.0,1124.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,log_beta_order,0.674,0.031,0.619,0.733,0.001,0.001,675.0,1208.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,lambda_salience,1.31,0.043,1.225,1.385,0.001,0.001,1651.0,1540.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,rho_salience_stop,0.096,0.059,0.0,0.195,0.002,0.001,997.0,814.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,lambda_sufficient_single,2.023,0.077,1.879,2.17,0.003,0.002,906.0,1186.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,lambda_reliability_form,1.424,0.064,1.302,1.539,0.001,0.001,2130.0,1154.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,2000.0,2000.0,
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,tau,0.612,0.108,0.416,0.812,0.008,0.003,188.0,205.0,1.01
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,alpha,0.697,0.153,0.421,0.993,0.007,0.004,435.0,755.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,log_beta_order,0.675,0.031,0.622,0.737,0.001,0.001,550.0,1140.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,lambda_salience,1.31,0.043,1.233,1.391,0.001,0.001,1277.0,1220.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,rho_salience_stop,0.093,0.059,0.001,0.193,0.002,0.001,1054.0,876.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,lambda_sufficient_single,2.026,0.078,1.866,2.166,0.003,0.002,807.0,1234.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,lambda_reliability_form,1.424,0.065,1.306,1.541,0.001,0.002,1897.0,1444.0,1.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,2000.0,2000.0,
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,tau,0.611,0.102,0.436,0.815,0.007,0.004,201.0,205.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,alpha,1.7,0.207,1.329,2.073,0.008,0.004,670.0,1102.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,log_beta_order,0.605,0.035,0.537,0.667,0.001,0.001,1592.0,1351.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,lambda_salience,1.35,0.039,1.281,1.422,0.001,0.001,2783.0,1296.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,rho_salience_stop,0.009,0.009,0.0,0.025,0.0,0.0,2324.0,1280.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,lambda_sufficient_single,1.964,0.091,1.799,2.132,0.003,0.002,1068.0,1452.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,lambda_reliability_form,1.881,0.082,1.738,2.048,0.003,0.002,987.0,1466.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,2000.0,2000.0,
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,tau,0.879,0.087,0.723,1.045,0.004,0.002,496.0,606.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,alpha,1.724,0.201,1.364,2.12,0.008,0.004,680.0,1179.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,log_beta_order,0.603,0.035,0.536,0.666,0.001,0.001,1344.0,1428.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,lambda_salience,1.349,0.04,1.267,1.417,0.001,0.001,2416.0,1624.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,rho_salience_stop,0.009,0.009,0.0,0.026,0.0,0.0,2119.0,1059.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,lambda_sufficient_single,1.96,0.088,1.807,2.139,0.003,0.002,995.0,1286.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,lambda_reliability_form,1.886,0.082,1.726,2.033,0.002,0.001,1106.0,1402.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,2000.0,2000.0,
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,tau,0.884,0.086,0.72,1.04,0.004,0.002,559.0,829.0,1.0
