relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,model,condition,signed_residual,abs_residual,human_mean_covered_by_model_ci,model_mean_covered_by_human_ci
both,blurred,0,D,0.0,0.0,0.0,566,0.012169611307420494,0.0035335689045936395,0.022968197879858657,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,both | blurred,0.012169611307420494,0.012169611307420494,False,False
both,blurred,1,DC,0.06890459363957598,0.04946996466431095,0.09010600706713781,566,0.062886925795053,0.04240282685512368,0.08480565371024736,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,both | blurred,-0.00601766784452297,0.00601766784452297,True,True
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.3099187279151943,0.27208480565371024,0.34898409893992927,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,both | blurred,0.0007314487632508748,0.0007314487632508748,True,True
both,blurred,3,DF,0.08480565371024736,0.061837455830388695,0.10777385159010601,566,0.0773957597173145,0.053003533568904596,0.10070671378091872,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,both | blurred,-0.007409893992932862,0.007409893992932862,True,True
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566,0.04311660777385159,0.026501766784452298,0.06276501766784448,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,both | blurred,0.013081272084805654,0.013081272084805654,True,True
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.06106360424028268,0.041475265017667844,0.0812720848056537,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,both | blurred,0.052229681978798584,0.052229681978798584,False,False
both,blurred,6,CD,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.00449234908877222,0.0017667844522968198,0.01060070671378092,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,both | blurred,-0.004341573172711879,0.004341573172711879,True,True
both,blurred,7,CDF,0.05123674911660778,0.03356890459363958,0.0706713780918728,566,0.0925547703180212,0.0706713780918728,0.11837455830388692,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,both | blurred,0.041318021201413424,0.041318021201413424,False,False
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.18861837455830388,0.15547703180212014,0.22084805653710246,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,both | blurred,-0.08169964664310952,0.08169964664310952,False,False
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566,0.04425088339222615,0.029107773851590107,0.061837455830388695,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,both | blurred,0.040717314487632515,0.040717314487632515,False,False
