model,relevant_property,sharpness,mae,rmse,max_abs_residual,worst_utterance_code,worst_utterance_label,worst_human_mean,worst_model_mean,worst_signed_residual,coverage_rate
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,both,blurred,0.022391150396831597,0.03339284623770447,0.08169964664310952,8,CF,0.2703180212014134,0.18861837455830388,-0.08169964664310952,0.5333333333333333
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,both,sharp,0.03368071835249841,0.04712374134942515,0.12157455268389661,1,DC,0.19681908548707752,0.07524453280318091,-0.12157455268389661,0.26666666666666666
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,first,blurred,0.030333157783256078,0.05986277136432343,0.2148375451263538,3,DF,0.36462093862815886,0.14978339350180506,-0.2148375451263538,0.6
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,first,sharp,0.044604566313221405,0.06818630518255062,0.17286454183266928,2,DCF,0.2051792828685259,0.3780438247011952,0.17286454183266928,0.2
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,second,blurred,0.031947663339018356,0.056495539915592925,0.18316402116402114,8,CF,0.26278659611992944,0.07962257495590828,-0.18316402116402114,0.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,second,sharp,0.028264934304121244,0.05051010639085889,0.16503571428571429,8,CF,0.23015873015873015,0.06512301587301587,-0.16503571428571429,0.2
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,both,blurred,0.022383396260224158,0.03317934580169854,0.0809328621908127,8,CF,0.2703180212014134,0.1893851590106007,-0.0809328621908127,0.5333333333333333
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,both,sharp,0.03371841493263133,0.047201122128246,0.12190854870775346,1,DC,0.19681908548707752,0.07491053677932406,-0.12190854870775346,0.26666666666666666
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,first,blurred,0.030241829203027572,0.05998969992293316,0.2154765342960289,3,DF,0.36462093862815886,0.14914440433212997,-0.2154765342960289,0.6
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,first,sharp,0.04471438574161488,0.06847102850462938,0.17417928286852588,2,DCF,0.2051792828685259,0.3793585657370518,0.17417928286852588,0.2
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,second,blurred,0.03195999992652323,0.056560525003896696,0.1834285714285714,8,CF,0.26278659611992944,0.07935802469135803,-0.1834285714285714,0.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,second,sharp,0.028151111913011995,0.050457331526954294,0.16510714285714284,8,CF,0.23015873015873015,0.0650515873015873,-0.16510714285714284,0.2
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both,blurred,0.018730677927786123,0.02926212153271151,0.08079858657243816,2,DCF,0.30918727915194344,0.22838869257950528,-0.08079858657243816,0.5333333333333333
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,both,sharp,0.023531636532979083,0.035568769743586005,0.10516500994035784,1,DC,0.19681908548707752,0.09165407554671968,-0.10516500994035784,0.4666666666666667
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,first,blurred,0.018106833747762566,0.03153155869063847,0.10548375451263536,2,DCF,0.2996389891696751,0.1941552346570397,-0.10548375451263536,0.7333333333333333
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,first,sharp,0.03861167555914843,0.07017266786793991,0.19969322709163348,3,DF,0.23107569721115537,0.43076892430278885,0.19969322709163348,0.4
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,second,blurred,0.021881327641717598,0.036749884100763255,0.0960952380952381,8,CF,0.26278659611992944,0.16669135802469134,-0.0960952380952381,0.2
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,second,sharp,0.016281664369239727,0.028405718361005586,0.09207142857142855,8,CF,0.23015873015873015,0.1380873015873016,-0.09207142857142855,0.2
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,both,blurred,0.018802463341882524,0.02920721384585509,0.08033568904593635,2,DCF,0.30918727915194344,0.22885159010600709,-0.08033568904593635,0.5333333333333333
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,both,sharp,0.02332660254114666,0.03543372306243821,0.1053558648111332,1,DC,0.19681908548707752,0.09146322067594433,-0.1053558648111332,0.5333333333333333
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,first,blurred,0.018078858423990044,0.031446005968076444,0.1051335740072202,2,DCF,0.2996389891696751,0.19450541516245487,-0.1051335740072202,0.7333333333333333
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,first,sharp,0.038661904042673896,0.07016372763257873,0.19939442231075696,3,DF,0.23107569721115537,0.43047011952191233,0.19939442231075696,0.4
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,second,blurred,0.02193473504740009,0.036748393689749664,0.09610229276895943,8,CF,0.26278659611992944,0.16668430335097,-0.09610229276895943,0.13333333333333333
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,second,sharp,0.016154931546043593,0.028206988413364213,0.0913412698412698,8,CF,0.23015873015873015,0.13881746031746034,-0.0913412698412698,0.2
