relevant_property,sharpness,utterance_label,model_proportion,utterance_code,model,semantics,planning_scale,empirical_proportion,condition_n,signed_residual,abs_residual
both,blurred,C,0.22961937,5,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.008870490833826138,1691,0.22074887807696336,0.22074887807696336
both,blurred,CD,0.010683065,6,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.0035481963335304554,1691,0.007134868946787805,0.007134868946787805
both,blurred,CDF,0.049858764,7,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.03252513305736251,1691,0.017333630756609965,0.017333630756609965
both,blurred,CF,0.15462865,8,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.39503252513305737,1691,-0.24040387577907635,0.24040387577907635
both,blurred,CFD,0.040358197,9,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.004730928444707274,1691,0.035627268499291063,0.035627268499291063
both,blurred,D,0.03485315,0,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.002365464222353637,1691,0.0324876849830926,0.0324876849830926
both,blurred,DC,0.15020582,1,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.03784742755765819,1691,0.11235839324121571,0.11235839324121571
both,blurred,DCF,0.13584039,2,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.2253104671791839,1691,-0.08947008102691645,0.08947008102691645
both,blurred,DF,0.056598607,3,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.1732702542874039,1691,-0.11667164683668024,0.11667164683668024
both,blurred,DFC,0.032792393,4,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.02424600827912478,1691,0.008546384839018303,0.008546384839018303
both,blurred,F,0.05873689,10,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.04849201655824956,1691,0.010244873996178544,0.010244873996178544
both,blurred,FC,0.033101514,13,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.039621525724423415,1691,-0.006520011742604262,0.006520011742604262
both,blurred,FCD,0.0061282027,14,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.0005913660555884093,1691,0.005536836602558211,0.005536836602558211
both,blurred,FD,0.0013597105,11,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.0017740981667652277,1691,-0.0004143876969232706,0.0004143876969232706
both,blurred,FDC,0.0052352455,12,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.0017740981667652277,1691,0.003461147284565911,0.003461147284565911
both,sharp,C,0.19657987,5,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.033752481800132364,1511,0.16282739176172678,0.16282739176172678
both,sharp,CD,0.01050956,6,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.003970880211780278,1511,0.006538679672887119,0.006538679672887119
both,sharp,CDF,0.04903686,7,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.02183984116479153,1511,0.027197019301211888,0.027197019301211888
both,sharp,CF,0.12525174,8,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.3798808735936466,1511,-0.2546291333764377,0.2546291333764377
both,sharp,CFD,0.032942504,9,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.0026472534745201853,1511,0.03029525021619942,0.03029525021619942
