relevant_property,sharpness,utterance_code,utterance_label,n,condition_n,empirical_proportion
both,blurred,0,D,4,1691,0.002365464222353637
both,blurred,1,DC,64,1691,0.03784742755765819
both,blurred,2,DCF,381,1691,0.2253104671791839
both,blurred,3,DF,293,1691,0.1732702542874039
both,blurred,4,DFC,41,1691,0.02424600827912478
both,blurred,5,C,15,1691,0.008870490833826138
both,blurred,6,CD,6,1691,0.0035481963335304554
both,blurred,7,CDF,55,1691,0.03252513305736251
both,blurred,8,CF,668,1691,0.39503252513305737
both,blurred,9,CFD,8,1691,0.004730928444707274
both,blurred,10,F,82,1691,0.04849201655824956
both,blurred,11,FD,3,1691,0.0017740981667652277
both,blurred,12,FDC,3,1691,0.0017740981667652277
both,blurred,13,FC,67,1691,0.039621525724423415
both,blurred,14,FCD,1,1691,0.0005913660555884093
both,sharp,0,D,3,1511,0.001985440105890139
both,sharp,1,DC,137,1511,0.09066843150231635
both,sharp,2,DCF,332,1511,0.21972203838517537
both,sharp,3,DF,227,1511,0.1502316346790205
both,sharp,4,DFC,35,1511,0.02316346790205162
both,sharp,5,C,51,1511,0.033752481800132364
both,sharp,6,CD,6,1511,0.003970880211780278
both,sharp,7,CDF,33,1511,0.02183984116479153
both,sharp,8,CF,574,1511,0.3798808735936466
both,sharp,9,CFD,4,1511,0.0026472534745201853
both,sharp,10,F,49,1511,0.03242885506287227
both,sharp,11,FD,1,1511,0.0006618133686300463
both,sharp,12,FDC,1,1511,0.0006618133686300463
both,sharp,13,FC,55,1511,0.036399735274652546
both,sharp,14,FCD,3,1511,0.001985440105890139
first,blurred,0,D,74,1664,0.04447115384615385
first,blurred,1,DC,69,1664,0.04146634615384615
first,blurred,2,DCF,340,1664,0.20432692307692307
first,blurred,3,DF,320,1664,0.19230769230769232
first,blurred,4,DFC,38,1664,0.02283653846153846
first,blurred,5,C,446,1664,0.26802884615384615
first,blurred,6,CD,2,1664,0.001201923076923077
first,blurred,7,CDF,39,1664,0.0234375
first,blurred,8,CF,272,1664,0.16346153846153846
first,blurred,9,CFD,1,1664,0.0006009615384615385
first,blurred,10,F,24,1664,0.014423076923076924
first,blurred,11,FD,5,1664,0.0030048076923076925
first,blurred,12,FDC,3,1664,0.0018028846153846155
first,blurred,13,FC,29,1664,0.017427884615384616
first,blurred,14,FCD,2,1664,0.001201923076923077
first,sharp,0,D,266,1508,0.17639257294429708
first,sharp,1,DC,60,1508,0.03978779840848806
first,sharp,2,DCF,228,1508,0.15119363395225463
first,sharp,3,DF,229,1508,0.15185676392572944
first,sharp,4,DFC,28,1508,0.01856763925729443
first,sharp,5,C,391,1508,0.2592838196286472
first,sharp,6,CD,0,1508,0.0
first,sharp,7,CDF,24,1508,0.015915119363395226
first,sharp,8,CF,199,1508,0.1319628647214854
first,sharp,9,CFD,1,1508,0.000663129973474801
first,sharp,10,F,54,1508,0.03580901856763926
first,sharp,11,FD,2,1508,0.001326259946949602
first,sharp,12,FDC,3,1508,0.001989389920424403
first,sharp,13,FC,22,1508,0.014588859416445624
first,sharp,14,FCD,1,1508,0.000663129973474801
second,blurred,0,D,0,1701,0.0
second,blurred,1,DC,1,1701,0.0005878894767783657
second,blurred,2,DCF,47,1701,0.027630805408583186
second,blurred,3,DF,9,1701,0.005291005291005291
second,blurred,4,DFC,19,1701,0.011169900058788948
second,blurred,5,C,386,1701,0.22692533803644915
second,blurred,6,CD,0,1701,0.0
second,blurred,7,CDF,3,1701,0.001763668430335097
second,blurred,8,CF,402,1701,0.23633156966490299
second,blurred,9,CFD,1,1701,0.0005878894767783657
second,blurred,10,F,785,1701,0.46149323927101704
second,blurred,11,FD,1,1701,0.0005878894767783657
second,blurred,12,FDC,0,1701,0.0
second,blurred,13,FC,47,1701,0.027630805408583186
second,blurred,14,FCD,0,1701,0.0
second,sharp,0,D,0,1511,0.0
second,sharp,1,DC,2,1511,0.0013236267372600927
second,sharp,2,DCF,15,1511,0.009927200529450696
second,sharp,3,DF,17,1511,0.011250827266710787
second,sharp,4,DFC,11,1511,0.00727994705493051
second,sharp,5,C,418,1511,0.27663798808735934
second,sharp,6,CD,1,1511,0.0006618133686300463
second,sharp,7,CDF,6,1511,0.003970880211780278
second,sharp,8,CF,293,1511,0.19391131700860356
second,sharp,9,CFD,0,1511,0.0
second,sharp,10,F,708,1511,0.4685638649900728
second,sharp,11,FD,0,1511,0.0
second,sharp,12,FDC,4,1511,0.0026472534745201853
second,sharp,13,FC,36,1511,0.02382528127068167
second,sharp,14,FCD,0,1511,0.0
