semantics,summary_type,relevant_property,sharpness,category,global_proportion,incremental_proportion,global_model,incremental_model,delta_incremental_minus_global,abs_delta_incremental_global
context_fixed,length,second,blurred,one_adjective,0.2296009626736471,0.4365021277539413,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.2069011650802942,0.2069011650802942
context_fixed,length,second,sharp,one_adjective,0.21506751347727265,0.40778437069405604,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.1927168572167834,0.1927168572167834
context_fixed,length,both,blurred,one_adjective,0.18827197184110034,0.32206697482977903,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.1337950029886787,0.1337950029886787
context_fixed,length,second,sharp,two_adjectives,0.4546334310401604,0.34086044766879053,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.11377298337136987,0.11377298337136987
context_fixed,length,second,blurred,two_adjectives,0.45356866960609554,0.34546770666595644,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.1081009629401391,0.1081009629401391
context_fixed,length,second,blurred,three_adjectives,0.3168303677202575,0.21803016558010221,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.09880020214015531,0.09880020214015531
context_fixed,length,both,sharp,one_adjective,0.1754603349021655,0.2700039702797266,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.09454363537756111,0.09454363537756111
context_fixed,length,second,sharp,three_adjectives,0.33029905548256694,0.2513551816371534,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.07894387384541351,0.07894387384541351
context_fixed,length,both,blurred,three_adjectives,0.3683240534320234,0.29307869012671306,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.07524536330531034,0.07524536330531034
context_fixed,length,both,blurred,two_adjectives,0.4434039747268763,0.3848543350435081,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.05854963968336824,0.05854963968336824
context_fixed,length,both,sharp,two_adjectives,0.4444165115245908,0.3938625064880918,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.050554005036498983,0.050554005036498983
context_fixed,length,both,sharp,three_adjectives,0.3801231535732437,0.3361335232321815,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.043989630341062236,0.043989630341062236
context_fixed,length,first,blurred,one_adjective,0.1576070969938704,0.19192457228971666,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.03431747529584625,0.03431747529584625
context_fixed,length,first,sharp,two_adjectives,0.47560630400872417,0.4424856451723954,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.033120658836328754,0.033120658836328754
context_fixed,length,first,sharp,three_adjectives,0.383527093790761,0.415543586030014,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.032016492239253014,0.032016492239253014
context_fixed,length,first,blurred,three_adjectives,0.3922872979348142,0.37235998878125615,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.01992730915355806,0.01992730915355806
context_fixed,length,first,blurred,two_adjectives,0.4501056050713155,0.43571543892902725,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.014390166142288219,0.014390166142288219
context_fixed,length,first,sharp,one_adjective,0.14086660220051472,0.14197076879759057,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.0011041665970758507,0.0011041665970758507
context_fixed,order,second,blurred,size_initial_multi,0.4174322562985122,0.18115983055980886,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.23627242573870336,0.23627242573870336
