model,architecture,architecture_short,semantics,semantics_short,summary_type,relevant_property,sharpness,scope,n_categories,mae,rmse,kl_empirical_to_model
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,length,both,blurred,condition,3,0.04172843076127139,0.0442631732764134,0.014179878431817824
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,length,both,sharp,condition,3,0.06415435857704195,0.0767757373050578,0.03956493769572256
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,length,first,blurred,condition,3,0.04763717913345447,0.053710537562624575,0.017961888793953773
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,length,first,sharp,condition,3,0.15318687663938685,0.16347443334715386,0.16659480073165267
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,length,second,blurred,condition,3,0.2950507416994871,0.3156365690524829,0.49985088472308226
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,length,second,sharp,condition,3,0.34739944525557737,0.3714979542470425,0.7176824161856373
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,order,both,blurred,condition,4,0.07850241186384498,0.08679891828760193,0.08868709831582186
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,order,both,sharp,condition,4,0.09851038229536331,0.10199765778337014,0.12069319319789838
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,order,first,blurred,condition,4,0.10555029337074665,0.12302583494708934,0.11170541527184702
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,order,first,sharp,condition,4,0.11489015747954014,0.1347869813615556,0.2125522141119192
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,order,second,blurred,condition,4,0.2518861461692382,0.2991502486795015,0.6579465373460134
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,order,second,sharp,condition,4,0.28517093649863057,0.3524602394798717,0.8854539085193589
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,overinformativeness,both,blurred,condition,3,0.04172843076127139,0.0442631732764134,0.01417987843181781
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,overinformativeness,both,sharp,condition,3,0.06415435857704195,0.0767757373050578,0.03956493769572256
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,overinformativeness,first,blurred,condition,2,0.058039038679232116,0.058039038679232116,0.014291817858448512
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,overinformativeness,first,sharp,condition,2,0.22978031495908025,0.22978031495908025,0.1627827331045181
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,overinformativeness,second,blurred,condition,2,0.4425761125492306,0.4425761125492306,0.44206105685415975
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,overinformativeness,second,sharp,condition,2,0.5210991678833661,0.5210991678833661,0.6182468114244543
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,selection,both,blurred,condition,4,0.13398069415437627,0.1602645936663803,0.22110203913633591
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,selection,both,sharp,condition,4,0.08517865645031315,0.10646860223220604,0.1709399884064669
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,selection,first,blurred,condition,4,0.1170966689461734,0.1357698497068299,0.19051383413322454
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,selection,first,sharp,condition,4,0.13761189004311225,0.15857239936846665,0.4549365169732952
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,selection,second,blurred,condition,4,0.2194671507502393,0.26543947688706304,0.5817942630610707
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,selection,second,sharp,condition,4,0.27109875419893437,0.328541104925526,0.8086365167708869
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,length,both,blurred,condition,3,0.041886850485350645,0.044429205802658564,0.014280277598350974
