source,model,architecture,semantics,relevant_property,sharpness,total_before_normalization
empirical,empirical,empirical,empirical,both,blurred,0.9999999999999996
empirical,empirical,empirical,empirical,both,sharp,0.9999999999999996
empirical,empirical,empirical,empirical,first,blurred,0.9999999999999992
empirical,empirical,empirical,empirical,first,sharp,0.9999999999999996
empirical,empirical,empirical,empirical,second,blurred,0.9999999999999996
empirical,empirical,empirical,empirical,second,sharp,0.9999999999999996
model,principled_salience_stop_regularized_2x2_glob_rec,global,context_updating,both,blurred,1.0043855857327133
model,principled_salience_stop_regularized_2x2_glob_rec,global,context_updating,both,sharp,1.0031478969321321
model,principled_salience_stop_regularized_2x2_glob_rec,global,context_updating,first,blurred,1.000715662371674
model,principled_salience_stop_regularized_2x2_glob_rec,global,context_updating,first,sharp,1.0008169551191262
model,principled_salience_stop_regularized_2x2_glob_rec,global,context_updating,second,blurred,1.00978068869102
model,principled_salience_stop_regularized_2x2_glob_rec,global,context_updating,second,sharp,1.0093186064994295
model,principled_salience_stop_regularized_2x2_glob_static,global,context_fixed,both,blurred,1.004169372472815
model,principled_salience_stop_regularized_2x2_glob_static,global,context_fixed,both,sharp,1.0044353824283843
model,principled_salience_stop_regularized_2x2_glob_static,global,context_fixed,first,blurred,1.0008895248220164
model,principled_salience_stop_regularized_2x2_glob_static,global,context_fixed,first,sharp,1.0004944591441605
model,principled_salience_stop_regularized_2x2_glob_static,global,context_fixed,second,blurred,1.0102749225168348
model,principled_salience_stop_regularized_2x2_glob_static,global,context_fixed,second,sharp,1.0096488436311295
model,principled_salience_stop_regularized_2x2_inc_rec,incremental,context_updating,both,blurred,1.0024137346047468
model,principled_salience_stop_regularized_2x2_inc_rec,incremental,context_updating,both,sharp,1.003011800817409
model,principled_salience_stop_regularized_2x2_inc_rec,incremental,context_updating,first,blurred,1.0017841306076134
model,principled_salience_stop_regularized_2x2_inc_rec,incremental,context_updating,first,sharp,1.0035614634845416
model,principled_salience_stop_regularized_2x2_inc_rec,incremental,context_updating,second,blurred,1.0041099692610003
model,principled_salience_stop_regularized_2x2_inc_rec,incremental,context_updating,second,sharp,1.004397495667075
model,principled_salience_stop_regularized_2x2_inc_static,incremental,context_fixed,both,blurred,1.0025349304963689
model,principled_salience_stop_regularized_2x2_inc_static,incremental,context_fixed,both,sharp,1.002886364664464
model,principled_salience_stop_regularized_2x2_inc_static,incremental,context_fixed,first,blurred,1.0016908996036087
model,principled_salience_stop_regularized_2x2_inc_static,incremental,context_fixed,first,sharp,1.0035172784408426
model,principled_salience_stop_regularized_2x2_inc_static,incremental,context_fixed,second,blurred,1.0040537653125199
model,principled_salience_stop_regularized_2x2_inc_static,incremental,context_fixed,second,sharp,1.0043045098629917
