summary_type,source,model,architecture,architecture_short,semantics,semantics_short,relevant_property,sharpness,category,proportion,n,multi_adjective_total,conditional_multi_proportion
order,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,colour_initial_multi,0.333922261484099,566,0.8745583038869257,0.3818181818181819
order,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,form_initial_multi,0.04770318021201402,566,0.8745583038869257,0.054545454545454425
order,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,single_adjective,0.12544169611307426,566,0.8745583038869257,
order,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,size_initial_multi,0.49293286219081267,566,0.8745583038869257,0.5636363636363636
order,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,colour_initial_multi,0.2465208747514909,503,0.9165009940357853,0.26898047722342716
order,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,form_initial_multi,0.023856858846918412,503,0.9165009940357853,0.0260303687635574
order,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,single_adjective,0.08349900596421474,503,0.9165009940357853,
order,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,size_initial_multi,0.646123260437376,503,0.9165009940357853,0.7049891540130154
order,empirical,empirical,empirical,empirical,empirical,empirical,first,blurred,colour_initial_multi,0.1281588447653429,554,0.9007220216606497,0.1422845691382765
order,empirical,empirical,empirical,empirical,empirical,empirical,first,blurred,form_initial_multi,0.032490974729241624,554,0.9007220216606497,0.03607214428857688
order,empirical,empirical,empirical,empirical,empirical,empirical,first,blurred,single_adjective,0.09927797833935018,554,0.9007220216606497,
order,empirical,empirical,empirical,empirical,empirical,empirical,first,blurred,size_initial_multi,0.7400722021660653,554,0.9007220216606497,0.8216432865731467
order,empirical,empirical,empirical,empirical,empirical,empirical,first,sharp,colour_initial_multi,0.11354581673306766,502,0.6294820717131473,0.18037974683544294
order,empirical,empirical,empirical,empirical,empirical,empirical,first,sharp,form_initial_multi,0.011952191235059707,502,0.6294820717131473,0.018987341772151816
order,empirical,empirical,empirical,empirical,empirical,empirical,first,sharp,single_adjective,0.37051792828685265,502,0.6294820717131473,
order,empirical,empirical,empirical,empirical,empirical,empirical,first,sharp,size_initial_multi,0.5039840637450199,502,0.6294820717131473,0.8006329113924052
order,empirical,empirical,empirical,empirical,empirical,empirical,second,blurred,colour_initial_multi,0.2680776014109347,567,0.3280423280423278,0.8172043010752692
order,empirical,empirical,empirical,empirical,empirical,empirical,second,blurred,form_initial_multi,0.019400352733686007,567,0.3280423280423278,0.059139784946236416
order,empirical,empirical,empirical,empirical,empirical,empirical,second,blurred,single_adjective,0.6719576719576723,567,0.3280423280423278,
order,empirical,empirical,empirical,empirical,empirical,empirical,second,blurred,size_initial_multi,0.04056437389770712,567,0.3280423280423278,0.12365591397849438
order,empirical,empirical,empirical,empirical,empirical,empirical,second,sharp,colour_initial_multi,0.2341269841269841,504,0.2638888888888886,0.8872180451127828
order,empirical,empirical,empirical,empirical,empirical,empirical,second,sharp,form_initial_multi,0.01984126984126981,504,0.2638888888888886,0.07518796992481198
order,empirical,empirical,empirical,empirical,empirical,empirical,second,sharp,single_adjective,0.7361111111111114,504,0.2638888888888886,
order,empirical,empirical,empirical,empirical,empirical,empirical,second,sharp,size_initial_multi,0.009920634920634705,504,0.2638888888888886,0.037593984962405236
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,both,blurred,colour_initial_multi,0.2055226908876453,566,0.8119656577450185,0.2531174673796186
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,both,blurred,form_initial_multi,0.14211535779779683,566,0.8119656577450185,0.1750263160051349
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,both,blurred,single_adjective,0.18803434225498142,566,0.8119656577450185,
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,both,blurred,size_initial_multi,0.46432760905957643,566,0.8119656577450185,0.5718562166152465
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,both,sharp,colour_initial_multi,0.18477421462776922,503,0.8248376752508662,0.2240128211548678
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,both,sharp,form_initial_multi,0.1292143046527259,503,0.8248376752508662,0.15665422243646504
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,both,sharp,single_adjective,0.17516232474913387,503,0.8248376752508662,
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,both,sharp,size_initial_multi,0.5108491559703711,503,0.8248376752508662,0.6193329564086671
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,first,blurred,colour_initial_multi,0.18352930480194815,554,0.8426829829814177,0.21779163518007721
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,first,blurred,form_initial_multi,0.1301820627548976,554,0.8426829829814177,0.154485216129929
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,first,blurred,single_adjective,0.1573170170185823,554,0.8426829829814177,
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,first,blurred,size_initial_multi,0.528971615424572,554,0.8426829829814177,0.6277231486899939
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,first,sharp,colour_initial_multi,0.1512389943301672,502,0.8592623866722275,0.1760102579561166
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,first,sharp,form_initial_multi,0.10889532320467633,502,0.8592623866722275,0.12673116488481337
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,first,sharp,single_adjective,0.14073761332777238,502,0.8592623866722275,
