summary_type,source,model,architecture,architecture_short,semantics,semantics_short,relevant_property,sharpness,category,proportion,n
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,minimal_length,0.47526501766784446,566
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,over_minimal_length,0.3992932862190811,566
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,under_minimal_length,0.12544169611307426,566
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,minimal_length,0.5407554671968191,503
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,over_minimal_length,0.3757455268389661,503
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,under_minimal_length,0.08349900596421474,503
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,first,blurred,minimal_length,0.09927797833935018,554
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,first,blurred,over_minimal_length,0.9007220216606499,554
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,first,sharp,minimal_length,0.37051792828685265,502
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,first,sharp,over_minimal_length,0.6294820717131473,502
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,second,blurred,minimal_length,0.6719576719576723,567
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,second,blurred,over_minimal_length,0.3280423280423278,567
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,second,sharp,minimal_length,0.7361111111111114,504
overinformativeness,empirical,empirical,empirical,empirical,empirical,empirical,second,sharp,over_minimal_length,0.2638888888888886,504
overinformativeness,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,both,blurred,minimal_length,0.4432880702789323,566
overinformativeness,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,both,blurred,over_minimal_length,0.36867758746608625,566
overinformativeness,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,both,blurred,under_minimal_length,0.18803434225498142,566
overinformativeness,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,both,sharp,minimal_length,0.44452392933125623,503
overinformativeness,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,both,sharp,over_minimal_length,0.38031374591961,503
overinformativeness,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,both,sharp,under_minimal_length,0.17516232474913387,503
overinformativeness,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,first,blurred,minimal_length,0.1573170170185823,554
