summary_type,source,model,architecture,architecture_short,semantics,semantics_short,relevant_property,sharpness,category,proportion,n
selection,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,colour_only,0.008833922261484103,566
selection,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,redundant_form,0.9134275618374558,566
selection,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,size_colour,0.07773851590106004,566
selection,empirical,empirical,empirical,empirical,empirical,empirical,both,blurred,size_only,0.0,566
selection,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,colour_only,0.0,503
selection,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,redundant_form,0.7912524850894632,503
selection,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,size_colour,0.20874751491053678,503
selection,empirical,empirical,empirical,empirical,empirical,empirical,both,sharp,size_only,0.0,503
selection,empirical,empirical,empirical,empirical,empirical,empirical,first,blurred,colour_only,0.005415162454873604,554
selection,empirical,empirical,empirical,empirical,empirical,empirical,first,blurred,redundant_form,0.8935018050541518,554
selection,empirical,empirical,empirical,empirical,empirical,empirical,first,blurred,size_colour,0.04512635379061363,554
selection,empirical,empirical,empirical,empirical,empirical,empirical,first,blurred,size_only,0.05595667870036104,554
selection,empirical,empirical,empirical,empirical,empirical,empirical,first,sharp,colour_only,0.0,502
selection,empirical,empirical,empirical,empirical,empirical,empirical,first,sharp,redundant_form,0.6852589641434262,502
selection,empirical,empirical,empirical,empirical,empirical,empirical,first,sharp,size_colour,0.04581673306772902,502
selection,empirical,empirical,empirical,empirical,empirical,empirical,first,sharp,size_only,0.2689243027888447,502
selection,empirical,empirical,empirical,empirical,empirical,empirical,second,blurred,colour_only,0.6278659611992948,567
selection,empirical,empirical,empirical,empirical,empirical,empirical,second,blurred,redundant_form,0.3721340388007052,567
selection,empirical,empirical,empirical,empirical,empirical,empirical,second,blurred,size_colour,0.0,567
selection,empirical,empirical,empirical,empirical,empirical,empirical,second,blurred,size_only,0.0,567
selection,empirical,empirical,empirical,empirical,empirical,empirical,second,sharp,colour_only,0.7162698412698416,504
