relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.03928975265017668,0.024734982332155476,0.054770318021201414,both | blurred
both,blurred,1,DC,0.06890459363957598,0.04946996466431095,0.09010600706713781,566,0.19056537102473498,0.15547703180212014,0.2226148409893993,both | blurred
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.15962190812720847,0.12897526501766785,0.19081272084805653,both | blurred
both,blurred,3,DF,0.08480565371024736,0.061837455830388695,0.10777385159010601,566,0.03569611307420494,0.019434628975265017,0.053003533568904596,both | blurred
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566,0.021180212014134277,0.0088339222614841,0.0353356890459364,both | blurred
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.24442402826855125,0.2057862190812721,0.28091872791519434,both | blurred
both,blurred,6,CD,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.01593286219081272,0.007067137809187279,0.026501766784452298,both | blurred
both,blurred,7,CDF,0.05123674911660778,0.03356890459363958,0.0706713780918728,566,0.07339929328621908,0.053003533568904596,0.09717314487632508,both | blurred
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.11868904593639576,0.09271201413427563,0.14840989399293286,both | blurred
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566,0.031187279151943463,0.019434628975265017,0.04509717314487629,both | blurred
both,blurred,10,F,0.1166077738515901,0.09010600706713781,0.14487632508833923,566,0.0391696113074205,0.024734982332155476,0.054770318021201414,both | blurred
both,blurred,11,FD,0.0017667844522968198,0.0,0.00530035335689046,566,0.0022150730446706397,0.0017667844522968198,0.00530035335689046,both | blurred
both,blurred,12,FDC,0.00530035335689046,0.0,0.012367491166077738,566,0.003888616497878168,0.0017667844522968198,0.0088339222614841,both | blurred
both,blurred,13,FC,0.04063604240282685,0.024734982332155476,0.05653710247349823,566,0.022731448763250884,0.01060070671378092,0.0353356890459364,both | blurred
both,blurred,14,FCD,0.0,0.0,0.0,566,0.0045443151587680215,0.0017667844522968198,0.01060070671378092,both | blurred
both,sharp,0,D,0.0,0.0,0.0,503,0.04932405566600398,0.03180914512922465,0.06759443339960239,both | sharp
both,sharp,1,DC,0.19681908548707752,0.1610337972166998,0.23260437375745527,503,0.2410099403578529,0.2047713717693837,0.2803180914512923,both | sharp
both,sharp,2,DCF,0.3121272365805169,0.27236580516898606,0.3518886679920477,503,0.21173359840954273,0.17296222664015903,0.2504970178926441,both | sharp
both,sharp,3,DF,0.1073558648111332,0.08151093439363817,0.13518886679920478,503,0.04573359840954274,0.027833001988071572,0.06560636182902585,both | sharp
both,sharp,4,DFC,0.02982107355864811,0.015904572564612324,0.04572564612326044,503,0.026254473161033798,0.013916500994035786,0.041749502982107355,both | sharp
both,sharp,5,C,0.0,0.0,0.0,503,0.18930019880715704,0.15308151093439365,0.22465208747514911,both | sharp
both,sharp,6,CD,0.011928429423459244,0.003976143141153081,0.02186878727634195,503,0.014493041749502982,0.005964214711729622,0.02584493041749503,both | sharp
both,sharp,7,CDF,0.027833001988071572,0.013916500994035786,0.0437375745526839,503,0.07081908548707753,0.05168986083499006,0.09343936381709742,both | sharp
both,sharp,8,CF,0.20278330019880716,0.16898608349900596,0.24055666003976142,503,0.07389264413518885,0.05168986083499006,0.09741550695825049,both | sharp
both,sharp,9,CFD,0.003976143141153081,0.0,0.009940357852882704,503,0.019578528827037773,0.007952286282306162,0.03180914512922465,both | sharp
both,sharp,10,F,0.08349900596421471,0.061630218687872766,0.1073558648111332,503,0.032159045725646124,0.017892644135188866,0.04771371769383698,both | sharp
both,sharp,11,FD,0.0,0.0,0.0,503,0.0027170311464546053,0.0019880715705765406,0.005964214711729622,both | sharp
both,sharp,12,FDC,0.0,0.0,0.0,503,0.0046929308502725135,0.0019880715705765406,0.009940357852882704,both | sharp
both,sharp,13,FC,0.02186878727634195,0.009940357852882704,0.03578528827037773,503,0.017153081510934393,0.005964214711729622,0.02982107355864811,both | sharp
both,sharp,14,FCD,0.0019880715705765406,0.0,0.005964214711729622,503,0.004025110421216543,0.0019880715705765406,0.009940357852882704,both | sharp
first,blurred,0,D,0.05595667870036101,0.039711191335740074,0.07581227436823104,554,0.060678700361010834,0.04151624548736462,0.08217509025270754,first | blurred
first,blurred,1,DC,0.04332129963898917,0.02707581227436823,0.05956678700361011,554,0.24168953068592058,0.2075812274368231,0.2779783393501805,first | blurred
first,blurred,2,DCF,0.2996389891696751,0.26173285198555957,0.33578519855595645,554,0.23812274368231048,0.2003610108303249,0.27256317689530685,first | blurred
first,blurred,3,DF,0.36462093862815886,0.3266696750902527,0.4043321299638989,554,0.12451624548736462,0.09652527075812274,0.15342960288808663,first | blurred
first,blurred,4,DFC,0.032490974729241874,0.018050541516245487,0.04693140794223827,554,0.07207942238267148,0.049593862815884474,0.09566787003610108,first | blurred
first,blurred,5,C,0.005415162454873646,0.0,0.01263537906137184,554,0.09311191335740072,0.06764440433212997,0.11371841155234658,first | blurred
first,blurred,6,CD,0.0018050541516245488,0.0,0.005415162454873646,554,0.008023685832526196,0.0018050541516245488,0.016245487364620937,first | blurred
first,blurred,7,CDF,0.039711191335740074,0.02527075812274368,0.05600180505415137,554,0.037935018050541516,0.021660649819494584,0.05509927797833931,first | blurred
first,blurred,8,CF,0.08664259927797834,0.06498194945848375,0.11191335740072202,554,0.04335740072202166,0.02707581227436823,0.061371841155234655,first | blurred
first,blurred,9,CFD,0.0,0.0,0.0,554,0.01158634959449585,0.0036101083032490976,0.021660649819494584,first | blurred
