model,relevant_property,sharpness,mae,rmse,max_abs_residual,worst_utterance_code,worst_utterance_label,worst_human_mean,worst_model_mean,worst_signed_residual,coverage_rate
principled_salience_stop_regularized_2x2_glob_rec,both,blurred,0.05913713092163911,0.07649116639391439,0.15372438162544166,8,CF,0.2703180212014134,0.11659363957597174,-0.15372438162544166,0.4
principled_salience_stop_regularized_2x2_glob_rec,both,sharp,0.0494408737119765,0.06476161034316359,0.14085884691848904,2,DCF,0.3121272365805169,0.17126838966202784,-0.14085884691848904,0.2
principled_salience_stop_regularized_2x2_glob_rec,first,blurred,0.057462391931878194,0.09032822826171895,0.2673212996389892,3,DF,0.36462093862815886,0.09729963898916968,-0.2673212996389892,0.4
principled_salience_stop_regularized_2x2_glob_rec,first,sharp,0.06649164826956197,0.08880652570271402,0.22374900398406372,0,D,0.2689243027888446,0.045175298804780877,-0.22374900398406372,0.06666666666666667
principled_salience_stop_regularized_2x2_glob_rec,second,blurred,0.07990142862878408,0.1335088257999845,0.4370864197530864,5,C,0.6278659611992945,0.1907795414462081,-0.4370864197530864,0.06666666666666667
principled_salience_stop_regularized_2x2_glob_rec,second,sharp,0.09011912403117892,0.16119553094789565,0.5405753968253968,5,C,0.7162698412698413,0.17569444444444446,-0.5405753968253968,0.06666666666666667
principled_salience_stop_regularized_2x2_glob_static,both,blurred,0.059158523535879096,0.07650243858336016,0.1534381625441696,8,CF,0.2703180212014134,0.11687985865724382,-0.1534381625441696,0.4
principled_salience_stop_regularized_2x2_glob_static,both,sharp,0.049507620591315776,0.0647952737192115,0.1405407554671968,2,DCF,0.3121272365805169,0.1715864811133201,-0.1405407554671968,0.2
principled_salience_stop_regularized_2x2_glob_static,first,blurred,0.05753126314697925,0.09043540729099954,0.2678122743682311,3,DF,0.36462093862815886,0.09680866425992779,-0.2678122743682311,0.4
principled_salience_stop_regularized_2x2_glob_static,first,sharp,0.06646961732939824,0.08878958860035666,0.223800796812749,0,D,0.2689243027888446,0.045123505976095615,-0.223800796812749,0.06666666666666667
principled_salience_stop_regularized_2x2_glob_static,second,blurred,0.07985489489324465,0.13342466007286377,0.4368959435626102,5,C,0.6278659611992945,0.1909700176366843,-0.4368959435626102,0.06666666666666667
principled_salience_stop_regularized_2x2_glob_static,second,sharp,0.09010092819974728,0.16115241049693604,0.540531746031746,5,C,0.7162698412698413,0.17573809523809525,-0.540531746031746,0.06666666666666667
principled_salience_stop_regularized_2x2_inc_rec,both,blurred,0.06087272929420083,0.09199543880105963,0.2353180212014134,5,C,0.0088339222614841,0.2441519434628975,0.2353180212014134,0.3333333333333333
principled_salience_stop_regularized_2x2_inc_rec,both,sharp,0.0469554586893515,0.07114459978956203,0.19031013916500994,5,C,0.0,0.19031013916500994,0.19031013916500994,0.26666666666666666
principled_salience_stop_regularized_2x2_inc_rec,first,blurred,0.04729370279122243,0.08677009106940307,0.24175812274368233,3,DF,0.36462093862815886,0.12286281588447653,-0.24175812274368233,0.5333333333333333
principled_salience_stop_regularized_2x2_inc_rec,first,sharp,0.060621209605282465,0.09189493003575024,0.22701195219123504,1,DC,0.045816733067729085,0.27282868525896414,0.22701195219123504,0.26666666666666666
principled_salience_stop_regularized_2x2_inc_rec,second,blurred,0.043143200601096485,0.07325302072334218,0.23650793650793644,5,C,0.6278659611992945,0.39135802469135805,-0.23650793650793644,0.06666666666666667
principled_salience_stop_regularized_2x2_inc_rec,second,sharp,0.057997399182037855,0.10684090194842981,0.3576031746031746,5,C,0.7162698412698413,0.3586666666666667,-0.3576031746031746,0.2
principled_salience_stop_regularized_2x2_inc_static,both,blurred,0.0609574625188866,0.09213954028909808,0.23559010600706715,5,C,0.0088339222614841,0.24442402826855125,0.23559010600706715,0.26666666666666666
principled_salience_stop_regularized_2x2_inc_static,both,sharp,0.04692960124933409,0.07095132950799343,0.18930019880715704,5,C,0.0,0.18930019880715704,0.18930019880715704,0.26666666666666666
principled_salience_stop_regularized_2x2_inc_static,first,blurred,0.04719109215062624,0.08647989289494946,0.24010469314079425,3,DF,0.36462093862815886,0.12451624548736462,-0.24010469314079425,0.4666666666666667
principled_salience_stop_regularized_2x2_inc_static,first,sharp,0.06047226770716023,0.0916461579638578,0.2261553784860557,1,DC,0.045816733067729085,0.2719721115537848,0.2261553784860557,0.26666666666666666
principled_salience_stop_regularized_2x2_inc_static,second,blurred,0.04299555516626057,0.0729455975943497,0.23550970017636685,5,C,0.6278659611992945,0.39235626102292764,-0.23550970017636685,0.06666666666666667
principled_salience_stop_regularized_2x2_inc_static,second,sharp,0.0578901419273741,0.1066328528036014,0.3568690476190476,5,C,0.7162698412698413,0.3594007936507937,-0.3568690476190476,0.2
