relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,model,condition,signed_residual,abs_residual,human_mean_covered_by_model_ci,model_mean_covered_by_human_ci,residual_rank
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.11659363957597174,0.037102473498233215,0.16784452296819788,principled_salience_stop_regularized_2x2_glob_rec,both | blurred,-0.15372438162544166,0.15372438162544166,False,False,1
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.16618727915194348,0.11391342756183746,0.2704063604240282,principled_salience_stop_regularized_2x2_glob_rec,both | blurred,-0.14299999999999996,0.14299999999999996,False,False,2
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.13803180212014135,0.038869257950530034,0.19964664310954064,principled_salience_stop_regularized_2x2_glob_rec,both | blurred,0.12919787985865724,0.12919787985865724,False,False,3
both,blurred,1,DC,0.06890459363957598,0.04946996466431095,0.09010600706713781,566,0.17046289752650176,0.0644434628975265,0.22968197879858657,principled_salience_stop_regularized_2x2_glob_rec,both | blurred,0.10155830388692579,0.10155830388692579,True,False,4
both,blurred,10,F,0.1166077738515901,0.09010600706713781,0.14487632508833923,566,0.029462897526501768,0.012367491166077738,0.06007067137809187,principled_salience_stop_regularized_2x2_glob_rec,both | blurred,-0.08714487632508833,0.08714487632508833,False,False,5
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566,0.08782332155477032,0.039708480565371025,0.12460247349823318,principled_salience_stop_regularized_2x2_glob_rec,both | blurred,0.05778798586572439,0.05778798586572439,False,False,6
both,blurred,3,DF,0.08480565371024736,0.061837455830388695,0.10777385159010601,566,0.0418904593639576,0.0176678445229682,0.09540636042402827,principled_salience_stop_regularized_2x2_glob_rec,both | blurred,-0.04291519434628976,0.04291519434628976,True,False,7
both,blurred,13,FC,0.04063604240282685,0.024734982332155476,0.05653710247349823,566,0.07150883392226148,0.03794169611307421,0.10163427561837451,principled_salience_stop_regularized_2x2_glob_rec,both | blurred,0.03087279151943463,0.03087279151943463,True,False,8
both,blurred,12,FDC,0.00530035335689046,0.0,0.012367491166077738,566,0.0326643109540636,0.014134275618374558,0.06276501766784448,principled_salience_stop_regularized_2x2_glob_rec,both | blurred,0.027363957597173142,0.027363957597173142,False,False,9
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566,0.026915194346289754,0.01060070671378092,0.061837455830388695,principled_salience_stop_regularized_2x2_glob_rec,both | blurred,0.023381625441696113,0.023381625441696113,False,False,10
