model,relevant_property,sharpness,mae,rmse,max_abs_residual,worst_utterance_code,worst_utterance_label,worst_human_mean,worst_model_mean,worst_signed_residual,coverage_rate
principled,both,blurred,0.0542172935048232,0.07560601079255137,0.18076325088339223,5,C,0.0088339222614841,0.18959717314487634,0.18076325088339223,0.2
principled,both,sharp,0.04088047305577127,0.06037640845480479,0.15425049701789265,5,C,0.0,0.15425049701789265,0.15425049701789265,0.3333333333333333
principled,first,blurred,0.04308539761518139,0.08207044786926855,0.24979061371841157,3,DF,0.36462093862815886,0.11483032490974729,-0.24979061371841157,0.4666666666666667
principled,first,sharp,0.060493165598663405,0.08928904099177362,0.20425498007968124,1,DC,0.045816733067729085,0.25007171314741033,0.20425498007968124,0.26666666666666666
principled,second,blurred,0.05118387629447436,0.09735753166298476,0.3364197530864197,5,C,0.6278659611992945,0.2914462081128748,-0.3364197530864197,0.13333333333333333
principled,second,sharp,0.06481344788964426,0.12764362278149988,0.4430674603174603,5,C,0.7162698412698413,0.273202380952381,-0.4430674603174603,0.26666666666666666
principled_no_uncertainty_len,both,blurred,0.05492192426433815,0.07726885300519336,0.18873144876325088,5,C,0.0088339222614841,0.19756537102473498,0.18873144876325088,0.2
principled_no_uncertainty_len,both,sharp,0.04088882269584637,0.06044767116733416,0.1541192842942346,5,C,0.0,0.1541192842942346,0.1541192842942346,0.3333333333333333
principled_no_uncertainty_len,first,blurred,0.04358502272676552,0.08230931364000053,0.2475740072202166,3,DF,0.36462093862815886,0.11704693140794224,-0.2475740072202166,0.5333333333333333
principled_no_uncertainty_len,first,sharp,0.060576034989920126,0.08945941667589673,0.2044900398406374,1,DC,0.045816733067729085,0.2503067729083665,0.2044900398406374,0.26666666666666666
principled_no_uncertainty_len,second,blurred,0.050658823404652394,0.09602552089441366,0.3315167548500882,5,C,0.6278659611992945,0.2963492063492063,-0.3315167548500882,0.13333333333333333
principled_no_uncertainty_len,second,sharp,0.06493754027949868,0.12785228643234323,0.4435873015873016,5,C,0.7162698412698413,0.2726825396825397,-0.4435873015873016,0.26666666666666666
