relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.03956890459363957,0.022968197879858657,0.054770318021201414,both | blurred
both,blurred,1,DC,0.06890459363957598,0.04946996466431095,0.09010600706713781,566,0.19115547703180213,0.15901060070671377,0.22438162544169613,both | blurred
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.1600530035335689,0.1254416961130742,0.19434628975265017,both | blurred
both,blurred,3,DF,0.08480565371024736,0.061837455830388695,0.10777385159010601,566,0.03580565371024735,0.02120141342756184,0.05123674911660778,both | blurred
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566,0.02153356890459364,0.01060070671378092,0.0353356890459364,both | blurred
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.24508480565371024,0.21024734982332155,0.2889134275618374,both | blurred
both,blurred,6,CD,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.016151943462897528,0.007067137809187279,0.026501766784452298,both | blurred
both,blurred,7,CDF,0.05123674911660778,0.03356890459363958,0.0706713780918728,566,0.07442756183745583,0.054770318021201414,0.09540636042402827,both | blurred
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.11436395759717315,0.08564487632508835,0.14050353356890455,both | blurred
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566,0.030780918727915194,0.0176678445229682,0.045936395759717315,both | blurred
both,blurred,10,F,0.1166077738515901,0.09010600706713781,0.14487632508833923,566,0.0393356890459364,0.024734982332155476,0.05653710247349823,both | blurred
both,blurred,11,FD,0.0017667844522968198,0.0,0.00530035335689046,566,0.0024116607773851588,0.0017667844522968198,0.00530035335689046,both | blurred
both,blurred,12,FDC,0.00530035335689046,0.0,0.012367491166077738,566,0.0038630391987282448,0.0017667844522968198,0.0088339222614841,both | blurred
both,blurred,13,FC,0.04063604240282685,0.024734982332155476,0.05653710247349823,566,0.023420494699646643,0.012367491166077738,0.037102473498233215,both | blurred
both,blurred,14,FCD,0.0,0.0,0.0,566,0.004507666582534074,0.0017667844522968198,0.01060070671378092,both | blurred
both,sharp,0,D,0.0,0.0,0.0,503,0.050218687872763415,0.03275347912524851,0.07157057654075547,both | sharp
both,sharp,1,DC,0.19681908548707752,0.1610337972166998,0.23260437375745527,503,0.24312127236580516,0.20278330019880716,0.28533797216699797,both | sharp
both,sharp,2,DCF,0.3121272365805169,0.27236580516898606,0.3518886679920477,503,0.21045725646123262,0.17191848906560636,0.2504970178926441,both | sharp
both,sharp,3,DF,0.1073558648111332,0.08151093439363817,0.13518886679920478,503,0.04537574552683897,0.027833001988071572,0.0636182902584493,both | sharp
both,sharp,4,DFC,0.02982107355864811,0.015904572564612324,0.04572564612326044,503,0.0268389662027833,0.013916500994035786,0.041749502982107355,both | sharp
both,sharp,5,C,0.0,0.0,0.0,503,0.19023061630218688,0.15705765407554673,0.22465208747514911,both | sharp
both,sharp,6,CD,0.011928429423459244,0.003976143141153081,0.02186878727634195,503,0.014815109343936381,0.003976143141153081,0.027833001988071572,both | sharp
both,sharp,7,CDF,0.027833001988071572,0.013916500994035786,0.0437375745526839,503,0.0692882703777336,0.0466699801192843,0.09343936381709742,both | sharp
both,sharp,8,CF,0.20278330019880716,0.16898608349900596,0.24055666003976142,503,0.07346719681908549,0.05168986083499006,0.09542743538767395,both | sharp
