model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
principled_salience_stop,alpha,1.474,0.149,1.208,1.751,0.01,0.005,234.0,402.0,1.01
principled_salience_stop,log_beta_order,0.59,0.029,0.54,0.642,0.001,0.001,621.0,561.0,1.0
principled_salience_stop,lambda_salience,1.574,0.042,1.503,1.655,0.002,0.001,524.0,363.0,1.01
principled_salience_stop,rho_salience_stop,0.497,0.05,0.409,0.59,0.002,0.002,622.0,504.0,1.0
principled_salience_stop,epsilon,0.004,0.003,0.0,0.01,0.0,0.0,461.0,295.0,1.01
principled_salience_stop,tau,0.974,0.099,0.793,1.165,0.007,0.004,197.0,282.0,1.02
principled_salience_stop_regularized,alpha,1.433,0.14,1.17,1.697,0.008,0.005,349.0,360.0,1.0
principled_salience_stop_regularized,log_beta_order,0.592,0.03,0.529,0.641,0.001,0.001,641.0,634.0,1.01
principled_salience_stop_regularized,lambda_salience,1.573,0.042,1.493,1.654,0.002,0.001,814.0,558.0,1.0
principled_salience_stop_regularized,rho_salience_stop,0.495,0.049,0.405,0.586,0.002,0.002,878.0,525.0,1.0
principled_salience_stop_regularized,epsilon,0.003,0.003,0.0,0.009,0.0,0.0,442.0,311.0,1.0
principled_salience_stop_regularized,tau,0.832,0.079,0.687,0.977,0.005,0.003,239.0,323.0,1.01
principled_salience_stop_strong_regularized,alpha,1.335,0.123,1.114,1.567,0.006,0.003,450.0,599.0,1.01
principled_salience_stop_strong_regularized,log_beta_order,0.598,0.029,0.548,0.656,0.001,0.001,800.0,599.0,1.01
principled_salience_stop_strong_regularized,lambda_salience,1.572,0.042,1.501,1.655,0.002,0.001,764.0,680.0,1.0
principled_salience_stop_strong_regularized,rho_salience_stop,0.491,0.048,0.398,0.577,0.001,0.002,1271.0,580.0,1.01
principled_salience_stop_strong_regularized,epsilon,0.003,0.003,0.0,0.009,0.0,0.0,792.0,477.0,1.0
principled_salience_stop_strong_regularized,tau,0.633,0.065,0.512,0.751,0.005,0.002,205.0,443.0,1.02
