model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
principled_no_uncertainty_len,alpha,1.527,0.145,1.26,1.809,0.003,0.002,1953.0,2447.0,1.0
principled_no_uncertainty_len,log_beta_order,0.531,0.028,0.48,0.587,0.001,0.0,3195.0,2872.0,1.0
principled_no_uncertainty_len,lambda_salience,1.453,0.038,1.379,1.52,0.001,0.001,3606.0,3153.0,1.0
principled_no_uncertainty_len,epsilon,0.003,0.003,0.0,0.009,0.0,0.0,3406.0,1791.0,1.0
principled_no_uncertainty_len,tau,0.989,0.099,0.807,1.176,0.003,0.002,1142.0,1821.0,1.0
principled_salience_stop,alpha,1.475,0.15,1.21,1.77,0.005,0.003,1003.0,1922.0,1.0
principled_salience_stop,log_beta_order,0.591,0.029,0.537,0.645,0.001,0.0,2599.0,2593.0,1.0
principled_salience_stop,lambda_salience,1.575,0.041,1.498,1.65,0.001,0.001,2736.0,2620.0,1.0
principled_salience_stop,rho_salience_stop,0.496,0.046,0.414,0.584,0.001,0.001,3888.0,2677.0,1.0
principled_salience_stop,epsilon,0.004,0.003,0.0,0.01,0.0,0.0,2325.0,1324.0,1.0
principled_salience_stop,tau,0.988,0.102,0.793,1.173,0.004,0.002,800.0,1441.0,1.01
principled_salience_stop_regularized,alpha,1.43,0.135,1.175,1.683,0.003,0.002,1737.0,2479.0,1.0
principled_salience_stop_regularized,log_beta_order,0.592,0.028,0.537,0.642,0.0,0.0,3285.0,2920.0,1.0
principled_salience_stop_regularized,lambda_salience,1.572,0.04,1.494,1.644,0.001,0.001,3781.0,3100.0,1.0
principled_salience_stop_regularized,rho_salience_stop,0.494,0.047,0.408,0.583,0.001,0.001,4703.0,2983.0,1.0
principled_salience_stop_regularized,epsilon,0.003,0.003,0.0,0.009,0.0,0.0,3436.0,1736.0,1.0
principled_salience_stop_regularized,tau,0.841,0.082,0.683,0.992,0.002,0.001,1092.0,1904.0,1.0
