relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.03968197879858657,0.022968197879858657,0.05653710247349823,both | blurred
both,blurred,1,DC,0.06890459363957598,0.04946996466431095,0.09010600706713781,566,0.19096466431095407,0.1607773851590106,0.23060954063604236,both | blurred
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.16196113074204949,0.13074204946996468,0.18904593639575973,both | blurred
both,blurred,3,DF,0.08480565371024736,0.061837455830388695,0.10777385159010601,566,0.035544169611307415,0.02120141342756184,0.05216431095406357,both | blurred
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566,0.02151590106007067,0.01060070671378092,0.03356890459363958,both | blurred
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.24520494699646642,0.20931978798586573,0.2791519434628975,both | blurred
both,blurred,6,CD,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.016325088339222613,0.00530035335689046,0.028268551236749116,both | blurred
both,blurred,7,CDF,0.05123674911660778,0.03356890459363958,0.0706713780918728,566,0.07390812720848057,0.053003533568904596,0.09633392226148406,both | blurred
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.11432508833922261,0.08833922261484099,0.14227031802120138,both | blurred
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566,0.029770318021201413,0.01674028268551237,0.044169611307420496,both | blurred
both,blurred,10,F,0.1166077738515901,0.09010600706713781,0.14487632508833923,566,0.03991166077738516,0.026501766784452298,0.05653710247349823,both | blurred
both,blurred,11,FD,0.0017667844522968198,0.0,0.00530035335689046,566,0.0022552962824249727,0.0017667844522968198,0.00530035335689046,both | blurred
both,blurred,12,FDC,0.00530035335689046,0.0,0.012367491166077738,566,0.0039516942274109845,0.0017667844522968198,0.01060070671378092,both | blurred
both,blurred,13,FC,0.04063604240282685,0.024734982332155476,0.05653710247349823,566,0.02242756183745583,0.01060070671378092,0.037102473498233215,both | blurred
both,blurred,14,FCD,0.0,0.0,0.0,566,0.004608829125561613,0.0017667844522968198,0.01060070671378092,both | blurred
both,sharp,0,D,0.0,0.0,0.0,503,0.05113320079522863,0.033797216699801194,0.07157057654075547,both | sharp
both,sharp,1,DC,0.19681908548707752,0.1610337972166998,0.23260437375745527,503,0.24240159045725648,0.20372763419483103,0.2843936381709741,both | sharp
both,sharp,2,DCF,0.3121272365805169,0.27236580516898606,0.3518886679920477,503,0.21308946322067596,0.17693836978131214,0.2504970178926441,both | sharp
both,sharp,3,DF,0.1073558648111332,0.08151093439363817,0.13518886679920478,503,0.04486282306163022,0.027833001988071572,0.0636182902584493,both | sharp
both,sharp,4,DFC,0.02982107355864811,0.015904572564612324,0.04572564612326044,503,0.02720874751491054,0.013916500994035786,0.041749502982107355,both | sharp
both,sharp,5,C,0.0,0.0,0.0,503,0.18633797216699802,0.15109343936381708,0.22171968190854865,both | sharp
both,sharp,6,CD,0.011928429423459244,0.003976143141153081,0.02186878727634195,503,0.015322892305485723,0.005964214711729622,0.02693836978131215,both | sharp
both,sharp,7,CDF,0.027833001988071572,0.013916500994035786,0.0437375745526839,503,0.06924453280318092,0.04771371769383698,0.09145129224652088,both | sharp
both,sharp,8,CF,0.20278330019880716,0.16898608349900596,0.24055666003976142,503,0.07387673956262425,0.04970178926441352,0.09741550695825049,both | sharp
both,sharp,9,CFD,0.003976143141153081,0.0,0.009940357852882704,503,0.019316103379721672,0.009940357852882704,0.03180914512922465,both | sharp
both,sharp,10,F,0.08349900596421471,0.061630218687872766,0.1073558648111332,503,0.03153479125248509,0.016848906560636184,0.04771371769383698,both | sharp
both,sharp,11,FD,0.0,0.0,0.0,503,0.002566235241611555,0.0019880715705765406,0.005964214711729622,both | sharp
both,sharp,12,FDC,0.0,0.0,0.0,503,0.004731337376200463,0.0019880715705765406,0.01013916500994029,both | sharp
both,sharp,13,FC,0.02186878727634195,0.009940357852882704,0.03578528827037773,503,0.017280318091451294,0.007952286282306162,0.02982107355864811,both | sharp
both,sharp,14,FCD,0.0019880715705765406,0.0,0.005964214711729622,503,0.0040199976610922694,0.0019880715705765406,0.009940357852882704,both | sharp
first,blurred,0,D,0.05595667870036101,0.039711191335740074,0.07581227436823104,554,0.061180505415162456,0.04151624548736462,0.08217509025270754,first | blurred
first,blurred,1,DC,0.04332129963898917,0.02707581227436823,0.05956678700361011,554,0.24261371841155235,0.2048285198555957,0.2779783393501805,first | blurred
first,blurred,2,DCF,0.2996389891696751,0.26173285198555957,0.33578519855595645,554,0.2404620938628159,0.20397111913357402,0.2743682310469314,first | blurred
first,blurred,3,DF,0.36462093862815886,0.3266696750902527,0.4043321299638989,554,0.12282671480144404,0.09566787003610108,0.148014440433213,first | blurred
first,blurred,4,DFC,0.032490974729241874,0.018050541516245487,0.04693140794223827,554,0.07351624548736461,0.05054151624548736,0.09481046931407938,first | blurred
first,blurred,5,C,0.005415162454873646,0.0,0.01263537906137184,554,0.09267148014440432,0.06859205776173286,0.11913357400722022,first | blurred
first,blurred,6,CD,0.0018050541516245488,0.0,0.005415162454873646,554,0.008235559566787004,0.0018050541516245488,0.016245487364620937,first | blurred
first,blurred,7,CDF,0.039711191335740074,0.02527075812274368,0.05600180505415137,554,0.03624187725631769,0.021660649819494584,0.052346570397111915,first | blurred
first,blurred,8,CF,0.08664259927797834,0.06498194945848375,0.11191335740072202,554,0.04339350180505415,0.02527075812274368,0.061371841155234655,first | blurred
first,blurred,9,CFD,0.0,0.0,0.0,554,0.011429602888086641,0.0036101083032490976,0.019855595667870037,first | blurred
first,blurred,10,F,0.03790613718411552,0.023465703971119134,0.05415162454873646,554,0.03730685920577617,0.023465703971119134,0.052346570397111915,first | blurred
first,blurred,11,FD,0.009025270758122744,0.0018050541516245488,0.018050541516245487,554,0.0030737493553378028,0.0018050541516245488,0.007220216606498195,first | blurred
first,blurred,12,FDC,0.0036101083032490976,0.0,0.009025270758122744,554,0.009151877762745708,0.0036101083032490976,0.018050541516245487,first | blurred
first,blurred,13,FC,0.016245487364620937,0.007220216606498195,0.02707581227436823,554,0.01568231046931408,0.005415162454873646,0.02802346570397108,first | blurred
first,blurred,14,FCD,0.0036101083032490976,0.0,0.009025270758122744,554,0.003879779043973729,0.0018050541516245488,0.009025270758122744,first | blurred
first,sharp,0,D,0.2689243027888446,0.2290836653386454,0.30876494023904383,502,0.06926693227091633,0.045816733067729085,0.09267928286852585,first | sharp
first,sharp,1,DC,0.045816733067729085,0.027888446215139442,0.06573705179282868,502,0.27332669322709163,0.23306772908366533,0.3147410358565737,first | sharp
first,sharp,2,DCF,0.2051792828685259,0.17131474103585656,0.24108565737051765,502,0.2934980079681275,0.250996015936255,0.34063745019920316,first | sharp
first,sharp,3,DF,0.23107569721115537,0.19516932270916335,0.2689243027888446,502,0.135800796812749,0.10557768924302789,0.16533864541832669,first | sharp
first,sharp,4,DFC,0.021912350597609563,0.0099601593625498,0.03386454183266932,502,0.08095219123505976,0.05871513944223108,0.10463147410358561,first | sharp
first,sharp,5,C,0.0,0.0,0.0,502,0.052159362549800796,0.03386454183266932,0.07171314741035857,first | sharp
first,sharp,6,CD,0.0,0.0,0.0,502,0.006067779092833687,0.00199203187250996,0.01195219123505976,first | sharp
first,sharp,7,CDF,0.017928286852589643,0.00796812749003984,0.029880478087649404,502,0.027019920318725098,0.013944223107569721,0.043824701195219126,first | sharp
first,sharp,8,CF,0.09362549800796813,0.06772908366533864,0.1195717131474101,502,0.018322709163346614,0.006922310756972114,0.03187250996015936,first | sharp
first,sharp,9,CFD,0.00199203187250996,0.0,0.00597609561752988,502,0.005490967165819481,0.00199203187250996,0.01195219123505976,first | sharp
first,sharp,10,F,0.10159362549800798,0.07569721115537849,0.1294820717131474,502,0.02149402390438247,0.0099601593625498,0.035856573705179286,first | sharp
first,sharp,11,FD,0.00199203187250996,0.0,0.00597609561752988,502,0.002954624455199337,0.00199203187250996,0.00597609561752988,first | sharp
