base_d,base_c,base_f,lambda_scale,rho_scale,beta_scale,color_sem,stage,r,r2,mae,rmse,second_c_abs,second_c_signed,both_c_abs,both_c_signed,first_c_abs,balanced_loss
0.3,2.2,0.0,0.75,1.25,1.15,0.8,top_base_param_grid,0.6192685641732204,0.383493554573162,0.06045441767911367,0.11018855921643447,0.06164574596827205,-0.06043832574361635,0.41581053668534373,0.41581053668534373,0.09958358182965203,0.3797395735273784
0.3,1.9,0.0,0.75,1.25,1.15,0.8,top_base_param_grid,0.6527466959147848,0.4260782490276686,0.059161771400866335,0.10228890160235862,0.10975547705167604,-0.10975547705167604,0.34351408118283366,0.34351408118283366,0.0712806794738619,0.3838014192454515
0.3,2.2,0.25,0.75,1.25,1.15,0.8,top_base_param_grid,0.6425259754417372,0.41283962911735583,0.057937074423189995,0.1049588983963715,0.0801382568883307,-0.0801382568883307,0.4025785737661085,0.4025785737661085,0.09608592166958733,0.38638644216775647
0.0,1.9,0.0,0.75,1.25,1.15,0.8,top_base_param_grid,0.6474889755685428,0.419241973482801,0.05739798648248406,0.10388674527054102,0.08418511424535585,-0.08418511424535585,0.3997938000587187,0.3997938000587187,0.09536123722253724,0.3879687595452562
0.3,1.9,0.0,0.75,1.25,1.0,0.8,top_base_param_grid,0.641671475929103,0.41174228302103344,0.05976235523992404,0.10376913520218638,0.0955157486009009,-0.0955157486009009,0.37756567830121135,0.37756567830121135,0.0866996765082924,0.38806772295369296
0.3,1.6,0.0,1.0,1.25,1.15,0.8,top_base_param_grid,0.6453941148106186,0.41653356343218195,0.05932825811515593,0.1044815158346524,0.09977938805097414,-0.09977938805097414,0.3692134880450926,0.3692134880450926,0.06978369950710221,0.38886764790817285
0.3,2.2,0.0,0.75,1.25,1.15,0.7,top_base_param_grid,0.6124183629302578,0.3750562512541769,0.06186959882271597,0.10918052419394877,0.0920289960908301,-0.0920289960908301,0.3817331307557783,0.3817331307557783,0.12226291447339936,0.39207608566266805
0.3,1.9,0.25,0.75,1.25,1.15,0.8,top_base_param_grid,0.6795075764292374,0.46173054642473593,0.05649676450408791,0.09693500151272386,0.12934960995191408,-0.12934960995191408,0.3318289034990034,0.3318289034990034,0.06831593512950822,0.39219906321413966
0.3,2.2,0.25,0.75,1.25,1.0,0.8,top_base_param_grid,0.6268303510182319,0.39291628895763986,0.05867900382073471,0.10727489866401485,0.0687888768720038,-0.0687888768720038,0.433628749194499,0.433628749194499,0.11493977605758592,0.39287815013326816
0.0,2.2,0.0,0.75,1.25,1.15,0.7,top_base_param_grid,0.606132083177338,0.3673961022568994,0.06014536687727458,0.11130307325482221,0.06326540384763552,-0.06326540384763552,0.43834505611931895,0.43834505611931895,0.15976588874517367,0.3937410051621172
0.0,1.6,0.0,0.75,1.25,1.15,0.8,top_base_param_grid,0.6851627446958095,0.46944798671909505,0.05592062181641403,0.09584951706068921,0.13337679777616335,-0.13337679777616335,0.32937168711697673,0.32937168711697673,0.06775355599282666,0.39391215839534094
0.0,1.9,0.0,0.75,1.25,1.0,0.8,top_base_param_grid,0.6315714547886543,0.3988825025038572,0.058133915726010885,0.10623593422306686,0.07279317651265932,-0.07279317651265932,0.4306023829606733,0.4306023829606733,0.11403444110809251,0.39433030221606286
0.3,1.9,0.0,1.0,1.25,1.15,0.7,top_base_param_grid,0.6032307944811544,0.3638873914103647,0.062451392523967336,0.11237361783564383,0.06926276360029054,-0.06926276360029054,0.42545377844845866,0.42545377844845866,0.1299874119406788,0.3943632706601637
0.3,2.2,0.0,0.75,1.25,1.0,0.7,top_base_param_grid,0.601308356129913,0.36157173915165824,0.062411290838504274,0.11079710944877227,0.07562636409276796,-0.07562636409276796,0.4160254561332426,0.4160254561332426,0.14560841470418856,0.3944362016081615
0.3,1.9,0.0,0.75,1.25,0.85,0.8,top_base_param_grid,0.6261663950765102,0.3920843543231122,0.060677745996760506,0.10581648872909499,0.08616866741651369,-0.08616866741651369,0.4068084471849165,0.4068084471849165,0.10352149307189866,0.3953893797380669
0.3,2.2,0.0,0.75,1.25,1.0,0.8,top_base_param_grid,0.6046385098565371,0.36558772760153374,0.06140902125490613,0.11234714784915624,0.0593861040825146,-0.049318751435220964,0.4479897581962309,0.4479897581962309,0.11928375139294549,0.39572813102978627
0.3,1.9,0.25,0.75,1.25,1.0,0.8,top_base_param_grid,0.6675334423383706,0.4456008966401148,0.05712436105271263,0.09857424003689509,0.11511700425618959,-0.11511700425618959,0.3645069115785322,0.3645069115785322,0.08298387079893037,0.3959447000823508
0.3,1.6,0.0,0.75,1.25,1.0,0.8,top_base_param_grid,0.6768224716101038,0.45808865807640975,0.05840824451973613,0.09640971433266504,0.14609928999418093,-0.14609928999418093,0.3080496304658613,0.3080496304658613,0.06228126845715924,0.3965338195597766
0.3,1.6,0.0,0.75,1.25,1.15,0.8,top_base_param_grid,0.6809991518915468,0.46375984487700606,0.05787680996029175,0.09606642354032423,0.16354720864766908,-0.16354720864766908,0.274311039688941,0.274311039688941,0.05048804804144784,0.3967691520324638
0.3,1.6,0.0,1.0,1.25,1.0,0.8,top_base_param_grid,0.630069801264229,0.39698795446514495,0.06045050146374416,0.10650342740151696,0.0906692651318915,-0.0906692651318915,0.3999787681726179,0.3999787681726179,0.08499798997698708,0.3971620766197174
0.0,1.6,0.0,0.75,1.25,1.0,0.8,top_base_param_grid,0.6730094125052496,0.4529416693206612,0.056552194329862686,0.09752186027753035,0.11915170226568056,-0.11915170226568056,0.3617554866698942,0.3617554866698942,0.08226962089000626,0.397551305878158
0.3,1.9,0.0,1.0,1.25,1.15,0.8,top_base_param_grid,0.6015734294518181,0.3618905910224216,0.06153181420148046,0.11450730075732811,0.05605140302126582,-0.05011799011701418,0.45528687173401927,0.45528687173401927,0.10627695992051049,0.3982021396456036
0.3,2.2,0.25,0.75,1.25,1.15,0.7,top_base_param_grid,0.6353203397041014,0.4036319340417348,0.0592345878723595,0.10431014729313375,0.11085351381772829,-0.11085351381772829,0.369285550060626,0.369285550060626,0.11806474700032159,0.39980643614117506
0.3,1.6,0.0,1.0,1.25,1.15,0.7,top_base_param_grid,0.6397423290959682,0.40927024763713404,0.06050694008116835,0.1039043799823853,0.12725420866483522,-0.12725420866483522,0.3375044875768385,0.3375044875768385,0.08629081099687501,0.39991083243563974
0.3,2.2,0.0,0.75,1.25,0.85,0.7,top_base_param_grid,0.585609189177414,0.34293812244902827,0.06334525206027469,0.11301522683979984,0.06455503974431825,-0.06455503974431825,0.444974985065814,0.444974985065814,0.1700856208747475,0.4000577591170251
0.3,1.6,0.0,1.25,1.25,1.15,0.7,top_base_param_grid,0.6034504769101944,0.36415247808314105,0.06265550879136524,0.11271177962824636,0.07389318023198915,-0.07389318023198915,0.42713521057641124,0.42713521057641124,0.11574429720102235,0.40017256514844113
0.3,1.6,0.0,0.75,1.25,0.85,0.8,top_base_param_grid,0.6656056253389839,0.44303084848289986,0.05913126624038729,0.09776811790921008,0.13379599724286867,-0.13379599724286867,0.3385536932376585,0.3385536932376585,0.07542482837496682,0.400840961770908
0.3,2.2,0.25,0.75,1.25,0.85,0.8,top_base_param_grid,0.6086835384951185,0.3704956500349384,0.06037185406930271,0.10980440953281666,0.061766406636179216,-0.061766406636179216,0.4589096420434675,0.4589096420434675,0.13491461872516558,0.40102563719072964
0.0,1.9,0.0,0.75,1.25,1.15,0.7,top_base_param_grid,0.6402402407384135,0.40990756586078164,0.05869034985530674,0.10330694765410568,0.11474250827306581,-0.11474250827306581,0.36666601532971477,0.36666601532971477,0.11719370334802552,0.4013824635920289
0.3,2.2,0.25,0.75,1.25,1.0,0.7,top_base_param_grid,0.6231823941772711,0.3883562964125156,0.059773253602512066,0.10605801957807115,0.094568481783808,-0.094568481783808,0.4023053609756193,0.4023053609756193,0.14043650105057642,0.4017791818496888
