model,order_planning_scale,length,order,overinformativeness,selection,utterance_cells,target_abs_residual_reduction_mean,target_worst_abs_residual_harm,non_order_rmse_harm,order_rmse_gate,utterance_rmse_gate,non_order_harm_gate,target_reduction_gate,forward_gate_pass,rank_score,recommended_for_gpu_pilot
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,3.0,6.938893903907228e-18,0.004428865119291837,6.938893903907228e-18,0.0,0.000521571508342325,0.022188929138755045,0.0016135988490565134,0.0,0.002,0.0005,1e-06,0.002,True,0.010236883158151761,True
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,-6.938893903907228e-18,0.004369646459346822,-1.3877787807814457e-17,-1.3877787807814457e-17,0.000538585239067791,0.021787434038022056,0.0015980596502046113,1.3877787807814457e-17,0.002,0.0005,1e-06,0.002,True,0.010085797588386219,True
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,2.0,-1.3877787807814457e-17,0.0037955846422303083,-2.7755575615628914e-17,-6.938893903907228e-18,0.000745257115086724,0.01783286736405183,0.001130273603105636,2.7755575615628914e-17,0.002,0.0005,1e-06,0.002,True,0.0086264300407866,True
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,2.0,6.938893903907228e-18,0.0038082790287457535,-6.938893903907228e-18,0.0,0.0007267171683291961,0.01779009683923939,0.0011411989991831073,6.938893903907228e-18,0.002,0.0005,1e-06,0.002,True,0.008619161822720193,True
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.5,0.0,0.0031746899620762395,-1.3877787807814457e-17,0.0,0.0007170146325218597,0.01361208092377668,0.000873401518907399,1.3877787807814457e-17,0.002,0.0005,1e-06,0.002,True,0.006936217509281325,True
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,1.5,0.0,0.0031712233361191194,-6.938893903907228e-18,0.0,0.0006998289412546467,0.013577828342776118,0.0008818163085579506,6.938893903907228e-18,0.002,0.0005,1e-06,0.002,True,0.006915594892440466,True
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.0,1.3877787807814457e-17,0.0023351881198826682,1.3877787807814457e-17,0.0,0.0005916517047150835,0.009221348410026392,0.000600026293355399,0.0,0.002,0.0005,1e-06,0.002,True,0.004936351074746808,True
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,1.0,0.0,0.0023231947648170853,-1.3877787807814457e-17,0.0,0.0005778692845932638,0.009197851779846193,0.0006057870398444715,1.3877787807814457e-17,0.002,0.0005,1e-06,0.002,True,0.004911592352075252,True
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.75,1.3877787807814457e-17,0.0018354575589760933,1.3877787807814457e-17,0.0,0.0004895860349866873,0.006968330880557032,0.00045685987614621504,0.0,0.002,0.0005,1e-06,0.002,False,0.003822333296608695,False
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.75,-6.938893903907228e-18,0.0018225540512868746,0.0,0.0,0.0004783460242988799,0.0069506786266822045,0.0004612380494449647,6.938893903907228e-18,0.002,0.0005,1e-06,0.002,False,0.0037993967201068587,False
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.5,0.0,0.0012818462854037663,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0003588302214891266,0.004679488989483224,0.0003092150958023676,1.3877787807814457e-17,0.002,0.0005,1e-06,0.002,False,0.0026311336435191216,False
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.5,-1.3877787807814457e-17,0.0012705035037094276,-2.7755575615628914e-17,0.0,0.00035071864719181736,0.00466779341345951,0.00031217273760328346,2.7755575615628914e-17,0.002,0.0005,1e-06,0.002,False,0.002612811180670186,False
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.25,-1.3877787807814457e-17,0.0006717655298639907,-2.7755575615628914e-17,0.0,0.0001967688974495313,0.0023563372015678644,0.00015696987103491766,2.7755575615628914e-17,0.002,0.0005,1e-06,0.002,False,0.0013592342789806948,False
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.25,-6.938893903907228e-18,0.0006646475840945548,-2.7755575615628914e-17,-6.938893903907228e-18,0.00019239358808293555,0.0023505695358728208,0.00015846834370249196,2.7755575615628914e-17,0.002,0.0005,1e-06,0.002,False,0.0013484867621042,False
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,-6.938893903907228e-18,1.3877787807814457e-17,-6.938893903907228e-18,0.0,-2.7755575615628914e-17,5.782411586589357e-18,-9.71445146547012e-17,6.938893903907228e-18,0.002,0.0005,1e-06,0.002,False,-5.493291007259889e-18,False
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.0,0.0,-1.3877787807814457e-17,0.0,0.0,-3.469446951953614e-17,-6.47630097698008e-17,-1.1102230246251565e-16,0.0,0.002,0.0005,1e-06,0.002,False,-4.741577501003273e-17,False
