model,order_planning_scale,summary_type,relevant_property,sharpness,category,baseline_abs_residual,candidate_abs_residual,abs_residual_reduction
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,utterance,both,sharp,DC,0.1159204771371769,0.11592047713717689,1.3877787807814457e-17
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.0,utterance,both,sharp,DC,0.1158926441351888,0.11589264413518889,-9.71445146547012e-17
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.25,utterance,both,sharp,DC,0.1159204771371769,0.11576200879347441,0.00015846834370249196
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.25,utterance,both,sharp,DC,0.1158926441351888,0.11573567426415388,0.00015696987103491766
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.5,utterance,both,sharp,DC,0.1159204771371769,0.11560830439957362,0.00031217273760328346
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.5,utterance,both,sharp,DC,0.1158926441351888,0.11558342903938643,0.0003092150958023676
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.75,utterance,both,sharp,DC,0.1159204771371769,0.11545923908773194,0.0004612380494449647
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.75,utterance,both,sharp,DC,0.1158926441351888,0.11543578425904258,0.00045685987614621504
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,1.0,utterance,both,sharp,DC,0.1159204771371769,0.11531469009733243,0.0006057870398444715
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.0,utterance,both,sharp,DC,0.1158926441351888,0.1152926178418334,0.000600026293355399
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,1.5,utterance,both,sharp,DC,0.1159204771371769,0.11503866082861895,0.0008818163085579506
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.5,utterance,both,sharp,DC,0.1158926441351888,0.1150192426162814,0.000873401518907399
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,2.0,utterance,both,sharp,DC,0.1159204771371769,0.1147792781379938,0.0011411989991831073
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,2.0,utterance,both,sharp,DC,0.1158926441351888,0.11476237053208316,0.001130273603105636
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,3.0,utterance,both,sharp,DC,0.1159204771371769,0.11430687828812039,0.0016135988490565134
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,utterance,both,sharp,DC,0.1158926441351888,0.11429458448498418,0.0015980596502046113
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,utterance,both,sharp,CDF,0.0419840954274354,0.041984095427435406,-6.938893903907228e-18
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.0,utterance,both,sharp,CDF,0.0418011928429423,0.0418011928429424,-9.71445146547012e-17
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.25,utterance,both,sharp,CDF,0.0419840954274354,0.040376216970087295,0.001607878457348104
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.25,utterance,both,sharp,CDF,0.0418011928429423,0.04019686889850867,0.0016043239444336332
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.5,utterance,both,sharp,CDF,0.0419840954274354,0.038770982645743565,0.0032131127816918334
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.5,utterance,both,sharp,CDF,0.0418011928429423,0.03859532917734651,0.00320586366559579
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.75,utterance,both,sharp,CDF,0.0419840954274354,0.037172134835331536,0.004811960592103863
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.75,utterance,both,sharp,CDF,0.0418011928429423,0.037000285724852866,0.004800907118089434
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,1.0,utterance,both,sharp,CDF,0.0419840954274354,0.0355829888412002,0.006401106586235196
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.0,utterance,both,sharp,CDF,0.0418011928429423,0.035415026852109,0.0063861659908333035
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,1.5,utterance,both,sharp,CDF,0.0419840954274354,0.032445144029148484,0.009538951398286914
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.5,utterance,both,sharp,CDF,0.0418011928429423,0.032285111759388765,0.009516081083553535
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,2.0,utterance,both,sharp,CDF,0.0419840954274354,0.029376758906541105,0.012607336520894293
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,2.0,utterance,both,sharp,CDF,0.0418011928429423,0.02922473568990928,0.01257645715303302
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,3.0,utterance,both,sharp,CDF,0.0419840954274354,0.023502851036238535,0.018481244391196864
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,utterance,both,sharp,CDF,0.0418011928429423,0.02336662814165649,0.01843456470128581
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,utterance,both,blurred,DCF,0.0852579505300353,0.08525795053003529,1.3877787807814457e-17
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.0,utterance,both,blurred,DCF,0.0862155477031801,0.08621554770318021,-1.1102230246251565e-16
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.25,utterance,both,blurred,DCF,0.0852579505300353,0.08180345279930273,0.0034544977307325725
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.25,utterance,both,blurred,DCF,0.0862155477031801,0.08277390877172017,0.003441638931459934
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.5,utterance,both,blurred,DCF,0.0852579505300353,0.07844999000556263,0.006807960524472675
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.5,utterance,both,blurred,DCF,0.0862155477031801,0.07943302218929302,0.006782525513887083
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.75,utterance,both,blurred,DCF,0.0852579505300353,0.0751946999173008,0.010063250612734512
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.75,utterance,both,blurred,DCF,0.0862155477031801,0.07619003234462607,0.010025515358554032
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,1.0,utterance,both,blurred,DCF,0.0852579505300353,0.07203472697171262,0.013223223558322686
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.0,utterance,both,blurred,DCF,0.0862155477031801,0.073042090143763,0.013173457559417096
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,1.5,utterance,both,blurred,DCF,0.0852579505300353,0.06598946485220475,0.019268485677830557
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.5,utterance,both,blurred,DCF,0.0862155477031801,0.067020106066839,0.0191954416363411
