relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.01057226752742604,0.0035335689045936395,0.019434628975265017,both | blurred
both,blurred,1,DC,0.06890459363957598,0.04946996466431095,0.09010600706713781,566,0.058590106007067135,0.038869257950530034,0.0812720848056537,both | blurred
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.22425088339222615,0.1855123674911661,0.26325088339222613,both | blurred
both,blurred,3,DF,0.08480565371024736,0.061837455830388695,0.10777385159010601,566,0.10885159010600706,0.08303886925795052,0.13427561837455831,both | blurred
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566,0.015243816254416962,0.00530035335689046,0.026501766784452298,both | blurred
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.046819787985865724,0.028268551236749116,0.06537102473498234,both | blurred
both,blurred,6,CD,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.005334475803394046,0.0017667844522968198,0.012367491166077738,both | blurred
both,blurred,7,CDF,0.05123674911660778,0.03356890459363958,0.0706713780918728,566,0.07747703180212014,0.05653710247349823,0.0998674911660777,both | blurred
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.30451236749116606,0.2597173144876325,0.35159010600706714,both | blurred
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566,0.018007067137809186,0.007067137809187279,0.030035335689045935,both | blurred
both,blurred,10,F,0.1166077738515901,0.09010600706713781,0.14487632508833923,566,0.08083745583038869,0.05653710247349823,0.10424028268551237,both | blurred
both,blurred,11,FD,0.0017667844522968198,0.0,0.00530035335689046,566,0.003263190281287002,0.0017667844522968198,0.007067137809187279,both | blurred
both,blurred,12,FDC,0.00530035335689046,0.0,0.012367491166077738,566,0.00305537938046772,0.0017667844522968198,0.007067137809187279,both | blurred
both,blurred,13,FC,0.04063604240282685,0.024734982332155476,0.05653710247349823,566,0.04296819787985866,0.026501766784452298,0.06007067137809187,both | blurred
both,blurred,14,FCD,0.0,0.0,0.0,566,0.0032269368922115474,0.0017667844522968198,0.007067137809187279,both | blurred
both,sharp,0,D,0.0,0.0,0.0,503,0.014358737355426558,0.003976143141153081,0.02584493041749503,both | sharp
both,sharp,1,DC,0.19681908548707752,0.1610337972166998,0.23260437375745527,503,0.080441351888668,0.05462226640159046,0.10337972166998012,both | sharp
both,sharp,2,DCF,0.3121272365805169,0.27236580516898606,0.3518886679920477,503,0.31130815109343934,0.27037773359840955,0.3558648111332008,both | sharp
both,sharp,3,DF,0.1073558648111332,0.08151093439363817,0.13518886679920478,503,0.15609940357852883,0.1202286282306163,0.19284294234592445,both | sharp
both,sharp,4,DFC,0.02982107355864811,0.015904572564612324,0.04572564612326044,503,0.021980119284294233,0.009940357852882704,0.03682902584493037,both | sharp
both,sharp,5,C,0.0,0.0,0.0,503,0.03733598409542743,0.02186878727634195,0.05670974155069578,both | sharp
both,sharp,6,CD,0.011928429423459244,0.003976143141153081,0.02186878727634195,503,0.004927156876508602,0.0019880715705765406,0.010039761431411554,both | sharp
both,sharp,7,CDF,0.027833001988071572,0.013916500994035786,0.0437375745526839,503,0.06976540755467196,0.04572564612326044,0.09343936381709742,both | sharp
both,sharp,8,CF,0.20278330019880716,0.16898608349900596,0.24055666003976142,503,0.1834671968190855,0.147117296222664,0.22171968190854865,both | sharp
both,sharp,9,CFD,0.003976143141153081,0.0,0.009940357852882704,503,0.0114383837257019,0.003976143141153081,0.019880715705765408,both | sharp
both,sharp,10,F,0.08349900596421471,0.061630218687872766,0.1073558648111332,503,0.06912922465208747,0.04771371769383698,0.09145129224652088,both | sharp
both,sharp,11,FD,0.0,0.0,0.0,503,0.003774754072964808,0.0019880715705765406,0.007952286282306162,both | sharp
both,sharp,12,FDC,0.0,0.0,0.0,503,0.003585524973327192,0.0019880715705765406,0.007952286282306162,both | sharp
both,sharp,13,FC,0.02186878727634195,0.009940357852882704,0.03578528827037773,503,0.033109343936381715,0.017892644135188866,0.04970178926441352,both | sharp
both,sharp,14,FCD,0.0019880715705765406,0.0,0.005964214711729622,503,0.0031195463872712276,0.0019880715705765406,0.007952286282306162,both | sharp
first,blurred,0,D,0.05595667870036101,0.039711191335740074,0.07581227436823104,554,0.043765342960288806,0.02527075812274368,0.0631768953068592,first | blurred
first,blurred,1,DC,0.04332129963898917,0.02707581227436823,0.05956678700361011,554,0.05923826714801444,0.04151624548736462,0.07942238267148015,first | blurred
first,blurred,2,DCF,0.2996389891696751,0.26173285198555957,0.33578519855595645,554,0.23055595667870038,0.19219314079422384,0.2735108303249097,first | blurred
first,blurred,3,DF,0.36462093862815886,0.3266696750902527,0.4043321299638989,554,0.4105776173285199,0.3555956678700361,0.4566787003610108,first | blurred
first,blurred,4,DFC,0.032490974729241874,0.018050541516245487,0.04693140794223827,554,0.04752707581227437,0.030685920577617327,0.06678700361010831,first | blurred
first,blurred,5,C,0.005415162454873646,0.0,0.01263537906137184,554,0.013850806305752299,0.0036101083032490976,0.02527075812274368,first | blurred
first,blurred,6,CD,0.0018050541516245488,0.0,0.005415162454873646,554,0.0025903699188897745,0.0018050541516245488,0.005415162454873646,first | blurred
first,blurred,7,CDF,0.039711191335740074,0.02527075812274368,0.05600180505415137,554,0.023537906137184116,0.01263537906137184,0.036101083032490974,first | blurred
first,blurred,8,CF,0.08664259927797834,0.06498194945848375,0.11191335740072202,554,0.07683754512635378,0.05595667870036101,0.10288808664259928,first | blurred
first,blurred,9,CFD,0.0,0.0,0.0,554,0.004760231302514297,0.0018050541516245488,0.010830324909747292,first | blurred
first,blurred,10,F,0.03790613718411552,0.023465703971119134,0.05415162454873646,554,0.05729963898916967,0.03790613718411552,0.0776173285198556,first | blurred
first,blurred,11,FD,0.009025270758122744,0.0018050541516245488,0.018050541516245487,554,0.00528453353600608,0.0018050541516245488,0.010830324909747292,first | blurred
first,blurred,12,FDC,0.0036101083032490976,0.0,0.009025270758122744,554,0.004391462762401391,0.0018050541516245488,0.010830324909747292,first | blurred
first,blurred,13,FC,0.016245487364620937,0.007220216606498195,0.02707581227436823,554,0.021079422382671482,0.010830324909747292,0.03429602888086643,first | blurred
first,blurred,14,FCD,0.0036101083032490976,0.0,0.009025270758122744,554,0.0024810505271333438,0.0018050541516245488,0.005415162454873646,first | blurred
first,sharp,0,D,0.2689243027888446,0.2290836653386454,0.30876494023904383,502,0.2649083665338645,0.21010956175298806,0.3187250996015936,first | sharp
