model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_rec_fixedeps,alpha,2.554,0.179,2.207,2.881,0.003,0.002,5019.0,5601.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_rec_fixedeps,log_beta_order,0.641,0.033,0.582,0.706,0.0,0.0,8618.0,6275.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_rec_fixedeps,lambda_salience,1.498,0.04,1.423,1.574,0.0,0.0,9311.0,6094.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_rec_fixedeps,rho_salience_stop,0.014,0.014,0.0,0.04,0.0,0.0,7775.0,4233.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_rec_fixedeps,lambda_sufficient_single,1.209,0.073,1.07,1.343,0.001,0.001,9172.0,6082.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_rec_fixedeps,lambda_reliability_form,2.509,0.081,2.361,2.665,0.001,0.001,8672.0,6572.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_rec_fixedeps,lambda_three_word_penalty,1.394,0.057,1.291,1.502,0.001,0.001,8178.0,6640.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_rec_fixedeps,lambda_size_reliability_single_bonus,1.757,0.145,1.48,2.023,0.002,0.002,8718.0,5778.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_rec_fixedeps,lambda_size_reliability_form_pair_tradeoff,0.229,0.071,0.098,0.362,0.001,0.001,8257.0,4106.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_rec_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,8000.0,8000.0,
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_rec_fixedeps,tau,1.029,0.08,0.883,1.18,0.001,0.001,4006.0,5223.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_static_fixedeps,alpha,2.57,0.181,2.224,2.899,0.003,0.002,4533.0,5729.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_static_fixedeps,log_beta_order,0.64,0.034,0.577,0.702,0.0,0.0,7272.0,5936.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_static_fixedeps,lambda_salience,1.497,0.04,1.424,1.576,0.0,0.0,8900.0,5629.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_static_fixedeps,rho_salience_stop,0.015,0.014,0.0,0.041,0.0,0.0,8252.0,4233.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_static_fixedeps,lambda_sufficient_single,1.206,0.072,1.077,1.348,0.001,0.001,8566.0,6364.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_static_fixedeps,lambda_reliability_form,2.516,0.081,2.362,2.664,0.001,0.001,7013.0,5522.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_static_fixedeps,lambda_three_word_penalty,1.401,0.057,1.292,1.506,0.001,0.001,6887.0,5997.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_static_fixedeps,lambda_size_reliability_single_bonus,1.758,0.145,1.474,2.025,0.002,0.002,8064.0,5732.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_static_fixedeps,lambda_size_reliability_form_pair_tradeoff,0.224,0.071,0.097,0.365,0.001,0.001,5721.0,2511.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_static_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,8000.0,8000.0,
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_static_fixedeps,tau,1.031,0.08,0.873,1.178,0.001,0.001,3484.0,5131.0,1.0
