model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,alpha,2.557,0.183,2.218,2.904,0.003,0.002,4195.0,5280.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,log_beta_order,0.648,0.033,0.587,0.711,0.0,0.0,7475.0,6384.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,lambda_salience,1.503,0.04,1.429,1.577,0.0,0.0,8547.0,6385.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,rho_salience_stop,0.014,0.014,0.0,0.04,0.0,0.0,7174.0,3684.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,lambda_sufficient_single,1.211,0.072,1.079,1.35,0.001,0.001,7709.0,5907.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,lambda_reliability_form,2.507,0.08,2.356,2.658,0.001,0.001,7554.0,6206.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,lambda_three_word_penalty,1.397,0.057,1.291,1.504,0.001,0.001,6979.0,5916.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,lambda_size_reliability_single_bonus,1.762,0.144,1.492,2.023,0.002,0.001,7678.0,5663.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,lambda_size_reliability_form_pair_tradeoff,0.228,0.068,0.103,0.358,0.001,0.001,8147.0,4076.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,8000.0,8000.0,
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,tau,1.026,0.08,0.877,1.176,0.001,0.001,3608.0,4910.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,alpha,2.573,0.181,2.221,2.897,0.003,0.002,4385.0,5652.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,log_beta_order,0.647,0.033,0.582,0.707,0.0,0.0,7659.0,5933.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,lambda_salience,1.503,0.04,1.428,1.579,0.0,0.0,9325.0,6311.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,rho_salience_stop,0.014,0.014,0.0,0.04,0.0,0.0,8281.0,4395.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,lambda_sufficient_single,1.208,0.072,1.071,1.339,0.001,0.001,8449.0,5971.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,lambda_reliability_form,2.516,0.08,2.368,2.667,0.001,0.001,6777.0,6149.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,lambda_three_word_penalty,1.404,0.056,1.3,1.511,0.001,0.001,7057.0,6009.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,lambda_size_reliability_single_bonus,1.764,0.143,1.49,2.026,0.001,0.002,9148.0,5868.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,lambda_size_reliability_form_pair_tradeoff,0.225,0.068,0.098,0.354,0.001,0.001,8116.0,4789.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,8000.0,8000.0,
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,tau,1.029,0.08,0.88,1.178,0.001,0.001,3607.0,4837.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_glob_rec_fixedeps,alpha,0.823,0.194,0.468,1.204,0.005,0.003,1827.0,2257.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_glob_rec_fixedeps,log_beta_order,0.557,0.029,0.502,0.612,0.0,0.0,4215.0,4794.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_glob_rec_fixedeps,lambda_salience,1.669,0.064,1.552,1.788,0.001,0.001,6192.0,5861.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_glob_rec_fixedeps,rho_salience_stop,0.003,0.003,0.0,0.008,0.0,0.0,7024.0,3879.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_glob_rec_fixedeps,lambda_sufficient_single,2.209,0.075,2.072,2.353,0.001,0.001,5774.0,5869.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_glob_rec_fixedeps,lambda_reliability_form,2.234,0.082,2.076,2.388,0.001,0.001,4026.0,4540.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_glob_rec_fixedeps,lambda_three_word_penalty,1.162,0.064,1.048,1.285,0.001,0.001,2380.0,3185.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_glob_rec_fixedeps,lambda_size_reliability_single_bonus,1.268,0.142,0.99,1.524,0.002,0.002,6599.0,4966.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_glob_rec_fixedeps,lambda_size_reliability_form_pair_tradeoff,0.398,0.073,0.262,0.532,0.001,0.001,8101.0,4775.0,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_glob_rec_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,8000.0,8000.0,
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_glob_rec_fixedeps,tau,0.589,0.11,0.388,0.804,0.005,0.003,489.0,465.0,1.01
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_glob_static_fixedeps,alpha,0.826,0.191,0.46,1.18,0.004,0.002,2729.0,3805.0,1.0
