relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,model,condition,signed_residual,abs_residual,human_mean_covered_by_model_ci,model_mean_covered_by_human_ci
both,blurred,0,D,0.0,0.0,0.0,566,0.010379412499553842,0.0035335689045936395,0.019434628975265017,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | blurred,0.010379412499553842,0.010379412499553842,False,False
both,blurred,1,DC,0.06890459363957598,0.04946996466431095,0.09010600706713781,566,0.058780918727915195,0.038869257950530034,0.08043286219081268,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | blurred,-0.01012367491166078,0.01012367491166078,True,True
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.22392932862190812,0.1872791519434629,0.26325088339222613,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | blurred,-0.08525795053003532,0.08525795053003532,False,False
both,blurred,3,DF,0.08480565371024736,0.061837455830388695,0.10777385159010601,566,0.1090070671378092,0.08657243816254417,0.13873674911660774,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | blurred,0.024201413427561838,0.024201413427561838,False,False
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566,0.015391206441150853,0.00530035335689046,0.026501766784452298,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | blurred,-0.014644129247895082,0.014644129247895082,False,False
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.046823321554770314,0.028268551236749116,0.06713780918727916,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | blurred,0.037989399293286215,0.037989399293286215,False,False
both,blurred,6,CD,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.005198857228779791,0.0017667844522968198,0.011086572438162504,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | blurred,-0.003635065032704308,0.003635065032704308,True,True
both,blurred,7,CDF,0.05123674911660778,0.03356890459363958,0.0706713780918728,566,0.07741342756183746,0.05830388692579505,0.10340106007067135,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | blurred,0.02617667844522968,0.02617667844522968,False,False
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.30501060070671376,0.26325088339222613,0.34275618374558303,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | blurred,0.03469257950530036,0.03469257950530036,True,True
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566,0.017915194346289753,0.0088339222614841,0.028268551236749116,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | blurred,0.014381625441696112,0.014381625441696112,False,False
both,blurred,10,F,0.1166077738515901,0.09010600706713781,0.14487632508833923,566,0.08034275618374558,0.057376325088339224,0.10600706713780919,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | blurred,-0.036265017667844526,0.036265017667844526,False,False
both,blurred,11,FD,0.0017667844522968198,0.0,0.00530035335689046,566,0.0031675598492584924,0.0017667844522968198,0.007067137809187279,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | blurred,0.0014007753969616727,0.0014007753969616727,True,True
both,blurred,12,FDC,0.00530035335689046,0.0,0.012367491166077738,566,0.003094455809724547,0.0017667844522968198,0.007067137809187279,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | blurred,-0.002205897547165913,0.002205897547165913,True,True
both,blurred,13,FC,0.04063604240282685,0.024734982332155476,0.05653710247349823,566,0.043243816254416964,0.026501766784452298,0.06007067137809187,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | blurred,0.0026077738515901117,0.0026077738515901117,True,True
both,blurred,14,FCD,0.0,0.0,0.0,566,0.0032928625759428465,0.0017667844522968198,0.007067137809187279,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | blurred,0.0032928625759428465,0.0032928625759428465,False,False
both,sharp,0,D,0.0,0.0,0.0,503,0.014262425447316103,0.004920477137176941,0.02584493041749503,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | sharp,0.014262425447316103,0.014262425447316103,False,False
both,sharp,1,DC,0.19681908548707752,0.1610337972166998,0.23260437375745527,503,0.0808986083499006,0.0536779324055666,0.10536779324055666,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | sharp,-0.11592047713717692,0.11592047713717692,False,False
both,sharp,2,DCF,0.3121272365805169,0.27236580516898606,0.3518886679920477,503,0.3119363817097416,0.27236580516898606,0.35889662027832997,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | sharp,-0.00019085487077530328,0.00019085487077530328,True,True
both,sharp,3,DF,0.1073558648111332,0.08151093439363817,0.13518886679920478,503,0.15519284294234592,0.11928429423459244,0.19284294234592445,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | sharp,0.04783697813121272,0.04783697813121272,False,False
both,sharp,4,DFC,0.02982107355864811,0.015904572564612324,0.04572564612326044,503,0.021705765407554672,0.009940357852882704,0.03484095427435383,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | sharp,-0.008115308151093438,0.008115308151093438,True,True
both,sharp,5,C,0.0,0.0,0.0,503,0.037355864811133205,0.019880715705765408,0.055666003976143144,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | sharp,0.037355864811133205,0.037355864811133205,False,False
both,sharp,6,CD,0.011928429423459244,0.003976143141153081,0.02186878727634195,503,0.004967935053336863,0.0019880715705765406,0.011928429423459244,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | sharp,-0.006960494370122381,0.006960494370122381,True,True
both,sharp,7,CDF,0.027833001988071572,0.013916500994035786,0.0437375745526839,503,0.06981709741550697,0.04572564612326044,0.09249502982107351,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | sharp,0.0419840954274354,0.0419840954274354,False,False
both,sharp,8,CF,0.20278330019880716,0.16898608349900596,0.24055666003976142,503,0.1838290258449304,0.14910536779324055,0.22465208747514911,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | sharp,-0.018954274353876754,0.018954274353876754,True,True
both,sharp,9,CFD,0.003976143141153081,0.0,0.009940357852882704,503,0.011063877257497102,0.003976143141153081,0.02097415506958253,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | sharp,0.00708773411634402,0.00708773411634402,True,False
both,sharp,10,F,0.08349900596421471,0.061630218687872766,0.1073558648111332,503,0.06859642147117297,0.04771371769383698,0.09145129224652088,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | sharp,-0.014902584493041743,0.014902584493041743,True,True
both,sharp,11,FD,0.0,0.0,0.0,503,0.003970696369726844,0.0019880715705765406,0.007952286282306162,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | sharp,0.003970696369726844,0.003970696369726844,False,False
both,sharp,12,FDC,0.0,0.0,0.0,503,0.0036883959401485815,0.0019880715705765406,0.007952286282306162,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | sharp,0.0036883959401485815,0.0036883959401485815,False,False
both,sharp,13,FC,0.02186878727634195,0.009940357852882704,0.03578528827037773,503,0.03325248508946322,0.017892644135188866,0.04970178926441352,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | sharp,0.01138369781312127,0.01138369781312127,True,True
both,sharp,14,FCD,0.0019880715705765406,0.0,0.005964214711729622,503,0.0031973762520418883,0.0019880715705765406,0.007952286282306162,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,both | sharp,0.0012093046814653477,0.0012093046814653477,True,True
first,blurred,0,D,0.05595667870036101,0.039711191335740074,0.07581227436823104,554,0.04311552346570397,0.02527075812274368,0.061371841155234655,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,first | blurred,-0.012841155234657037,0.012841155234657037,True,True
