relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.010767451431166362,0.0035335689045936395,0.019434628975265017,both | blurred
both,blurred,1,DC,0.06890459363957598,0.04946996466431095,0.09010600706713781,566,0.05722968197879859,0.038869257950530034,0.07773851590106007,both | blurred
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.23118374558303886,0.19434628975265017,0.26855123674911663,both | blurred
both,blurred,3,DF,0.08480565371024736,0.061837455830388695,0.10777385159010601,566,0.11080565371024735,0.08303886925795052,0.1413427561837456,both | blurred
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566,0.02041696113074205,0.0088339222614841,0.03356890459363958,both | blurred
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.04692579505300353,0.030035335689045935,0.06629858657243813,both | blurred
both,blurred,6,CD,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.005168619428429731,0.0017667844522968198,0.011704946996466431,both | blurred
both,blurred,7,CDF,0.05123674911660778,0.03356890459363958,0.0706713780918728,566,0.07617314487632508,0.05384275618374559,0.10163427561837451,both | blurred
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.28780212014134277,0.2428886925795053,0.3313162544169611,both | blurred
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566,0.022102473498233216,0.01060070671378092,0.0353356890459364,both | blurred
both,blurred,10,F,0.1166077738515901,0.09010600706713781,0.14487632508833923,566,0.08031802120141343,0.05830388692579505,0.10247349823321555,both | blurred
both,blurred,11,FD,0.0017667844522968198,0.0,0.00530035335689046,566,0.003163663619815242,0.0017667844522968198,0.007067137809187279,both | blurred
both,blurred,12,FDC,0.00530035335689046,0.0,0.012367491166077738,566,0.0036725798640383136,0.0017667844522968198,0.0088339222614841,both | blurred
both,blurred,13,FC,0.04063604240282685,0.024734982332155476,0.05653710247349823,566,0.04328975265017668,0.026501766784452298,0.06007067137809187,both | blurred
both,blurred,14,FCD,0.0,0.0,0.0,566,0.0038000911334072716,0.0017667844522968198,0.0088339222614841,both | blurred
both,sharp,0,D,0.0,0.0,0.0,503,0.01474751491053678,0.005964214711729622,0.02584493041749503,both | sharp
both,sharp,1,DC,0.19681908548707752,0.1610337972166998,0.23260437375745527,503,0.07785288270377734,0.05168986083499006,0.10337972166998012,both | sharp
both,sharp,2,DCF,0.3121272365805169,0.27236580516898606,0.3518886679920477,503,0.3156341948310139,0.2664015904572565,0.36287276341948305,both | sharp
both,sharp,3,DF,0.1073558648111332,0.08151093439363817,0.13518886679920478,503,0.15241351888667992,0.12127236580516898,0.18687872763419483,both | sharp
both,sharp,4,DFC,0.02982107355864811,0.015904572564612324,0.04572564612326044,503,0.027351888667992045,0.013916500994035786,0.041749502982107355,both | sharp
both,sharp,5,C,0.0,0.0,0.0,503,0.03805566600397614,0.02186878727634195,0.05670974155069578,both | sharp
both,sharp,6,CD,0.011928429423459244,0.003976143141153081,0.02186878727634195,503,0.004879003384614016,0.0019880715705765406,0.011928429423459244,both | sharp
both,sharp,7,CDF,0.027833001988071572,0.013916500994035786,0.0437375745526839,503,0.06949900596421471,0.04771371769383698,0.09542743538767395,both | sharp
both,sharp,8,CF,0.20278330019880716,0.16898608349900596,0.24055666003976142,503,0.17737574552683896,0.14512922465208747,0.21973161033797212,both | sharp
both,sharp,9,CFD,0.003976143141153081,0.0,0.009940357852882704,503,0.013630218687872762,0.003976143141153081,0.02385685884691849,both | sharp
both,sharp,10,F,0.08349900596421471,0.061630218687872766,0.1073558648111332,503,0.06717693836978131,0.04572564612326044,0.09145129224652088,both | sharp
both,sharp,11,FD,0.0,0.0,0.0,503,0.003729687987775824,0.0019880715705765406,0.007952286282306162,both | sharp
both,sharp,12,FDC,0.0,0.0,0.0,503,0.004219681908548708,0.0019880715705765406,0.009940357852882704,both | sharp
both,sharp,13,FC,0.02186878727634195,0.009940357852882704,0.03578528827037773,503,0.0334155069582505,0.018836978131212725,0.04970178926441352,both | sharp
both,sharp,14,FCD,0.0019880715705765406,0.0,0.005964214711729622,503,0.0033263025723773696,0.0019880715705765406,0.007952286282306162,both | sharp
first,blurred,0,D,0.05595667870036101,0.039711191335740074,0.07581227436823104,554,0.05685920577617328,0.03429602888086643,0.080370036101083,first | blurred
first,blurred,1,DC,0.04332129963898917,0.02707581227436823,0.05956678700361011,554,0.046628158844765344,0.029738267148014443,0.06773465703971115,first | blurred
first,blurred,2,DCF,0.2996389891696751,0.26173285198555957,0.33578519855595645,554,0.1864332129963899,0.15162454873646208,0.22202166064981949,first | blurred
first,blurred,3,DF,0.36462093862815886,0.3266696750902527,0.4043321299638989,554,0.47875451263537905,0.4286552346570397,0.5252707581227437,first | blurred
first,blurred,4,DFC,0.032490974729241874,0.018050541516245487,0.04693140794223827,554,0.04099638989169675,0.02527075812274368,0.05956678700361011,first | blurred
first,blurred,5,C,0.005415162454873646,0.0,0.01263537906137184,554,0.013202166064981948,0.005415162454873646,0.02527075812274368,first | blurred
first,blurred,6,CD,0.0018050541516245488,0.0,0.005415162454873646,554,0.0026073004412354595,0.0018050541516245488,0.005415162454873646,first | blurred
first,blurred,7,CDF,0.039711191335740074,0.02527075812274368,0.05600180505415137,554,0.022646209386281587,0.010830324909747292,0.036101083032490974,first | blurred
first,blurred,8,CF,0.08664259927797834,0.06498194945848375,0.11191335740072202,554,0.0697581227436823,0.04693140794223827,0.09205776173285199,first | blurred
first,blurred,9,CFD,0.0,0.0,0.0,554,0.005652977364698911,0.0018050541516245488,0.01263537906137184,first | blurred
first,blurred,10,F,0.03790613718411552,0.023465703971119134,0.05415162454873646,554,0.04809386281588448,0.030685920577617327,0.06678700361010831,first | blurred
first,blurred,11,FD,0.009025270758122744,0.0018050541516245488,0.018050541516245487,554,0.006247410782979227,0.0018050541516245488,0.01263537906137184,first | blurred
first,blurred,12,FDC,0.0036101083032490976,0.0,0.009025270758122744,554,0.004269802981981836,0.0018050541516245488,0.009025270758122744,first | blurred
first,blurred,13,FC,0.016245487364620937,0.007220216606498195,0.02707581227436823,554,0.01871480144404332,0.007220216606498195,0.030685920577617327,first | blurred
first,blurred,14,FCD,0.0036101083032490976,0.0,0.009025270758122744,554,0.0024811289793239253,0.0018050541516245488,0.005415162454873646,first | blurred
first,sharp,0,D,0.2689243027888446,0.2290836653386454,0.30876494023904383,502,0.2679402390438247,0.21314741035856574,0.3286852589641434,first | sharp
first,sharp,1,DC,0.045816733067729085,0.027888446215139442,0.06573705179282868,502,0.06395219123505975,0.04183266932270916,0.08964143426294821,first | sharp
first,sharp,2,DCF,0.2051792828685259,0.17131474103585656,0.24108565737051765,502,0.2588804780876494,0.21210159362549802,0.30677290836653387,first | sharp
first,sharp,3,DF,0.23107569721115537,0.19516932270916335,0.2689243027888446,502,0.23216733067729084,0.18326693227091634,0.28286852589641437,first | sharp
first,sharp,4,DFC,0.021912350597609563,0.0099601593625498,0.03386454183266932,502,0.058179282868525896,0.0398406374501992,0.07768924302788845,first | sharp
first,sharp,5,C,0.0,0.0,0.0,502,0.009423072298331824,0.00199203187250996,0.01912350597609555,first | sharp
first,sharp,6,CD,0.0,0.0,0.0,502,0.0026560424966799467,0.00199203187250996,0.00597609561752988,first | sharp
first,sharp,7,CDF,0.017928286852589643,0.00796812749003984,0.029880478087649404,502,0.018760956175298805,0.00796812749003984,0.03187250996015936,first | sharp
first,sharp,8,CF,0.09362549800796813,0.06772908366533864,0.1195717131474101,502,0.03325099601593625,0.016882470119521917,0.05283864541832665,first | sharp
first,sharp,9,CFD,0.00199203187250996,0.0,0.00597609561752988,502,0.0036511915783341824,0.00199203187250996,0.00796812749003984,first | sharp
first,sharp,10,F,0.10159362549800798,0.07569721115537849,0.1294820717131474,502,0.036095617529880476,0.0199203187250996,0.053784860557768925,first | sharp
first,sharp,11,FD,0.00199203187250996,0.0,0.00597609561752988,502,0.003188447411554981,0.00199203187250996,0.00796812749003984,first | sharp
first,sharp,12,FDC,0.0,0.0,0.0,502,0.004476157129202903,0.00199203187250996,0.0099601593625498,first | sharp
first,sharp,13,FC,0.0099601593625498,0.00199203187250996,0.0199203187250996,502,0.010750584835008663,0.0028884462151394443,0.0199203187250996,first | sharp
first,sharp,14,FCD,0.0,0.0,0.0,502,0.002532423497499364,0.00199203187250996,0.00597609561752988,first | sharp
second,blurred,0,D,0.0,0.0,0.0,567,0.006870732842102985,0.001763668430335097,0.014109347442680775,second | blurred
second,blurred,1,DC,0.0,0.0,0.0,567,0.03884303350970018,0.02292768959435626,0.05559964726631389,second | blurred
second,blurred,2,DCF,0.026455026455026454,0.014109347442680775,0.04056437389770723,567,0.015368606701940036,0.007054673721340388,0.026455026455026454,second | blurred
second,blurred,3,DF,0.0,0.0,0.0,567,0.004747749505522462,0.001763668430335097,0.010582010582010581,second | blurred
second,blurred,4,DFC,0.014109347442680775,0.005291005291005291,0.024691358024691357,567,0.00215081515894524,0.001763668430335097,0.005291005291005291,second | blurred
second,blurred,5,C,0.6278659611992945,0.5890652557319224,0.6684303350970018,567,0.6679400352733686,0.6225749559082893,0.713447971781305,second | blurred
second,blurred,6,CD,0.0,0.0,0.0,567,0.008176682295923488,0.001763668430335097,0.01763668430335097,second | blurred
second,blurred,7,CDF,0.005291005291005291,0.0,0.012345679012345678,567,0.013746031746031746,0.005291005291005291,0.024691358024691357,second | blurred
second,blurred,8,CF,0.26278659611992944,0.2257495590828924,0.2980599647266314,567,0.21529100529100528,0.17989417989417988,0.25842151675485003,second | blurred
second,blurred,9,CFD,0.0,0.0,0.0,567,0.008059928952423882,0.001763668430335097,0.015873015873015872,second | blurred
second,blurred,10,F,0.04409171075837742,0.02821869488536155,0.06172839506172839,567,0.008647664561643056,0.001763668430335097,0.015873015873015872,second | blurred
second,blurred,11,FD,0.0,0.0,0.0,567,0.001763668430335097,0.001763668430335097,0.001763668430335097,second | blurred
second,blurred,12,FDC,0.0,0.0,0.0,567,0.0018244845831052727,0.001763668430335097,0.002292768959435627,second | blurred
second,blurred,13,FC,0.019400352733686066,0.008818342151675485,0.031746031746031744,567,0.011879137463639802,0.003527336860670194,0.02292768959435626,second | blurred
second,blurred,14,FCD,0.0,0.0,0.0,567,0.0020126569146176987,0.001763668430335097,0.003527336860670194,second | blurred
second,sharp,0,D,0.0,0.0,0.0,504,0.010080323209095843,0.001984126984126984,0.01984126984126984,second | sharp
second,sharp,1,DC,0.001984126984126984,0.0,0.005952380952380952,504,0.05840873015873016,0.03864087301587302,0.08134920634920635,second | sharp
second,sharp,2,DCF,0.001984126984126984,0.0,0.005952380952380952,504,0.022900793650793647,0.00992063492063492,0.037698412698412696,second | sharp
second,sharp,3,DF,0.0,0.0,0.0,504,0.006496147971043368,0.001984126984126984,0.013888888888888888,second | sharp
second,sharp,4,DFC,0.005952380952380952,0.0,0.013888888888888888,504,0.0024905359633393106,0.001984126984126984,0.004067460317460283,second | sharp
second,sharp,5,C,0.7162698412698413,0.6765873015873016,0.7559523809523809,504,0.668218253968254,0.6180059523809525,0.7173115079365079,second | sharp
second,sharp,6,CD,0.0,0.0,0.0,504,0.01023391812865497,0.001984126984126984,0.01984126984126984,second | sharp
second,sharp,7,CDF,0.003968253968253968,0.0,0.00992063492063492,504,0.016603174603174602,0.005952380952380952,0.02976190476190476,second | sharp
second,sharp,8,CF,0.23015873015873015,0.19246031746031747,0.26587301587301587,504,0.17810714285714285,0.14484126984126985,0.2133432539682539,second | sharp
second,sharp,9,CFD,0.0,0.0,0.0,504,0.006523940165915474,0.001984126984126984,0.013888888888888888,second | sharp
second,sharp,10,F,0.01984126984126984,0.00992063492063492,0.031746031746031744,504,0.009391534391534392,0.001984126984126984,0.017857142857142856,second | sharp
second,sharp,11,FD,0.0,0.0,0.0,504,0.001984126984126984,0.001984126984126984,0.001984126984126984,second | sharp
second,sharp,12,FDC,0.0,0.0,0.0,504,0.0020263424518743665,0.001984126984126984,0.001984126984126984,second | sharp
second,sharp,13,FC,0.01984126984126984,0.00992063492063492,0.03373015873015873,504,0.011833046471600687,0.003968253968253968,0.021825396825396824,second | sharp
second,sharp,14,FCD,0.0,0.0,0.0,504,0.0022163120567375884,0.001984126984126984,0.003968253968253968,second | sharp
